---------- Start- 1JANATAMF--------------------
./data\combined_1JANATAMF_news.csv, today, Accuracy: 81.82%
./data\combined_1JANATAMF_news.csv, tomorrow, Accuracy: 65.91%
./data\combined_1JANATAMF_news.csv, day_after_tomorrow, Accuracy: 63.64%
---------- End- 1JANATAMF--------------------
---------- Start- 1STPRIMFMF--------------------
./data\combined_1STPRIMFMF_news.csv, today, Accuracy: 63.64%
./data\combined_1STPRIMFMF_news.csv, tomorrow, Accuracy: 72.73%
./data\combined_1STPRIMFMF_news.csv, day_after_tomorrow, Accuracy: 81.82%
---------- End- 1STPRIMFMF--------------------
---------- Start- AAMRANET--------------------
./data\combined_AAMRANET_news.csv, today, Accuracy: 100.00%
./data\combined_AAMRANET_news.csv, tomorrow, Accuracy: 66.67%
./data\combined_AAMRANET_news.csv, day_after_tomorrow, Accuracy: 100.00%
---------- End- AAMRANET--------------------
---------- Start- AAMRATECH--------------------
./data\combined_AAMRATECH_news.csv, today, Accuracy: 77.78%
./data\combined_AAMRATECH_news.csv, tomorrow, Accuracy: 88.89%
./data\combined_AAMRATECH_news.csv, day_after_tomorrow, Accuracy: 77.78%
---------- End- AAMRATECH--------------------
---------- Start- ABB1STMF--------------------
./data\combined_ABB1STMF_news.csv, today, Accuracy: 90.24%
./data\combined_ABB1STMF_news.csv, tomorrow, Accuracy: 90.24%
./data\combined_ABB1STMF_news.csv, day_after_tomorrow, Accuracy: 75.61%
---------- End- ABB1STMF--------------------
---------- Start- ABBANK--------------------
./data\combined_ABBANK_news.csv, today, Accuracy: 75.00%
./data\combined_ABBANK_news.csv, tomorrow, Accuracy: 91.67%
./data\combined_ABBANK_news.csv, day_after_tomorrow, Accuracy: 91.67%
---------- End- ABBANK--------------------
---------- Start- ACFL--------------------
./data\combined_ACFL_news.csv, today, Accuracy: 0.00%
./data\combined_ACFL_news.csv, tomorrow, Accuracy: 100.00%
./data\combined_ACFL_news.csv, day_after_tomorrow, Accuracy: 100.00%
---------- End- ACFL--------------------
---------- Start- ACIFORMULA--------------------
./data\combined_ACIFORMULA_news.csv, today, Accuracy: 40.00%
./data\combined_ACIFORMULA_news.csv, tomorrow, Accuracy: 60.00%
./data\combined_ACIFORMULA_news.csv, day_after_tomorrow, Accuracy: 80.00%
---------- End- ACIFORMULA--------------------
---------- Start- ACI--------------------
./data\combined_ACI_news.csv, today, Accuracy: 76.92%
./data\combined_ACI_news.csv, tomorrow, Accuracy: 76.92%
./data\combined_ACI_news.csv, day_after_tomorrow, Accuracy: 61.54%
---------- End- ACI--------------------
---------- Start- ACMELAB--------------------
./data\combined_ACMELAB_news.csv, today, Accuracy: 60.00%
./data\combined_ACMELAB_news.csv, tomorrow, Accuracy: 60.00%
./data\combined_ACMELAB_news.csv, day_after_tomorrow, Accuracy: 100.00%
---------- End- ACMELAB--------------------
---------- Start- 1JANATAMF--------------------
./data\combined_1JANATAMF_news.csv, today, Accuracy: 81.82%
./data\combined_1JANATAMF_news.csv, tomorrow, Accuracy: 65.91%
./data\combined_1JANATAMF_news.csv, day_after_tomorrow, Accuracy: 63.64%
---------- End- 1JANATAMF--------------------
---------- Start- 1STPRIMFMF--------------------
./data\combined_1STPRIMFMF_news.csv, today, Accuracy: 63.64%
