,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,1STPRIMFMF,Q1 Financials,0,0,0,q1 financials
1,2019-04-28,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
2,2019-04-23,1STPRIMFMF,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
3,2019-04-21,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
4,2019-04-15,1STPRIMFMF,Weekly NAV,0,0,1,weekly nav
5,2019-04-07,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
6,2019-03-31,1STPRIMFMF,Weekly NAV,0,0,1,weekly nav
7,2019-03-24,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
8,2019-03-18,1STPRIMFMF,Weekly NAV,0,1,0,weekly nav
9,2019-03-13,1STPRIMFMF,Extension of Tenure of the Fund for 10 more years,0,0,0,extension of tenure of the fund for 10 more years
10,2019-03-10,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
11,2019-03-03,1STPRIMFMF,Weekly NAV,1,0,0,weekly nav
12,2019-02-24,1STPRIMFMF,Resumption after record date,0,0,0,resumption after record date
13,2019-02-24,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
14,2019-02-20,1STPRIMFMF,Suspension for Record date,0,0,0,suspension for record date
15,2019-02-18,1STPRIMFMF,Spot News,0,1,0,spot news
16,2019-02-17,1STPRIMFMF,Weekly NAV,0,0,1,weekly nav
17,2019-02-10,1STPRIMFMF,Weekly NAV,0,0,1,weekly nav
18,2019-02-03,1STPRIMFMF,Price Limit Open,0,1,0,price limit open
19,2019-02-03,1STPRIMFMF,Dividend Declaration,0,1,0,dividend declaration
20,2019-02-03,1STPRIMFMF,Weekly NAV,0,1,0,weekly nav
21,2019-01-27,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
22,2019-01-23,1STPRIMFMF,Trustee Committee Meeting schedule under LR 19(1),1,0,0,trustee committee meeting schedule under lr 191
23,2019-01-20,1STPRIMFMF,Weekly NAV,1,0,0,weekly nav
24,2019-01-13,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
25,2019-01-06,1STPRIMFMF,Weekly NAV,1,0,1,weekly nav
26,2019-01-01,1STPRIMFMF,Weekly NAV,0,1,1,weekly nav
27,2018-12-23,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
28,2018-12-17,1STPRIMFMF,Weekly NAV,1,0,1,weekly nav
29,2018-12-09,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
30,2018-12-03,1STPRIMFMF,Emphasis of Matter,0,0,0,emphasis of matter
31,2018-12-02,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
32,2018-11-25,1STPRIMFMF,Weekly NAV,1,1,0,weekly nav
33,2018-11-18,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
34,2018-11-11,1STPRIMFMF,Weekly NAV,1,0,0,weekly nav
35,2018-11-04,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
36,2018-11-01,1STPRIMFMF,Q3 Financials,0,0,0,q3 financials
37,2018-10-28,1STPRIMFMF,Trustee Meeting schedule under LR 16(1),1,1,0,trustee meeting schedule under lr 161
38,2018-10-28,1STPRIMFMF,Weekly NAV,1,1,0,weekly nav
39,2018-10-21,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
40,2018-10-14,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
41,2018-10-07,1STPRIMFMF,Weekly NAV,0,1,0,weekly nav
42,2018-09-30,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
43,2018-09-23,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
44,2018-09-16,1STPRIMFMF,Weekly NAV,0,1,0,weekly nav
45,2018-09-09,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
46,2018-09-03,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
47,2018-08-26,1STPRIMFMF,Weekly NAV,1,0,0,weekly nav
48,2018-08-19,1STPRIMFMF,Weekly NAV,0,1,0,weekly nav
49,2018-08-12,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
50,2018-08-05,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
51,2018-07-31,1STPRIMFMF,Q2 Financials,0,1,1,q2 financials
52,2018-07-29,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
53,2018-07-25,1STPRIMFMF,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
54,2018-07-22,1STPRIMFMF,Weekly NAV,1,0,0,weekly nav
55,2018-07-15,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
56,2018-07-08,1STPRIMFMF,Weekly NAV,1,0,0,weekly nav
57,2018-07-02,1STPRIMFMF,Weekly NAV,1,0,0,weekly nav
58,2018-06-24,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
59,2018-06-18,1STPRIMFMF,Weekly NAV,0,0,1,weekly nav
60,2018-06-10,1STPRIMFMF,Weekly NAV,0,1,1,weekly nav
61,2018-06-03,1STPRIMFMF,Weekly NAV,0,1,0,weekly nav
62,2018-05-27,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
63,2018-05-20,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
64,2018-05-13,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
65,2018-05-06,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
66,2018-04-30,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
67,2018-04-26,1STPRIMFMF,Q1 Financials,0,0,0,q1 financials
68,2018-04-22,1STPRIMFMF,Trustee Meeting schedule under LR 16(1),1,0,0,trustee meeting schedule under lr 161
69,2018-04-22,1STPRIMFMF,Weekly NAV,1,0,0,weekly nav
70,2018-04-15,1STPRIMFMF,Weekly NAV,0,1,1,weekly nav
71,2018-04-08,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
72,2018-04-01,1STPRIMFMF,Weekly NAV,0,1,0,weekly nav
73,2018-03-25,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
74,2018-03-18,1STPRIMFMF,Weekly NAV,0,0,1,weekly nav
75,2018-03-11,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
76,2018-03-04,1STPRIMFMF,Weekly NAV,1,0,0,weekly nav
77,2018-02-25,1STPRIMFMF,Weekly NAV,1,0,0,weekly nav
78,2018-02-22,1STPRIMFMF,Resumption after record date,0,0,0,resumption after record date
79,2018-02-20,1STPRIMFMF,Suspension for Record Date,0,0,0,suspension for record date
80,2018-02-18,1STPRIMFMF,Spot News,0,0,0,spot news
81,2018-02-18,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
82,2018-02-11,1STPRIMFMF,Weekly NAV,1,0,0,weekly nav
83,2018-02-04,1STPRIMFMF,Weekly NAV,0,1,1,weekly nav
84,2018-02-01,1STPRIMFMF,Price Limit Open,0,0,0,price limit open
85,2018-02-01,1STPRIMFMF,Dividend Declaration,0,0,0,dividend declaration
86,2018-01-28,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
87,2018-01-23,1STPRIMFMF,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
88,2018-01-21,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
89,2018-01-14,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
90,2018-01-07,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
91,2018-01-07,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
92,2018-01-01,1STPRIMFMF,Weekly NAV,0,0,1,weekly nav
93,2017-12-24,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
94,2017-12-17,1STPRIMFMF,Weekly NAV,0,0,0,weekly nav
95,2017-12-10,1STPRIMFMF,Weekly NAV,1,0,1,weekly nav
96,2017-12-03,1STPRIMFMF,Weekly NAV,0,1,1,weekly nav
97,2017-11-26,1STPRIMFMF,Weekly NAV,1,0,0,weekly nav
98,2017-11-19,1STPRIMFMF,Weekly NAV,0,0,1,weekly nav
99,2017-11-12,1STPRIMFMF,Weekly NAV,0,0,1,weekly nav
100,2017-11-05,1STPRIMFMF,Weekly NAV,0,1,0,weekly nav
101,2017-10-31,1STPRIMFMF,Q3 Financials,1,0,0,q3 financials
102,2017-10-29,1STPRIMFMF,Weekly NAV,1,1,1,weekly nav
103,2017-10-24,1STPRIMFMF,Trustee Meeting schedule under LR 16(1),0,1,0,trustee meeting schedule under lr 161
104,2017-10-24,1STPRIMFMF,Trustee Meeting schedule under LR 16(1),0,1,0,trustee meeting schedule under lr 161
105,2017-10-22,1STPRIMFMF,Weekly NAV,1,0,0,weekly nav
106,2017-10-15,1STPRIMFMF,Weekly NAV,0,0,1,weekly nav
