,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,AAMRANET,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
1,2019-03-31,AAMRANET,Temporarily Address Change of Head Office,0,0,0,temporarily address change of head office
2,2019-02-12,AAMRANET,Approval of BSEC for BMRE for infrastructure Development,1,1,1,approval of bsec for bmre for infrastructure development
3,2019-01-30,AAMRANET,Q2 Financials,0,1,0,q2 financials
4,2019-01-22,AAMRANET,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-01-20,AAMRANET,Dividend Disbursement,1,0,1,dividend disbursement
6,2018-11-14,AAMRANET,Q1 Financials,0,0,0,q1 financials
7,2018-11-12,AAMRANET,Resumption after Record Date,0,1,0,resumption after record date
8,2018-11-11,AAMRANET,Suspension for Record Date,0,0,1,suspension for record date
9,2018-11-08,AAMRANET,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
10,2018-11-07,AAMRANET,Spot News,0,0,0,spot news
12,2018-10-24,AAMRANET,Decision to freeze unutilized IPO fund and use for different purposes,0,0,0,decision to freeze unutilized ipo fund and use for different purposes
13,2018-10-24,AAMRANET,Price Limit Open,0,0,0,price limit open
15,2018-10-24,AAMRANET,Dividend Declaration,0,0,0,dividend declaration
16,2018-10-15,AAMRANET,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
17,2018-07-02,AAMRANET,Credit Rating Result,0,0,1,credit rating result
18,2018-04-30,AAMRANET,Q3 Financials,0,0,0,q3 financials
19,2018-04-23,AAMRANET,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
20,2018-01-30,AAMRANET,Q2 Financials,1,0,0,q2 financials
21,2018-01-25,AAMRANET,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
22,2018-01-25,AAMRANET,Category Change,0,0,0,category change
23,2018-01-25,AAMRANET,Dividend Disbursement,0,0,0,dividend disbursement
24,2018-01-21,AAMRANET,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
25,2018-01-21,AAMRANET,Dividend Disbursement,0,1,0,dividend disbursement
27,2017-11-22,AAMRANET,Launching  a State of the Art Data Center,1,0,0,launching  a state of the art data center
28,2017-11-09,AAMRANET,Resumption after record date,0,0,0,resumption after record date
29,2017-11-09,AAMRANET,Q1 Financials,0,0,0,q1 financials
30,2017-11-08,AAMRANET,Suspension for Record Date,0,0,0,suspension for record date
31,2017-11-06,AAMRANET,Spot News,0,0,0,spot news
32,2017-10-30,AAMRANET,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
33,2017-10-17,AAMRANET,Price Limit Open,1,1,1,price limit open
34,2017-10-17,AAMRANET,Dividend Declaration,1,1,1,dividend declaration
35,2017-10-09,AAMRANET,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
36,2017-10-08,AAMRANET,Query Response,0,1,0,query response
39,2017-10-02,AAMRANET,Q3 Financials,1,0,1,q3 financials
40,2017-10-02,AAMRANET,Prohibition on providing loan facilities to purchase securities,1,0,1,prohibition on providing loan facilities to purchase securities
41,2017-10-02,AAMRANET,Trading of New Security,1,0,1,trading of new security
