,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,AAMRATECH,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
1,2019-03-31,AAMRATECH,Temporarily Address Change of Head Office,0,0,0,temporarily address change of head office
2,2019-01-30,AAMRATECH,Q2 Financials,1,0,0,q2 financials
3,2019-01-22,AAMRATECH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-01-20,AAMRATECH,Dividend Disbursement,1,1,0,dividend disbursement
5,2018-11-14,AAMRATECH,Q1 Financials,1,1,0,q1 financials
6,2018-11-13,AAMRATECH,Resumption after Record Date,0,1,1,resumption after record date
7,2018-11-12,AAMRATECH,Suspension for Record Date,0,0,1,suspension for record date
8,2018-11-08,AAMRATECH,Spot News,1,0,0,spot news
9,2018-11-08,AAMRATECH,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
10,2018-10-25,AAMRATECH,Price Limit Open,0,0,0,price limit open
11,2018-10-25,AAMRATECH,Dividend Declaration,0,0,0,dividend declaration
12,2018-10-16,AAMRATECH,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
13,2018-05-13,AAMRATECH,Credit Rating Result,0,0,0,credit rating result
16,2018-05-10,AAMRATECH,Decision for receiving NIX License from BTRC,0,0,0,decision for receiving nix license from btrc
17,2018-04-26,AAMRATECH,Q3 Financials,1,0,0,q3 financials
18,2018-04-23,AAMRATECH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
22,2018-04-23,AAMRATECH,Decision to establish a state-of-the-art Security Operation Center,0,0,0,decision to establish a state-of-the-art security operation center
23,2018-01-30,AAMRATECH,Q2 Financials,1,0,0,q2 financials
24,2018-01-22,AAMRATECH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
25,2018-01-21,AAMRATECH,Dividend Disbursement,0,0,0,dividend disbursement
26,2017-11-15,AAMRATECH,Q1 Financials,1,0,0,q1 financials
27,2017-11-09,AAMRATECH,Resumption after record date,0,0,0,resumption after record date
28,2017-11-08,AAMRATECH,Suspension for Record Date,0,0,0,suspension for record date
29,2017-11-06,AAMRATECH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
30,2017-11-06,AAMRATECH,Spot News,0,0,0,spot news
31,2017-10-17,AAMRATECH,Price Limit Open,1,1,0,price limit open
32,2017-10-17,AAMRATECH,Dividend Declaration,1,1,0,dividend declaration
33,2017-10-09,AAMRATECH,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
34,2017-05-02,AAMRATECH,Q3 Financials,0,1,0,q3 financials
35,2017-04-24,AAMRATECH,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
36,2017-02-01,AAMRATECH,Credit Rating Result,0,0,0,credit rating result
37,2017-01-26,AAMRATECH,Q2 Financials,0,0,0,q2 financials
38,2017-01-22,AAMRATECH,Dividend Disbursement,1,0,0,dividend disbursement
39,2017-01-18,AAMRATECH,Board Meeting,1,1,0,board meeting
40,2016-11-15,AAMRATECH,Q1 Financials,1,0,0,q1 financials
41,2016-11-07,AAMRATECH,Resumption after record date,0,0,1,resumption after record date
42,2016-11-06,AAMRATECH,Suspension for record date,0,0,0,suspension for record date
43,2016-11-06,AAMRATECH,Board Meeting,0,0,0,board meeting
44,2016-11-02,AAMRATECH,Spot for AGM,0,1,0,spot for agm
45,2016-10-13,AAMRATECH,Price Limit Open,1,0,0,price limit open
46,2016-10-13,AAMRATECH,Dividend Declaration,1,0,0,dividend declaration
47,2016-10-03,AAMRATECH,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
48,2016-04-28,AAMRATECH,Q3 Financials,0,0,0,q3 financials
49,2016-04-21,AAMRATECH,Board Meeting (Q3),0,0,0,board meeting q3
50,2016-01-31,AAMRATECH,Q2 Financials,0,0,0,q2 financials
51,2016-01-25,AAMRATECH,Board Meeting,0,0,1,board meeting
52,2016-01-13,AAMRATECH,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
53,2015-12-17,AAMRATECH,Credit Rating,0,0,0,credit rating
54,2015-11-25,AAMRATECH,Q1 Financials,0,0,0,q1 financials
55,2015-11-16,AAMRATECH,Resumption News,0,1,0,resumption news
56,2015-11-15,AAMRATECH,Suspension News,0,0,1,suspension news
57,2015-11-11,AAMRATECH,Spot News,0,0,0,spot news
58,2015-10-26,AAMRATECH,Price Limit Open,0,0,0,price limit open
59,2015-10-26,AAMRATECH,Dividend Declaration,0,0,0,dividend declaration
60,2015-10-18,AAMRATECH,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
61,2015-04-27,AAMRATECH,Q3,0,0,0,q3
62,2015-01-28,AAMRATECH,H/Y,0,1,0,hy
63,2015-01-07,AAMRATECH,New MD and CEO,0,1,0,new md and ceo
64,2014-12-17,AAMRATECH,Credit Ratings (Repeat-Correction),1,0,0,credit ratings repeat-correction
65,2014-12-17,AAMRATECH,Credit Rating,1,0,0,credit rating
66,2014-11-12,AAMRATECH,will remain suspended,0,1,0,will remain suspended
67,2014-11-11,AAMRATECH,will remain suspended,1,0,1,will remain suspended
68,2014-11-09,AAMRATECH,Q1,1,0,1,q1
69,2014-11-09,AAMRATECH,Spot Market,1,0,1,spot market
70,2014-10-23,AAMRATECH,no price limit,1,0,0,no price limit
71,2014-10-23,AAMRATECH,10% cash dividend,1,0,0,10 cash dividend
72,2014-10-12,AAMRATECH,Board Meeting,0,0,0,board meeting
73,2014-08-28,AAMRATECH,new agreement,0,0,0,new agreement
74,2014-04-29,AAMRATECH,Q3 Earning,0,1,0,q3 earning
75,2014-02-02,AAMRATECH,H/Y Earnings,0,1,0,hy earnings
76,2013-12-01,AAMRATECH,Credit Ratings,0,1,1,credit ratings
77,2013-11-14,AAMRATECH,Q1 Earnings,0,0,0,q1 earnings
78,2013-11-07,AAMRATECH,trade resume after record date,0,0,0,trade resume after record date
79,2013-11-06,AAMRATECH,trade suspension on record date,0,0,0,trade suspension on record date
80,2013-11-03,AAMRATECH,Record Date,1,1,0,record date
81,2013-10-07,AAMRATECH,no price limit,1,0,1,no price limit
82,2013-10-07,AAMRATECH,Corporate Action,1,0,1,corporate action
83,2013-09-19,AAMRATECH,Board Meeting,0,0,0,board meeting
84,2013-05-02,AAMRATECH,Q3 Earnings,0,0,0,q3 earnings
85,2013-01-30,AAMRATECH,H/Y Accounts,0,0,0,hy accounts
86,2013-01-27,AAMRATECH,spot market trading,0,0,1,spot market trading
87,2013-01-21,AAMRATECH,EGM,0,1,1,egm
88,2012-12-18,AAMRATECH,Director share buy completed,0,0,0,director share buy completed
89,2012-12-18,AAMRATECH,Category Changed,0,0,0,category changed
90,2012-12-18,AAMRATECH,Bonus share credited,0,0,0,bonus share credited
91,2012-12-03,AAMRATECH,director buy announcement,0,1,1,director buy announcement
92,2012-11-07,AAMRATECH,Q1 Earnings 2012,0,0,0,q1 earnings 2012
93,2012-10-16,AAMRATECH,trade will resume after record date,0,0,0,trade will resume after record date
94,2012-10-10,AAMRATECH,spot market trading,0,1,0,spot market trading
95,2012-10-01,AAMRATECH,will have no price limit today,1,0,0,will have no price limit today
96,2012-10-01,AAMRATECH,Corporate declaration,1,0,0,corporate declaration
97,2012-09-12,AAMRATECH,Board meeting,0,1,0,board meeting
98,2012-07-04,AAMRATECH,- Trading of the shares...,0,1,0,trading of the shares
99,2012-07-04,AAMRATECH,- The Stock Brokers and Merchant Bankers...,0,1,0,the stock brokers and merchant bankers
100,2012-07-04,AAMRATECH,- As per un-audited quarterly accounts...,0,1,0,as per un-audited quarterly accounts
