,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,ACFL,Postponement of Board Meeting schedule under LR 16(1),1,0,1,postponement of board meeting schedule under lr 161
1,2019-04-18,ACFL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-02-03,ACFL,Prohibition on providing loan facilities to purchase securities,0,0,1,prohibition on providing loan facilities to purchase securities
3,2019-02-03,ACFL,Category Change,0,0,1,category change
4,2019-02-03,ACFL,Cash Dividend Disbursement,0,0,1,cash dividend disbursement
5,2019-01-29,ACFL,Q2 Financials,0,0,0,q2 financials
6,2019-01-23,ACFL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
7,2018-11-20,ACFL,Resumption after record date,0,0,0,resumption after record date
8,2018-11-19,ACFL,Suspension for Record date,0,0,0,suspension for record date
9,2018-11-15,ACFL,Spot News,0,0,0,spot news
10,2018-11-13,ACFL,Q1 Financials,1,1,0,q1 financials
11,2018-11-07,ACFL,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
12,2018-10-29,ACFL,Price Limit Open,0,1,0,price limit open
13,2018-10-29,ACFL,Dividend Declaration,0,1,0,dividend declaration
14,2018-10-18,ACFL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
17,2018-08-06,ACFL,Q3 Financials,1,1,0,q3 financials
18,2018-08-06,ACFL,Prohibition on providing loan facilities to purchase securities,1,1,0,prohibition on providing loan facilities to purchase securities
19,2018-08-06,ACFL,Trading of New Security,1,1,0,trading of new security
