,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,ACIFORMULA,Q3 Financials,1,0,0,q3 financials
1,2019-04-18,ACIFORMULA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-01-28,ACIFORMULA,Q2 Financials,0,0,0,q2 financials
3,2019-01-22,ACIFORMULA,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
4,2019-01-09,ACIFORMULA,Dividend Disbursement,1,0,0,dividend disbursement
5,2018-12-27,ACIFORMULA,Credit Rating Result,0,0,0,credit rating result
6,2018-11-15,ACIFORMULA,Resumption after Record Date,0,0,0,resumption after record date
7,2018-11-14,ACIFORMULA,Suspension for Record Date,1,0,0,suspension for record date
8,2018-11-12,ACIFORMULA,Spot News,0,0,1,spot news
9,2018-11-12,ACIFORMULA,Q1 Financials,0,0,1,q1 financials
10,2018-11-06,ACIFORMULA,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
11,2018-10-28,ACIFORMULA,Price Limit Open,0,1,1,price limit open
13,2018-10-28,ACIFORMULA,Dividend Declaration,0,1,1,dividend declaration
14,2018-10-18,ACIFORMULA,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
15,2018-05-07,ACIFORMULA,Land Purchase,1,0,0,land purchase
16,2018-04-30,ACIFORMULA,Q3 Financials,1,0,0,q3 financials
17,2018-04-23,ACIFORMULA,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
18,2018-01-29,ACIFORMULA,Q2 Financials,0,0,0,q2 financials
19,2018-01-24,ACIFORMULA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
20,2018-01-11,ACIFORMULA,Dividend Disbursement,1,0,0,dividend disbursement
21,2018-01-01,ACIFORMULA,Credit Rating Result,0,0,1,credit rating result
22,2017-11-13,ACIFORMULA,Resumption after record date,0,0,0,resumption after record date
23,2017-11-13,ACIFORMULA,Q1 Financials,0,0,0,q1 financials
24,2017-11-12,ACIFORMULA,Suspension for Record Date,0,0,0,suspension for record date
25,2017-11-08,ACIFORMULA,Spot News,0,0,0,spot news
26,2017-11-07,ACIFORMULA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
29,2017-10-24,ACIFORMULA,Updating information,0,0,0,updating information
30,2017-10-24,ACIFORMULA,Price Limit Open,0,0,0,price limit open
32,2017-10-24,ACIFORMULA,Dividend Declaration,0,0,0,dividend declaration
33,2017-10-15,ACIFORMULA,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
34,2017-04-27,ACIFORMULA,Q3 Financials,0,0,0,q3 financials
35,2017-04-24,ACIFORMULA,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
36,2017-01-26,ACIFORMULA,Q2 Financials,1,0,0,q2 financials
37,2017-01-01,ACIFORMULA,Credit Rating Result,1,1,0,credit rating result
38,2016-12-14,ACIFORMULA,Interim Dividend Disbursement,0,0,0,interim dividend disbursement
39,2016-12-04,ACIFORMULA,Resumption after record date,0,0,0,resumption after record date
40,2016-12-01,ACIFORMULA,Suspension for Record Date,1,0,0,suspension for record date
41,2016-11-29,ACIFORMULA,Spot for interim dividend entitlement,0,0,1,spot for interim dividend entitlement
42,2016-11-15,ACIFORMULA,Updating information of Margin Account Holders,1,1,0,updating information of margin account holders
43,2016-11-14,ACIFORMULA,Furnishing 12 digits e-TIN,0,1,1,furnishing 12 digits e-tin
44,2016-11-14,ACIFORMULA,Q1 Financials,0,1,1,q1 financials
45,2016-11-14,ACIFORMULA,Price Limit Open,0,1,1,price limit open
46,2016-11-14,ACIFORMULA,Interim Cash Dividend,0,1,1,interim cash dividend
47,2016-11-07,ACIFORMULA,Board Meeting,0,1,0,board meeting
48,2016-10-27,ACIFORMULA,18 months audited financials & re fixation of AGM date,0,0,0,18 months audited financials  re fixation of agm date
49,2016-10-19,ACIFORMULA,Board Meeting,0,0,0,board meeting
50,2016-06-14,ACIFORMULA,Credit Rating Result,1,1,0,credit rating result
