,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,ACI,Buy Confirmation of a Director,0,0,0,buy confirmation of a director
1,2019-04-28,ACI,Q3 Financials,0,0,0,q3 financials
2,2019-04-18,ACI,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
3,2019-04-01,ACI,Buy Declarations of a Director,1,1,0,buy declarations of a director
4,2019-03-21,ACI,Buy confirmation of a Nominated Director,0,0,0,buy confirmation of a nominated director
5,2019-02-25,ACI,Buy declaration of a Nominated Director,1,1,0,buy declaration of a nominated director
7,2019-01-29,ACI,Q2 Financials,0,0,0,q2 financials
8,2019-01-22,ACI,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
10,2019-01-09,ACI,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
11,2018-12-27,ACI,Credit Rating Result,1,0,0,credit rating result
12,2018-12-18,ACI,Dividend Disbursement,0,1,1,dividend disbursement
13,2018-11-15,ACI,Resumption after Record Date,0,0,0,resumption after record date
14,2018-11-14,ACI,Suspension for Record Date,1,0,0,suspension for record date
15,2018-11-12,ACI,Spot News,0,1,1,spot news
16,2018-11-12,ACI,Board Approval to sell Floor Space,0,1,1,board approval to sell floor space
18,2018-11-12,ACI,Q1 Financials,0,1,1,q1 financials
19,2018-11-06,ACI,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
20,2018-10-28,ACI,Land Purchase,0,1,0,land purchase
21,2018-10-28,ACI,Price Limit Open,0,1,0,price limit open
23,2018-10-28,ACI,Dividend Declaration & increase of Authorized Capital,0,1,0,dividend declaration  increase of authorized capital
24,2018-10-18,ACI,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
25,2018-04-30,ACI,Q3 Financials,0,0,0,q3 financials
26,2018-04-23,ACI,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
28,2018-04-08,ACI,Board approval for manufacturing and marketing plan of a subsidiary,0,1,0,board approval for manufacturing and marketing plan of a subsidiary
29,2018-03-18,ACI,"Agreement signing with Yamaha Motors Co. Ltd., Japan by its subsidiary",0,0,1,"agreement signing with yamaha motors co. ltd., japan by its subsidiary"
30,2018-01-30,ACI,Q2 Financials,0,0,0,q2 financials
31,2018-01-24,ACI,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
33,2018-01-11,ACI,Dividend Disbursement,0,0,0,dividend disbursement
34,2018-01-01,ACI,Credit Rating Result,1,1,0,credit rating result
35,2017-12-21,ACI,Stock Dividend Disbursement,0,0,0,stock dividend disbursement
36,2017-11-13,ACI,Resumption after record date,0,0,0,resumption after record date
37,2017-11-13,ACI,Q1 Financials,0,0,0,q1 financials
38,2017-11-12,ACI,Suspension for Record Date,1,0,0,suspension for record date
39,2017-11-08,ACI,Spot News,0,1,0,spot news
40,2017-11-07,ACI,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
43,2017-10-24,ACI,Updating information,0,0,0,updating information
45,2017-10-24,ACI,Updating information,0,0,0,updating information
46,2017-10-24,ACI,Price Limit Open,0,0,0,price limit open
49,2017-10-24,ACI,"Dividend Declaration, investment in subsidiary Company & JV Company",0,0,0,"dividend declaration, investment in subsidiary company  jv company"
50,2017-10-15,ACI,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
51,2017-04-30,ACI,Q3 Financials,1,0,0,q3 financials
52,2017-04-24,ACI,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
53,2017-01-29,ACI,Q2 Financials,1,0,0,q2 financials
54,2017-01-01,ACI,Credit Rating Result,0,1,1,credit rating result
55,2017-01-01,ACI,Credit Rating Result,0,1,1,credit rating result
56,2016-12-14,ACI,Interim Dividend Disbursement,0,0,0,interim dividend disbursement
57,2016-12-04,ACI,Resumption after record date,0,0,0,resumption after record date
58,2016-12-01,ACI,Suspension for Record Date,1,0,0,suspension for record date
59,2016-11-29,ACI,Spot for interim dividend entitlement,0,1,1,spot for interim dividend entitlement
60,2016-11-15,ACI,Updating information of Margin Account,0,0,1,updating information of margin account
61,2016-11-14,ACI,Price Limit Open,0,0,0,price limit open
62,2016-11-14,ACI, Interim Cash Dividend,0,0,0,interim cash dividend
63,2016-11-14,ACI,Q1 Financials,0,0,0,q1 financials
64,2016-11-07,ACI,Board Meeting,1,1,1,board meeting
