,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,ACMELAB,Q3 Financials,0,0,0,q3 financials
1,2019-04-24,ACMELAB,Transmission of Deceased Director's shares to his nominees,0,0,0,transmission of deceased director's shares to his nominees
2,2019-04-24,ACMELAB,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
3,2019-03-11,ACMELAB,Obtaining Certificate of GMP Compliance from UK MHRA,0,0,0,obtaining certificate of gmp compliance from uk mhra
4,2019-01-31,ACMELAB,Q2 Financials,1,0,0,q2 financials
5,2019-01-28,ACMELAB,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
6,2019-01-06,ACMELAB,Dividend Disbursement,1,0,1,dividend disbursement
7,2019-01-06,ACMELAB,Dividend Disbursement,1,0,1,dividend disbursement
8,2018-12-24,ACMELAB,Credit Rating Result,1,0,1,credit rating result
9,2018-11-14,ACMELAB,Q1 Financials,0,1,0,q1 financials
10,2018-11-07,ACMELAB,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
11,2018-10-31,ACMELAB,Resumption after Record Date,0,1,0,resumption after record date
12,2018-10-30,ACMELAB,Suspension for Record Date,1,0,1,suspension for record date
13,2018-10-28,ACMELAB,Spot News,1,1,1,spot news
14,2018-10-03,ACMELAB,Price Limit Open,0,0,0,price limit open
15,2018-10-03,ACMELAB,Dividend Declaration,0,0,0,dividend declaration
16,2018-09-25,ACMELAB,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
17,2018-09-06,ACMELAB,Appointment of Chairman and Managing Director,0,0,0,appointment of chairman and managing director
18,2018-04-30,ACMELAB,Q3 Financials,0,0,0,q3 financials
19,2018-04-25,ACMELAB,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
20,2018-01-30,ACMELAB,Q2 Financials,0,1,0,q2 financials
21,2018-01-25,ACMELAB,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
22,2018-01-04,ACMELAB,Dividend Disbursement,0,0,0,dividend disbursement
23,2017-12-03,ACMELAB,Credit Rating Result,0,1,1,credit rating result
24,2017-11-12,ACMELAB,Q1 Financials,0,1,1,q1 financials
25,2017-11-08,ACMELAB,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
26,2017-10-31,ACMELAB,Resumption after Record Date,0,1,0,resumption after record date
27,2017-10-30,ACMELAB,Suspension for Record Date,1,0,1,suspension for record date
28,2017-10-26,ACMELAB,Spot News,0,0,0,spot news
29,2017-10-10,ACMELAB,Price Limit Open,0,1,0,price limit open
30,2017-10-10,ACMELAB,Dividend Declaration,0,1,0,dividend declaration
31,2017-10-03,ACMELAB,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
32,2017-07-09,ACMELAB,Up gradation of ISO certification,0,0,0,up gradation of iso certification
33,2017-07-09,ACMELAB,Up gradation of ISO certification,0,0,0,up gradation of iso certification
34,2017-04-30,ACMELAB,Q3 Financials,0,0,1,q3 financials
35,2017-04-25,ACMELAB,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
36,2017-01-29,ACMELAB,Q2 Financials,0,0,0,q2 financials
37,2017-01-24,ACMELAB, Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
38,2016-12-12,ACMELAB,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
39,2016-12-12,ACMELAB,Category Change,0,0,0,category change
40,2016-12-05,ACMELAB,Dividend Disbursement,1,0,0,dividend disbursement
41,2016-11-13,ACMELAB,Q1 Financials,0,1,0,q1 financials
42,2016-11-09,ACMELAB,Board Meeting,0,0,0,board meeting
43,2016-10-24,ACMELAB,Credit Rating Result,1,1,0,credit rating result
44,2016-10-13,ACMELAB,Resumption after record date,1,0,0,resumption after record date
45,2016-10-10,ACMELAB,Suspension for record date,1,0,0,suspension for record date
46,2016-10-06,ACMELAB,Spot for AGM,0,0,0,spot for agm
47,2016-09-21,ACMELAB,Price Limit Open,0,0,0,price limit open
48,2016-09-21,ACMELAB,Dividend Declaration,0,0,0,dividend declaration
49,2016-09-08,ACMELAB,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
50,2016-09-07,ACMELAB,"Revaluation of Property, Plant and Equipment",0,0,0,"revaluation of property, plant and equipment"
51,2016-06-07,ACMELAB,Q3,0,0,1,q3
52,2016-06-07,ACMELAB,Prohibition on providing loan,0,0,1,prohibition on providing loan
53,2016-06-07,ACMELAB,Trading of New Security,0,0,1,trading of new security
54,2016-06-06,ACMELAB,Q3,0,0,0,q3 the company has reported its profit
