,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,ACTIVEFINE,Q3 Financials,1,0,0,q3 financials
1,2019-04-17,ACTIVEFINE,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
2,2019-02-24,ACTIVEFINE,Credit Rating Result,0,0,0,credit rating result
3,2019-01-29,ACTIVEFINE,Q2 Financials,0,1,0,q2 financials
4,2019-01-21,ACTIVEFINE,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-01-13,ACTIVEFINE,Dividend Disbursement,1,1,1,dividend disbursement
8,2018-12-03,ACTIVEFINE,Basis for Qualified Opinion,1,0,0,basis for qualified opinion
9,2018-11-15,ACTIVEFINE,Resumption after Record Date,0,0,0,resumption after record date
10,2018-11-14,ACTIVEFINE,Suspension for Record Date,0,0,0,suspension for record date
11,2018-11-14,ACTIVEFINE,Q1 Financials,0,0,0,q1 financials
12,2018-11-12,ACTIVEFINE,Spot News,0,0,0,spot news
13,2018-11-07,ACTIVEFINE,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
14,2018-10-28,ACTIVEFINE,Price Limit Open,0,1,0,price limit open
16,2018-10-28,ACTIVEFINE,Dividend Declaration,0,1,0,dividend declaration
17,2018-10-18,ACTIVEFINE,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
18,2018-09-11,ACTIVEFINE,Query Response,1,1,0,query response
19,2018-09-10,ACTIVEFINE,Query Response,1,1,1,query response
20,2018-04-26,ACTIVEFINE,Q3 Financials,1,0,0,q3 financials
21,2018-04-19,ACTIVEFINE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
22,2018-02-14,ACTIVEFINE,Buy declaration of a Sponsor Director,1,1,0,buy declaration of a sponsor director
23,2018-01-29,ACTIVEFINE,Q2 Financials,1,0,0,q2 financials
24,2018-01-23,ACTIVEFINE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
25,2018-01-04,ACTIVEFINE,Credit Rating Result,0,0,0,credit rating result
26,2018-01-03,ACTIVEFINE,Dividend Disbursement,0,0,0,dividend disbursement
29,2017-12-28,ACTIVEFINE,Emphasis of Matter,0,0,0,emphasis of matter
30,2017-11-26,ACTIVEFINE,Venue of AGM,0,0,0,venue of agm
31,2017-11-16,ACTIVEFINE,Resumption after record date,0,0,0,resumption after record date
32,2017-11-15,ACTIVEFINE,Suspension for Record Date,1,0,0,suspension for record date
33,2017-11-15,ACTIVEFINE,Q1 Financials,1,0,0,q1 financials
34,2017-11-13,ACTIVEFINE,Spot News,1,0,1,spot news
35,2017-11-07,ACTIVEFINE,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
