,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,AFCAGRO,Q3 Financials,1,0,0,q3 financials
1,2019-04-17,AFCAGRO,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
2,2019-02-24,AFCAGRO,Credit Rating Result,0,0,1,credit rating result
3,2019-01-30,AFCAGRO,Q2 Financials,1,0,0,q2 financials
4,2019-01-21,AFCAGRO,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-01-13,AFCAGRO,Dividend Disbursement,1,0,0,dividend disbursement
7,2018-12-03,AFCAGRO,Qualified Opinion,1,1,0,qualified opinion
8,2018-11-15,AFCAGRO,Resumption after Record Date,0,0,0,resumption after record date
9,2018-11-14,AFCAGRO,Suspension for Record Date,1,0,0,suspension for record date
10,2018-11-14,AFCAGRO,Q1 Financials,1,0,0,q1 financials
11,2018-11-12,AFCAGRO,Spot News,1,0,1,spot news
12,2018-11-07,AFCAGRO,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
13,2018-10-28,AFCAGRO,Price Limit Open,0,1,1,price limit open
15,2018-10-28,AFCAGRO,Dividend Declaration,0,1,1,dividend declaration
16,2018-10-18,AFCAGRO,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
17,2018-07-19,AFCAGRO,Resumption after record date,0,0,0,resumption after record date
18,2018-07-18,AFCAGRO,Suspension for Record Date,1,0,0,suspension for record date
19,2018-07-16,AFCAGRO,Spot for EGM,1,0,1,spot for egm
20,2018-07-02,AFCAGRO,EGM to increase Authorized capital and to amend clause of the AOA,0,0,0,egm to increase authorized capital and to amend clause of the aoa
21,2018-04-30,AFCAGRO,Q3 Financials,0,0,0,q3 financials
22,2018-04-19,AFCAGRO,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
23,2018-01-30,AFCAGRO,Q2 Financials,0,0,0,q2 financials
24,2018-01-23,AFCAGRO,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
25,2018-01-04,AFCAGRO,Credit Rating Result,0,0,0,credit rating result
26,2018-01-03,AFCAGRO,Dividend Disbursement,1,0,0,dividend disbursement
27,2017-11-26,AFCAGRO,Venue of AGM,0,0,1,venue of agm
28,2017-11-16,AFCAGRO,Resumption after record date,0,0,0,resumption after record date
29,2017-11-15,AFCAGRO,Suspension for Record Date,1,0,0,suspension for record date
30,2017-11-15,AFCAGRO,Q1 Financials,1,0,0,q1 financials
31,2017-11-13,AFCAGRO,Spot News,1,0,1,spot news
32,2017-11-07,AFCAGRO,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
33,2017-10-29,AFCAGRO,Price Limit Open,0,1,1,price limit open
34,2017-10-29,AFCAGRO,Dividend Declaration,0,1,1,dividend declaration
35,2017-10-18,AFCAGRO,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
36,2017-04-30,AFCAGRO,Q3 Financials,0,0,0,q3 financials
37,2017-04-24,AFCAGRO,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
38,2017-02-27,AFCAGRO,Query Response,1,0,0,query response
39,2017-01-30,AFCAGRO,Q2 Financials,1,1,0,q2 financials
40,2017-01-24,AFCAGRO,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
41,2016-12-27,AFCAGRO,Stock Dividend Disbursement,0,1,0,stock dividend disbursement
42,2016-12-11,AFCAGRO,Credit Rating Result,1,1,0,credit rating result
43,2016-11-15,AFCAGRO,Q1 Financials,1,0,0,q1 financials
44,2016-11-10,AFCAGRO,Board Meeting,0,0,0,board meeting
45,2016-11-08,AFCAGRO,Resumption after record date,0,0,0,resumption after record date
46,2016-11-07,AFCAGRO,Suspension for record date,1,0,0,suspension for record date
47,2016-11-03,AFCAGRO,Spot for AGM,1,0,0,spot for agm
48,2016-10-31,AFCAGRO,Resumption after record,0,0,1,resumption after record
49,2016-10-30,AFCAGRO,Suspension for record,0,0,0,suspension for record
50,2016-10-26,AFCAGRO,Spot for EGM,0,0,0,spot for egm
51,2016-10-19,AFCAGRO,Price Limit Open,0,0,0,price limit open
52,2016-10-19,AFCAGRO,Dividend Declaration,0,0,0,dividend declaration
53,2016-10-13,AFCAGRO,Board Meeting,1,0,0,board meeting
54,2016-10-09,AFCAGRO,EGM,0,0,0,egm
55,2016-05-09,AFCAGRO,Change of Financial year,0,0,0,change of financial year
56,2016-01-31,AFCAGRO,Commercial production of Industrial Enzymes & Expected Turnover,0,0,1,commercial production of industrial enzymes  expected turnover
57,2015-11-01,AFCAGRO,Q3,1,1,0,q3
58,2015-10-26,AFCAGRO, Board Meeting,0,1,1,board meeting
59,2015-10-21,AFCAGRO,Address Change of Corporate Office,1,0,0,address change of corporate office
60,2015-08-02,AFCAGRO,Q2 Financials,1,0,0,q2 financials
61,2015-07-29,AFCAGRO,Credit Rating Result,0,0,0,credit rating result
62,2015-06-07,AFCAGRO,Dividend Disbursement,0,0,0,dividend disbursement
63,2015-05-18,AFCAGRO,Q1 Financials,1,1,0,q1 financials
64,2015-05-12,AFCAGRO,Resumption News after Record Date,0,0,1,resumption news after record date
65,2015-05-11,AFCAGRO,Suspension News for Record Date,1,0,0,suspension news for record date
66,2015-05-07,AFCAGRO,Spot Market,1,0,0,spot market
67,2015-04-30,AFCAGRO,no price limit today,1,0,0,no price limit today
68,2015-04-30,AFCAGRO,Dividend,1,0,0,dividend
69,2015-04-26,AFCAGRO,Board Meeting,1,1,0,board meeting
70,2015-02-12,AFCAGRO,Agreement Signing,1,0,0,agreement signing
71,2014-11-02,AFCAGRO,Q3 earnings,0,1,0,q3 earnings
72,2014-07-23,AFCAGRO,H/Y Earnings,0,1,0,hy earnings
73,2014-06-23,AFCAGRO,credited the bonus shares,0,1,0,credited the bonus shares
74,2014-05-14,AFCAGRO,Q1 Earnings,0,0,0,q1 earnings
75,2014-05-08,AFCAGRO,trade resume,0,0,0,trade resume
76,2014-05-07,AFCAGRO,trade suspended,0,0,0,trade suspended
77,2014-05-05,AFCAGRO,Spot Market and Block/Odd lot transactions,1,1,0,spot market and blockodd lot transactions
78,2014-04-22,AFCAGRO,recommended 10% stock dividend,1,1,1,recommended 10 stock dividend
79,2014-04-20,AFCAGRO,Board Meeting,0,1,1,board meeting
80,2014-02-11,AFCAGRO,Q3 Earnings,1,0,0,q3 earnings
81,2014-02-11,AFCAGRO,trade debut,1,0,0,trade debut
