,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,AGNISYSL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-03-03,AGNISYSL,Credit Rating Result,0,0,1,credit rating result
2,2019-01-31,AGNISYSL,Q2 Financials,0,0,0,q2 financials
3,2019-01-27,AGNISYSL,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
4,2019-01-15,AGNISYSL,Dividend Disbursement,0,0,0,dividend disbursement
5,2018-11-18,AGNISYSL,Resumption after record date,0,0,0,resumption after record date
6,2018-11-15,AGNISYSL,Suspension for Record Date,0,0,0,suspension for record date
7,2018-11-14,AGNISYSL,Q1 Financials,0,0,0,q1 financials
8,2018-11-13,AGNISYSL,Spot News,0,0,0,spot news
9,2018-11-08,AGNISYSL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
10,2018-10-29,AGNISYSL,Price Limit Open,1,1,0,price limit open
11,2018-10-29,AGNISYSL,Dividend Declaration,1,1,0,dividend declaration
12,2018-10-21,AGNISYSL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
13,2018-04-30,AGNISYSL,Q3 Financials,0,0,0,q3 financials
14,2018-04-24,AGNISYSL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
16,2018-02-01,AGNISYSL,Emphasis of Matter,0,0,0,emphasis of matter
17,2018-01-31,AGNISYSL,Q2 Financials,0,0,0,q2 financials
18,2018-01-25,AGNISYSL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
19,2018-01-16,AGNISYSL,Dividend Disbursement,1,0,0,dividend disbursement
20,2018-01-01,AGNISYSL,Credit Rating Result,0,1,0,credit rating result
21,2017-11-23,AGNISYSL,Resumption after record date,0,0,0,resumption after record date
22,2017-11-22,AGNISYSL,Suspension for Record Date,1,0,0,suspension for record date
23,2017-11-20,AGNISYSL,Spot News,0,1,1,spot news
24,2017-11-15,AGNISYSL,Q1 Financials,1,0,0,q1 financials
25,2017-11-08,AGNISYSL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
26,2017-10-30,AGNISYSL,Price Limit Open,1,1,1,price limit open
27,2017-10-30,AGNISYSL,Dividend Declaration,1,1,1,dividend declaration
28,2017-10-22,AGNISYSL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
29,2017-04-30,AGNISYSL,Q3 Financials,1,0,1,q3 financials
30,2017-04-25,AGNISYSL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
31,2017-01-29,AGNISYSL,Q2 Financials,0,0,0,q2 financials
32,2017-01-25,AGNISYSL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
33,2017-01-01,AGNISYSL,Credit Rating Result,0,0,0,credit rating result
34,2017-01-01,AGNISYSL,Credit Rating Result,0,0,0,credit rating result
35,2016-12-15,AGNISYSL,Emphasis of Matter,0,0,0,emphasis of matter
36,2016-11-20,AGNISYSL,Resumption after record date,0,1,0,resumption after record date
37,2016-11-17,AGNISYSL,Suspension for record date,0,0,0,suspension for record date
38,2016-11-15,AGNISYSL,Spot for AGM,1,0,0,spot for agm
39,2016-11-15,AGNISYSL,Q1 Financials,1,0,0,q1 financials
40,2016-10-30,AGNISYSL,Price Limit Open,1,0,0,price limit open
41,2016-10-30,AGNISYSL,Dividend Declaration,1,0,0,dividend declaration
42,2016-10-20,AGNISYSL,Board Meeting,1,0,0,board meeting
43,2016-05-02,AGNISYSL,Q3 Financials,0,1,0,q3 financials
44,2016-04-24,AGNISYSL,Board Meeting,1,0,0,board meeting
45,2016-01-31,AGNISYSL,Q2 Financials,0,0,0,q2 financials
46,2016-01-26,AGNISYSL,Board Meeting,0,0,1,board meeting
47,2016-01-20,AGNISYSL,Dividend Disbursement,0,1,0,dividend disbursement
48,2015-12-31,AGNISYSL,Credit Rating Result,1,0,0,credit rating result
49,2015-11-18,AGNISYSL,Resumption News after Record date,0,0,0,resumption news after record date
50,2015-11-17,AGNISYSL,Suspension News for Record Date,1,0,0,suspension news for record date
51,2015-11-15,AGNISYSL,Spot News,0,1,1,spot news
52,2015-11-15,AGNISYSL,Q1 Financials,0,1,1,q1 financials
53,2015-11-10,AGNISYSL,Board Meeting,0,0,1,board meeting
54,2015-10-29,AGNISYSL,Dividend Declaration,0,0,0,dividend declaration
55,2015-10-21,AGNISYSL,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
56,2015-05-04,AGNISYSL,Q3 Financials,0,1,1,q3 financials
57,2015-02-02,AGNISYSL,Half Yearly Financials,0,1,0,half yearly financials
58,2015-01-18,AGNISYSL,credited the bonus shares,1,0,0,credited the bonus shares
59,2015-01-01,AGNISYSL,Credit Rating,1,0,0,credit rating
60,2014-12-21,AGNISYSL,DSE query,1,0,0,dse query
61,2014-11-16,AGNISYSL,Trade Resume,0,0,0,trade resume
62,2014-11-16,AGNISYSL,Q1 Earning,0,0,0,q1 earning
63,2014-11-13,AGNISYSL,will remain suspended,1,0,0,will remain suspended
64,2014-11-11,AGNISYSL,SPOT MARKET,1,1,1,spot market
65,2014-11-02,AGNISYSL,no price limit,0,0,0,no price limit
66,2014-11-02,AGNISYSL,devidend declaration,0,0,0,devidend declaration
67,2014-10-27,AGNISYSL,Board Meeting,1,0,0,board meeting
68,2014-08-26,AGNISYSL,has no undisclosed price sensitive information,1,1,1,has no undisclosed price sensitive information
69,2014-05-04,AGNISYSL,Q3 Earning,1,0,1,q3 earning
70,2014-01-30,AGNISYSL,H/Y Earnings,0,0,0,hy earnings
71,2014-01-19,AGNISYSL,Bonus share credited,0,0,0,bonus share credited
72,2013-11-14,AGNISYSL,Q1 Earnings,1,0,0,q1 earnings
73,2013-11-13,AGNISYSL,trade resume after record date,0,1,0,trade resume after record date
74,2013-11-12,AGNISYSL,trade suspension on record date,1,0,1,trade suspension on record date
75,2013-11-07,AGNISYSL,trade suspension on record date,1,0,0,trade suspension on record date
76,2013-10-31,AGNISYSL,no Price limit,0,0,0,no price limit
77,2013-10-31,AGNISYSL,10% Stock Dividend,0,0,0,10 stock dividend
78,2013-04-30,AGNISYSL,Q3 Earnings,1,0,1,q3 earnings
79,2013-01-31,AGNISYSL,H/Y Earnings 2012-13,1,0,0,hy earnings 2012-13
80,2013-01-22,AGNISYSL,signed agreement with GP,1,0,1,signed agreement with gp
81,2013-01-17,AGNISYSL,Bonus Share,1,0,0,bonus share
82,2012-12-02,AGNISYSL,Q1 Earnings 2012-13,0,0,1,q1 earnings 2012-13
83,2012-11-18,AGNISYSL,Spot Market trading,0,0,0,spot market trading
84,2012-11-05,AGNISYSL,new investment decision,1,0,0,new investment decision
85,2012-11-01,AGNISYSL,corporate declaration,1,0,0,corporate declaration
86,2012-10-30,AGNISYSL,Board Meeting,0,0,1,board meeting
87,2012-10-03,AGNISYSL,responses to DSE query,0,0,0,responses to dse query
88,2012-05-10,AGNISYSL,- Trading of the shares...,1,0,0,trading of the shares
89,2012-05-03,AGNISYSL,- Mr. Zia Shamsi...,0,0,0,mr. zia shamsi
