,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,AGRANINS,Price Limit Open,0,1,0,price limit open
1,2019-04-28,AGRANINS,Dividend Declaration,0,1,0,dividend declaration
2,2019-04-18,AGRANINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
3,2019-01-16,AGRANINS,Query Response,0,0,0,query response
4,2018-10-14,AGRANINS,Q3 Financials,0,0,1,q3 financials
5,2018-10-07,AGRANINS,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
6,2018-09-13,AGRANINS,Buy Confirmation of a Sponsor Director,0,0,0,buy confirmation of a sponsor director
7,2018-09-05,AGRANINS,Buy Declaration of a Sponsor Director,0,0,0,buy declaration of a sponsor director
8,2018-09-03,AGRANINS,Buy Confirmation of a Sponsor Director,0,1,0,buy confirmation of a sponsor director
9,2018-08-29,AGRANINS,Buy Confirmation of a Sponsor Director,0,0,0,buy confirmation of a sponsor director
10,2018-08-16,AGRANINS,Sale Confirmation of a Sponsor Director,1,0,0,sale confirmation of a sponsor director
11,2018-08-13,AGRANINS,Buy Declaration of a Sponsor Director,0,1,0,buy declaration of a sponsor director
12,2018-08-12,AGRANINS,Credit Rating Result,0,0,1,credit rating result
13,2018-08-06,AGRANINS,Sale Declaration of a Sponsor Director,0,0,1,sale declaration of a sponsor director
14,2018-07-26,AGRANINS,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
15,2018-07-25,AGRANINS,Q2 Financials,0,0,0,q2 financials
16,2018-07-18,AGRANINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
17,2018-07-12,AGRANINS,Buy declaration of a Sponsor Director,0,0,0,buy declaration of a sponsor director
18,2018-07-05,AGRANINS,Dividend Disbursement,1,0,0,dividend disbursement
19,2018-07-04,AGRANINS,Appointment of Chairman and Vice Chairman of the Company,0,1,0,appointment of chairman and vice chairman of the company
20,2018-05-23,AGRANINS,Resumption after record date,0,0,0,resumption after record date
21,2018-05-22,AGRANINS,Suspension for Record Date,1,0,0,suspension for record date
22,2018-05-20,AGRANINS,Spot News,0,0,1,spot news
23,2018-05-14,AGRANINS,Q1 Financials,0,0,0,q1 financials
24,2018-05-07,AGRANINS,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
25,2018-04-30,AGRANINS,Price Limit Open,0,0,0,price limit open
26,2018-04-30,AGRANINS,Dividend Declaration,0,0,0,dividend declaration
27,2018-04-19,AGRANINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
28,2017-10-29,AGRANINS,Q3 Financials,1,0,1,q3 financials
29,2017-10-23,AGRANINS,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
30,2017-08-27,AGRANINS,Credit Rating Result,0,0,1,credit rating result
31,2017-07-30,AGRANINS,Q2 Financials,1,1,1,q2 financials
32,2017-07-19,AGRANINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
33,2017-07-12,AGRANINS,Dividend Disbursement,1,0,0,dividend disbursement
34,2017-06-21,AGRANINS,Dividend Disbursement,1,0,0,dividend disbursement
35,2017-05-21,AGRANINS,Resumption after Record Date,0,0,0,resumption after record date
36,2017-05-18,AGRANINS,Suspension for Record Date,0,0,0,suspension for record date
37,2017-05-16,AGRANINS,Spot News,0,0,0,spot news
38,2017-05-14,AGRANINS,Q1 Financials,1,1,0,q1 financials
39,2017-05-07,AGRANINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
40,2017-04-27,AGRANINS,Price Limit Open,0,0,0,price limit open
41,2017-04-27,AGRANINS,Dividend Declaration,0,0,0,dividend declaration
42,2017-04-25,AGRANINS,Reschedule of Board Meeting under LR 19(1),1,0,0,reschedule of board meeting under lr 191
43,2017-04-18,AGRANINS,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
44,2016-10-30,AGRANINS,Q3 Financials,0,0,0,q3 financials
45,2016-10-26,AGRANINS,Reschedule of Board Meeting schedule under LR 16(1),1,1,0,reschedule of board meeting schedule under lr 161
46,2016-09-05,AGRANINS,Credit Rating Result,0,0,0,credit rating result
47,2016-08-04,AGRANINS,Buy Confirmation,1,0,0,buy confirmation
48,2016-07-31,AGRANINS,Q2 Financials,0,0,0,q2 financials
49,2016-07-27,AGRANINS,Buy Confirmation of a Director,0,1,0,buy confirmation of a director
50,2016-07-27,AGRANINS,Buy Declaration of a Director,0,1,0,buy declaration of a director
51,2016-07-21,AGRANINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
52,2016-07-20,AGRANINS,Buy Declaration of a Director,0,0,0,buy declaration of a director
53,2016-07-19,AGRANINS,Buy Confirmation of a Director,0,0,0,buy confirmation of a director
54,2016-07-14,AGRANINS,Sponsors has expressed his intention to buy,1,0,0,sponsors has expressed his intention to buy
55,2016-06-30,AGRANINS,Dividend Warrants sent through courier service,1,0,0,dividend warrants sent through courier service
56,2016-05-16,AGRANINS,Resumption after Record date,0,0,1,resumption after record date
57,2016-05-15,AGRANINS,Resumption after Record date,0,0,0,resumption after record date
58,2016-05-15,AGRANINS,Q1 Financials,0,0,0,q1 financials
59,2016-05-11,AGRANINS,Spot News for AGM,1,1,0,spot news for agm
60,2016-05-08,AGRANINS,Board Meeting,0,0,0,board meeting
61,2016-04-25,AGRANINS,Price Limit,0,1,1,price limit
62,2016-04-25,AGRANINS,Dividend Declaration,0,1,1,dividend declaration
63,2016-04-18,AGRANINS,Board Meeting,0,0,0,board meeting
64,2015-11-08,AGRANINS,Office Space Purchase,1,0,0,office space purchase
65,2015-10-26,AGRANINS,Q3 Financials,0,1,0,q3 financials
66,2015-10-19,AGRANINS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
67,2015-08-30,AGRANINS,Credit Rating Result,0,0,1,credit rating result
68,2015-08-02,AGRANINS,Q2 Financials,1,1,0,q2 financials
69,2015-06-29,AGRANINS,Dividend Disbursement,1,1,0,dividend disbursement
70,2015-05-31,AGRANINS,Newly Elected Chairman and Vice Chairman,1,1,1,newly elected chairman and vice chairman
71,2015-05-17,AGRANINS,Q1 Financials,0,1,1,q1 financials
72,2015-05-14,AGRANINS,Buy confirmation of Sponsor/Director,1,0,0,buy confirmation of sponsordirector
73,2015-05-05,AGRANINS,Intention to buy/sell,0,0,1,intention to buysell
74,2015-04-29,AGRANINS,Resumption News after Record Date,0,0,0,resumption news after record date
75,2015-04-27,AGRANINS,will remain suspended,0,0,0,will remain suspended
76,2015-04-23,AGRANINS,Spot Market Trading,1,0,0,spot market trading
77,2015-04-19,AGRANINS,Price Limit Open,1,1,1,price limit open
78,2015-04-19,AGRANINS,Dividend Declaration,1,1,1,dividend declaration
79,2015-04-13,AGRANINS,meeting of the Board of Directors,1,0,1,meeting of the board of directors
80,2014-11-02,AGRANINS,Q3 earnings,1,1,0,q3 earnings
81,2014-10-22,AGRANINS,Sponsors/Directors share sell,0,0,0,sponsorsdirectors share sell
82,2014-10-20,AGRANINS,sponsored intention to share sell,0,1,0,sponsored intention to share sell
83,2014-08-21,AGRANINS,Credit Rating,0,0,0,credit rating
84,2014-08-11,AGRANINS,Sponsor/Director Share Buy,0,0,0,sponsordirector share buy
85,2014-08-03,AGRANINS,H/Y Earnings,0,0,0,hy earnings
86,2014-07-21,AGRANINS,Sponsors/Directors share buy,0,0,0,sponsorsdirectors share buy
87,2014-07-13,AGRANINS,sponsored intention to share buy,0,0,0,sponsored intention to share buy
88,2014-06-22,AGRANINS,Sponsor/Director Share Buy,1,0,0,sponsordirector share buy
89,2014-05-15,AGRANINS,Q1 Earning,0,0,0,q1 earning
90,2014-05-08,AGRANINS,Sponsor/Director Share Buy,0,0,0,sponsordirector share buy
91,2014-04-30,AGRANINS,Sponsors share buy,1,0,0,sponsors share buy
92,2014-04-30,AGRANINS,Sponsors/Directors share buy,1,0,0,sponsorsdirectors share buy
93,2014-04-29,AGRANINS,Sponsors/Directors share buy,0,1,0,sponsorsdirectors share buy
94,2014-04-29,AGRANINS,Trade Resume,0,1,0,trade resume
95,2014-04-28,AGRANINS,Trade remain suspended on record date,0,0,1,trade remain suspended on record date
96,2014-04-28,AGRANINS, Sponsors/Directors share buy,0,0,1,sponsorsdirectors share buy
97,2014-04-24,AGRANINS,Sponsor/Director Share Buy,0,0,0,sponsordirector share buy
98,2014-04-24,AGRANINS,Spot Market Transaction,0,0,0,spot market transaction
99,2014-04-20,AGRANINS,recommended 5% cash and 5% stock dividend,0,1,1,recommended 5 cash and 5 stock dividend
100,2014-04-13,AGRANINS,Board Meeting,0,0,0,board meeting
101,2013-10-31,AGRANINS,Q3 Earnings,0,0,0,q3 earnings
102,2013-09-30,AGRANINS,Sponsors Share Buy,0,1,0,sponsors share buy
103,2013-09-30,AGRANINS,Sponsors Share Sell,0,1,0,sponsors share sell
104,2013-09-25,AGRANINS,Share Sell,0,1,0,share sell
105,2013-09-25,AGRANINS,Credit Rating,0,1,0,credit rating
106,2013-09-19,AGRANINS,Sponsors Share Sell,1,0,0,sponsors share sell
107,2013-09-11,AGRANINS,Sponsors Share Buy,1,1,0,sponsors share buy
108,2013-08-19,AGRANINS,Sponsors Share Sell,0,0,0,sponsors share sell
109,2013-08-05,AGRANINS,Sponsors Share Buy,1,0,0,sponsors share buy
110,2013-07-31,AGRANINS,Q2 Earnings,0,0,0,q2 earnings
111,2013-07-29,AGRANINS,Sponsors Share Buy,1,0,0,sponsors share buy
112,2013-07-16,AGRANINS,Sponsors Share Sell,0,1,0,sponsors share sell
113,2013-05-07,AGRANINS,Trade Suspension on Record Date,0,0,0,trade suspension on record date
114,2013-05-02,AGRANINS,Spot Market Trading,0,0,0,spot market trading
115,2013-04-28,AGRANINS,Corporate Declaration,0,0,0,corporate declaration
116,2013-04-21,AGRANINS,Board meeting,0,1,0,board meeting
117,2012-10-21,AGRANINS,Fixed asset acquisition,1,0,0,fixed asset acquisition
118,2012-07-17,AGRANINS,- The Company has informed...,0,1,1,the company has informed
119,2012-06-28,AGRANINS,- The Company has informed...,0,0,0,the company has informed
120,2012-05-15,AGRANINS,- Q1): As per un-audited quarterly accounts...,0,0,1,q1: as per un-audited quarterly accounts
121,2012-05-09,AGRANINS,- Normal trading of the shares...,0,1,0,normal trading of the shares
122,2012-04-24,AGRANINS,- As per regulation ...,0,0,0,as per regulation
123,2011-12-13,AGRANINS,- Mr. Abdul Kader Khan...,1,1,0,mr. abdul kader khan
124,2011-11-02,AGRANINS,- Normal trading of the shares...,0,1,0,normal trading of the shares
125,2011-11-01,AGRANINS,- Trading of the shares...,1,0,1,trading of the shares
126,2011-10-27,AGRANINS,- Trading of the shares...,0,0,0,trading of the shares
127,2011-10-25,AGRANINS,- As per un-audited...,1,0,0,as per un-audited
128,2011-10-24,AGRANINS,- The Company has informed...,0,1,0,the company has informed
129,2011-09-07,AGRANINS,- Mr. H. M. Ibrahim...,1,1,0,mr. h. m. ibrahim
130,2011-08-02,AGRANINS,- The Rating Committee of CRISL...,0,1,0,the rating committee of crisl
131,2011-08-01,AGRANINS,- (H/Y): As per un-audited...,0,0,1,hy: as per un-audited
132,2011-07-28,AGRANINS,- Mr. H. M. Ibrahim...,1,0,0,mr. h. m. ibrahim
