,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,AIL,Q3 Financials,1,0,0,q3 financials
1,2019-04-23,AIL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
2,2019-03-19,AIL,Confirmation of share transfer by a Director,1,0,0,confirmation of share transfer by a director
3,2019-03-07,AIL,Declaration of share transfer by a Director,0,0,0,declaration of share transfer by a director
4,2019-02-03,AIL,Q2 Financials,1,0,0,q2 financials
5,2019-01-28,AIL,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
6,2019-01-28,AIL,Credit Rating Result,0,0,0,credit rating result
7,2019-01-27,AIL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
8,2019-01-20,AIL,Stock Dividend Disbursement,0,0,0,stock dividend disbursement
9,2018-11-18,AIL,Resumption after record date,0,0,0,resumption after record date
10,2018-11-15,AIL,Suspension for Record Date,1,0,0,suspension for record date
11,2018-11-14,AIL,Q1 Financials,1,1,0,q1 financials
12,2018-11-13,AIL,Spot News,0,1,1,spot news
13,2018-11-08,AIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
14,2018-10-29,AIL,Price Limit Open,1,0,1,price limit open
16,2018-10-29,AIL,Dividend Declaration,1,0,1,dividend declaration
17,2018-10-21,AIL,Board Meeting schedule under LR 19(1),0,1,1,board meeting schedule under lr 191
18,2018-06-04,AIL,Query Response,0,0,1,query response
19,2018-05-31,AIL,Query Response,1,0,0,query response
20,2018-05-03,AIL,Q3 Financials,0,0,0,q3 financials
21,2018-04-30,AIL,Declaration of share transfer by a Director,0,0,0,declaration of share transfer by a director
22,2018-04-24,AIL,Enquiry Committee formation by BSEC,0,1,0,enquiry committee formation by bsec
23,2018-04-23,AIL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
24,2018-04-18,AIL,Revised date of the EGM,1,0,0,revised date of the egm
25,2018-03-11,AIL,Resumption after record date,0,0,0,resumption after record date
26,2018-03-11,AIL,Revised date and time of the EGM,0,0,0,revised date and time of the egm
27,2018-03-08,AIL,Suspension for Record Date,0,0,0,suspension for record date
28,2018-03-06,AIL,Spot News for EGM,1,0,0,spot news for egm
32,2018-02-20,AIL,Setup of 2 New business units and passing special resolutions in EGM,1,0,0,setup of 2 new business units and passing special resolutions in egm
33,2018-02-01,AIL,Q2 Financials,1,0,0,q2 financials
34,2018-01-28,AIL,Prohibition on providing loan facilities to purchase securities,0,1,1,prohibition on providing loan facilities to purchase securities
35,2018-01-28,AIL,Category Change,0,1,1,category change
36,2018-01-28,AIL,Dividend Disbursement,0,1,1,dividend disbursement
37,2018-01-24,AIL,Dividend Disbursement,1,1,0,dividend disbursement
38,2018-01-24,AIL,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
39,2017-12-28,AIL,Q1 Financials,0,0,0,q1 financials
40,2017-12-28,AIL,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
42,2017-12-28,AIL,Trading of shares of Alif Industries Limited in the Main Market,0,0,0,trading of shares of alif industries limited in the main market
