,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,AL-HAJTEX,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
1,2019-04-07,AL-HAJTEX,Payment of Tk 25.00 crore by Agrani Bank Limited,0,0,0,payment of tk 25.00 crore by agrani bank limited
2,2019-03-10,AL-HAJTEX,Court Direction to Agrani Bank to pay the Company Tk 25.00 crore,0,0,0,court direction to agrani bank to pay the company tk 25.00 crore
3,2019-02-03,AL-HAJTEX,Further Court Direction to Agrani Bank to file affidavit of compliance,0,0,1,further court direction to agrani bank to file affidavit of compliance
5,2019-01-31,AL-HAJTEX,Q2 Financials,1,0,0,q2 financials
6,2019-01-24,AL-HAJTEX,Dividend Disbursement,1,0,0,dividend disbursement
7,2019-01-24,AL-HAJTEX,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
8,2019-01-16,AL-HAJTEX,"Court Direction to Agrani Bank to pay the Company Tk. 55,83,46,578",0,0,0,"court direction to agrani bank to pay the company tk. 55,83,46,578"
9,2019-01-08,AL-HAJTEX,Query Response,0,1,1,query response
12,2018-12-03,AL-HAJTEX,Emphasis of Matter,0,1,1,emphasis of matter
13,2018-11-29,AL-HAJTEX,Resumption after record date,0,0,0,resumption after record date
14,2018-11-28,AL-HAJTEX,Suspension for Record date,0,0,0,suspension for record date
15,2018-11-26,AL-HAJTEX,Spot News,1,1,0,spot news
16,2018-11-15,AL-HAJTEX,Q1 Financials,1,0,0,q1 financials
17,2018-11-08,AL-HAJTEX,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
18,2018-10-28,AL-HAJTEX,Price Limit Open,1,1,1,price limit open
19,2018-10-28,AL-HAJTEX,Dividend Declaration,1,1,1,dividend declaration
20,2018-10-18,AL-HAJTEX,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
22,2018-08-08,AL-HAJTEX,Over payment of bill after establishing new turbine meter with EVC,0,0,0,over payment of bill after establishing new turbine meter with evc
23,2018-04-30,AL-HAJTEX,Q3 Financials,0,0,0,q3 financials
24,2018-04-24,AL-HAJTEX,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
27,2018-02-27,AL-HAJTEX,Emphasis of Matter,0,0,1,emphasis of matter
28,2018-01-28,AL-HAJTEX,Q2 Financials,0,0,0,q2 financials
29,2018-01-24,AL-HAJTEX,Dividend Disbursement,0,1,0,dividend disbursement
30,2018-01-23,AL-HAJTEX,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
31,2017-12-07,AL-HAJTEX,Resumption after record date,0,0,0,resumption after record date
32,2017-12-06,AL-HAJTEX,Suspension for Record Date,0,0,0,suspension for record date
33,2017-12-04,AL-HAJTEX,Spot News,0,0,0,spot news
34,2017-11-16,AL-HAJTEX,Q1 Financials,1,0,0,q1 financials
35,2017-11-09,AL-HAJTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
36,2017-10-29,AL-HAJTEX,Price Limit Open,0,0,1,price limit open
37,2017-10-29,AL-HAJTEX,Dividend Declaration,0,0,1,dividend declaration
38,2017-10-22,AL-HAJTEX,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
39,2017-04-27,AL-HAJTEX,Q3 Financials,0,0,0,q3 financials
40,2017-04-25,AL-HAJTEX,Confirmation of transfer by a Director,1,1,0,confirmation of transfer by a director
41,2017-04-23,AL-HAJTEX,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
42,2017-03-06,AL-HAJTEX,Query Response,1,1,0,query response
43,2017-01-29,AL-HAJTEX,Q2 Financials,0,0,0,q2 financials
44,2017-01-23,AL-HAJTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
45,2017-01-23,AL-HAJTEX, Dividend Disbursement,0,0,0,dividend disbursement
46,2017-01-16,AL-HAJTEX,Declaration of transfer by a Director,0,0,0,declaration of transfer by a director
47,2016-12-11,AL-HAJTEX,Emphasis of Matter,0,0,0,emphasis of matter
48,2016-12-04,AL-HAJTEX,Spot for AGM,0,1,0,spot for agm
49,2016-11-15,AL-HAJTEX,Q1 Financials,0,1,0,q1 financials
50,2016-11-10,AL-HAJTEX,Board Meeting,1,0,0,board meeting
51,2016-10-30,AL-HAJTEX,Price Limit Open,1,0,0,price limit open
52,2016-10-30,AL-HAJTEX,Dividend Declaration,1,0,0,dividend declaration
53,2016-10-23,AL-HAJTEX,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
54,2016-04-28,AL-HAJTEX,Q3 Financials,0,0,0,q3 financials
55,2016-04-21,AL-HAJTEX,Board Meeting (Q3),0,0,0,board meeting q3
56,2016-02-17,AL-HAJTEX, Declaration of Transfer by a Director,0,0,0,declaration of transfer by a director
57,2016-02-02,AL-HAJTEX,Declaration of Transfer by a Director,0,0,0,declaration of transfer by a director
58,2016-01-31,AL-HAJTEX,Q2 Financials,0,1,0,q2 financials
59,2016-01-25,AL-HAJTEX,Dividend Disbursement,0,0,0,dividend disbursement
60,2016-01-25,AL-HAJTEX,Board Meeting,0,0,0,board meeting
61,2015-11-17,AL-HAJTEX,Resumption News after Record date,0,1,0,resumption news after record date
62,2015-11-16,AL-HAJTEX,Suspension News,1,0,1,suspension news
63,2015-11-12,AL-HAJTEX,Spot News,1,0,0,spot news
64,2015-11-11,AL-HAJTEX,Q1 Financials,0,1,0,q1 financials
65,2015-11-08,AL-HAJTEX,Board Meeting,0,0,0,board meeting
66,2015-10-29,AL-HAJTEX,Price Limit Open,1,0,0,price limit open
67,2015-10-29,AL-HAJTEX, Dividend Declaration,1,0,0,dividend declaration
68,2015-10-21,AL-HAJTEX,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
69,2015-08-10,AL-HAJTEX,Query Response,1,1,0,query response
70,2015-06-11,AL-HAJTEX,Query Response,0,0,0,query response
71,2015-04-30,AL-HAJTEX,Q3,0,0,0,q3
72,2015-02-11,AL-HAJTEX,Declaration of transfer by Director,0,1,0,declaration of transfer by director
73,2015-01-28,AL-HAJTEX,H/Y,0,0,0,hy
74,2015-01-08,AL-HAJTEX,credited the bonus shares,1,0,0,credited the bonus shares
75,2015-01-01,AL-HAJTEX,DSE query,1,0,0,dse query
76,2014-11-20,AL-HAJTEX,intention to share transfer,0,0,0,intention to share transfer
77,2014-11-13,AL-HAJTEX,Q1,0,0,0,q1
78,2014-11-05,AL-HAJTEX,trade resume,0,1,0,trade resume
79,2014-10-30,AL-HAJTEX,Spot Market Transaction,1,0,0,spot market transaction
80,2014-10-16,AL-HAJTEX,has no price limit today,0,0,0,has no price limit today
81,2014-10-16,AL-HAJTEX,Dividend,0,0,0,dividend
82,2014-10-13,AL-HAJTEX, Board Meeting,0,0,1,board meeting
83,2014-08-07,AL-HAJTEX,DSE query,1,0,0,dse query
84,2014-06-03,AL-HAJTEX,fund settlement with Agrani Bank,1,1,0,fund settlement with agrani bank
85,2014-04-29,AL-HAJTEX,Q3 Earning,0,1,0,q3 earning
86,2014-02-24,AL-HAJTEX,DSE query,1,1,1,dse query
