,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,ALARABANK,Price Limit Open,1,0,0,price limit open
2,2019-04-25,ALARABANK,Dividend Declaration,1,0,0,dividend declaration
3,2019-04-15,ALARABANK,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
4,2018-10-22,ALARABANK,Q3 Financials,0,1,0,q3 financials
5,2018-10-15,ALARABANK,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
6,2018-10-03,ALARABANK,Appointment of Managing Director,1,1,0,appointment of managing director
7,2018-07-30,ALARABANK,Q2 Financials,0,0,1,q2 financials
8,2018-07-23,ALARABANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
11,2018-07-18,ALARABANK,Consent accorded from BSEC for issuance of Subordinated Bond,0,0,0,consent accorded from bsec for issuance of subordinated bond
12,2018-07-04,ALARABANK,Buy Confirmation of a Sponsor Director,0,0,0,buy confirmation of a sponsor director
13,2018-07-02,ALARABANK,Credit Rating Result,0,0,0,credit rating result
14,2018-07-02,ALARABANK,To Reduce share holding percentage of its subsidiary Company,0,0,0,to reduce share holding percentage of its subsidiary company
15,2018-06-21,ALARABANK,Dividend Disbursement,0,0,0,dividend disbursement
16,2018-06-20,ALARABANK,Buy Declaration of a Sponsor Director,0,0,0,buy declaration of a sponsor director
17,2018-05-09,ALARABANK,Q1 Financials,0,0,0,q1 financials
18,2018-05-03,ALARABANK,Resumption after record date,0,0,0,resumption after record date
19,2018-04-30,ALARABANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
20,2018-04-30,ALARABANK,Suspension for Record Date,0,0,0,suspension for record date
21,2018-04-25,ALARABANK,Spot News,0,0,0,spot news
22,2018-04-10,ALARABANK,Updating information,1,0,0,updating information
24,2018-04-10,ALARABANK,Board decision to issue 7 years redeemable Mudaraba Subordinated Bond,1,0,0,board decision to issue 7 years redeemable mudaraba subordinated bond
25,2018-04-10,ALARABANK,Price Limit Open,1,0,0,price limit open
27,2018-04-10,ALARABANK,Dividend Declaration,1,0,0,dividend declaration
28,2018-04-01,ALARABANK,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
29,2017-11-02,ALARABANK,Sale confirmation of a Director,0,0,0,sale confirmation of a director
30,2017-10-30,ALARABANK,Q3 Financials,1,1,1,q3 financials
31,2017-10-23,ALARABANK,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
32,2017-09-20,ALARABANK,Query Response,0,1,0,query response
33,2017-09-18,ALARABANK,Sale declaration of a Director,0,0,0,sale declaration of a director
34,2017-08-29,ALARABANK,Address Change of Registered Office,0,1,0,address change of registered office
35,2017-08-07,ALARABANK,Sale confirmation of a Sponsor,1,0,0,sale confirmation of a sponsor
36,2017-07-27,ALARABANK,Q2 Financials,0,0,0,q2 financials
37,2017-07-25,ALARABANK,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
38,2017-07-23,ALARABANK,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
39,2017-07-23,ALARABANK,Sale confirmation of a Sponsor,0,1,0,sale confirmation of a sponsor
40,2017-07-11,ALARABANK,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
41,2017-06-22,ALARABANK,Credit Rating Result,1,0,0,credit rating result
42,2017-06-19,ALARABANK,Sale confirmation of a Sponsor,0,1,1,sale confirmation of a sponsor
43,2017-06-13,ALARABANK,Sale declaration of a Sponsor,0,1,1,sale declaration of a sponsor
44,2017-06-12,ALARABANK,Buy confirmation of a Director,1,0,1,buy confirmation of a director
45,2017-06-08,ALARABANK,Sale declaration of a Sponsor,1,0,0,sale declaration of a sponsor
46,2017-06-06,ALARABANK,Sale confirmation of a Sponsor,1,1,1,sale confirmation of a sponsor
47,2017-06-04,ALARABANK,Dividend Disbursement,0,1,1,dividend disbursement
48,2017-05-31,ALARABANK,Sale confirmation of a Sponsor,0,1,0,sale confirmation of a sponsor
49,2017-05-30,ALARABANK,Sale declaration of a Sponsor,1,0,1,sale declaration of a sponsor
50,2017-05-30,ALARABANK,Buy confirmation of a Director,1,0,1,buy confirmation of a director
51,2017-05-29,ALARABANK,Buy declaration of a Director,1,1,0,buy declaration of a director
52,2017-05-22,ALARABANK,Buy declaration of a Director,1,0,0,buy declaration of a director
53,2017-05-17,ALARABANK,Sale confirmation of a Sponsor,0,1,0,sale confirmation of a sponsor
54,2017-05-17,ALARABANK,Sale declaration of a Sponsor,0,1,0,sale declaration of a sponsor
55,2017-05-15,ALARABANK,Sale confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
56,2017-05-07,ALARABANK,Q1 Financials,0,0,1,q1 financials
57,2017-05-04,ALARABANK,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
58,2017-04-27,ALARABANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
59,2017-04-24,ALARABANK,Sale declaration of a Sponsor,0,1,1,sale declaration of a sponsor
60,2017-04-18,ALARABANK,Resumption after record date,0,0,0,resumption after record date
61,2017-04-17,ALARABANK,Suspension for Record Date,0,0,0,suspension for record date
62,2017-04-13,ALARABANK,Spot News,0,0,0,spot news
63,2017-03-29,ALARABANK,Furnishing 12 digit e-TIN Number,0,1,0,furnishing 12 digit e-tin number
64,2017-03-29,ALARABANK,Price Limit Open,0,1,0,price limit open
65,2017-03-29,ALARABANK,Dividend Declaration,0,1,0,dividend declaration
66,2017-03-19,ALARABANK,Board Meeting Re-Schedule under LR 19(1),0,0,1,board meeting re-schedule under lr 191
67,2016-10-31,ALARABANK,Q3 Financials,0,0,1,q3 financials
68,2016-10-25,ALARABANK,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
69,2016-07-27,ALARABANK,Q2 Financials,1,1,0,q2 financials
70,2016-07-24,ALARABANK,Board Meeting,0,0,0,board meeting
71,2016-06-29,ALARABANK,Credit Rating Result,0,1,0,credit rating result
72,2016-06-26,ALARABANK,Confirmation of share receipt by a Sponsor,1,0,1,confirmation of share receipt by a sponsor
73,2016-06-21,ALARABANK,Declaration of share receipt by a Sponsor,0,0,0,declaration of share receipt by a sponsor
74,2016-05-30,ALARABANK,Dividend Disbursement,1,0,0,dividend disbursement
75,2016-05-16,ALARABANK,Elected Chairman and Vice Chairman,1,0,1,elected chairman and vice chairman
76,2016-05-08,ALARABANK,Postponement of EGM due to Court Order,1,0,1,postponement of egm due to court order
77,2016-04-28,ALARABANK,Q1 Financials,1,0,0,q1 financials
78,2016-04-25,ALARABANK,Resumption,0,1,0,resumption
79,2016-04-24,ALARABANK,Board Meeting,0,0,1,board meeting
80,2016-04-24,ALARABANK,Suspension for Record date for EGM,0,0,1,suspension for record date for egm
81,2016-04-20,ALARABANK,Spot News for EGM,1,0,0,spot news for egm
82,2016-04-19,ALARABANK,Confirmation of buy by a Sponsor/Director,0,1,0,confirmation of buy by a sponsordirector
83,2016-04-17,ALARABANK,Postponement of EGM due to Court Order,0,1,0,postponement of egm due to court order
84,2016-04-12,ALARABANK,Buy Declaration of a Sponsor/Director,0,0,0,buy declaration of a sponsordirector
85,2016-04-10,ALARABANK,Resumption after Record date,0,0,0,resumption after record date
86,2016-04-07,ALARABANK,Suspension,1,0,0,suspension
87,2016-04-05,ALARABANK,Spot for AGM,0,0,1,spot for agm
88,2016-04-04,ALARABANK,EGM to increase paid up,1,0,0,egm to increase paid up
89,2016-04-03,ALARABANK,Confirmation of sale,0,1,0,confirmation of sale
90,2016-03-30,ALARABANK,Investment Agreement between the Company and Islamic Corporation,0,0,0,investment agreement between the company and islamic corporation
91,2016-03-28,ALARABANK,Declaration of sale by a Sponsor,0,0,0,declaration of sale by a sponsor
92,2016-03-22,ALARABANK, Price Limit Open,0,0,0,price limit open
93,2016-03-22,ALARABANK, Dividend Declaration,0,0,0,dividend declaration
94,2016-03-15,ALARABANK,Board Meeting,1,0,0,board meeting
95,2016-01-28,ALARABANK,Floor Spaces Purchase,0,0,0,floor spaces purchase
96,2015-10-21,ALARABANK,Q3 Financials,0,0,0,q3 financials
97,2015-09-29,ALARABANK,Confirmation of sale by a Sponsor,1,1,0,confirmation of sale by a sponsor
98,2015-08-27,ALARABANK,Sale declaration by a Sponsor,0,0,0,sale declaration by a sponsor
99,2015-07-29,ALARABANK,Q2 Financials,0,0,0,q2 financials
100,2015-07-02,ALARABANK,Credit Rating Result,0,0,0,credit rating result
101,2015-05-28,ALARABANK,Mudaraba Subordinated Bond,1,0,0,mudaraba subordinated bond
102,2015-05-14,ALARABANK,Q1 Financials,0,0,0,q1 financials
103,2015-05-04,ALARABANK,Dividend Disbursement,0,0,1,dividend disbursement
104,2015-03-30,ALARABANK,Confirmation of sale by Sponsor,0,0,0,confirmation of sale by sponsor
105,2015-03-24,ALARABANK,Declaration of sale by Sponsor,0,1,0,declaration of sale by sponsor
106,2015-03-15,ALARABANK,Confirmation of Transfer by Sponsor/Director,0,0,0,confirmation of transfer by sponsordirector
107,2015-03-15,ALARABANK,Resumption News after Record Date,0,0,0,resumption news after record date
108,2015-03-12,ALARABANK,Suspension News for Record date,0,0,0,suspension news for record date
109,2015-03-11,ALARABANK,Declaration of Transfer by Sponsor /Director,0,0,0,declaration of transfer by sponsor director
110,2015-03-10,ALARABANK,Spot News for AGM,1,0,0,spot news for agm
111,2015-03-04,ALARABANK,Furnishing 12 digit e-TIN Number,1,1,0,furnishing 12 digit e-tin number
112,2015-03-02,ALARABANK,Price Limit Open,1,0,1,price limit open
113,2015-03-02,ALARABANK, Dividend,1,0,1,dividend
114,2015-02-24,ALARABANK,Board Meeting schedule under LR 30,0,0,1,board meeting schedule under lr 30
115,2014-12-14,ALARABANK,Company News,0,1,0,company news
116,2014-11-30,ALARABANK,trade resume,0,1,0,trade resume
117,2014-11-27,ALARABANK,trade suspension,0,0,0,trade suspension
118,2014-11-25,ALARABANK,trade suspension,1,1,0,trade suspension
119,2014-11-16,ALARABANK,Company news,0,0,0,company news
120,2014-11-16,ALARABANK,Company news,0,0,0,company news
121,2014-10-22,ALARABANK,Sponsors share sell,0,0,0,sponsors share sell
122,2014-10-21,ALARABANK,Q3 Earning,0,0,0,q3 earning
123,2014-10-19,ALARABANK,decided to issue Mudaraba Subordinated Bond,0,0,0,decided to issue mudaraba subordinated bond
124,2014-10-16,ALARABANK,Sponsors intention to sell share,0,0,0,sponsors intention to sell share
125,2014-09-28,ALARABANK,Sponsor/Director Share Sale,0,1,1,sponsordirector share sale
126,2014-09-21,ALARABANK,Sponsors Buy/Sell/Transfer,1,1,1,sponsors buyselltransfer
127,2014-09-10,ALARABANK,intention to sell,0,0,0,intention to sell
128,2014-07-24,ALARABANK,H/Y Earnings,0,0,0,hy earnings
129,2014-07-13,ALARABANK,sponsored share sell,1,1,0,sponsored share sell
130,2014-07-13,ALARABANK,Credit Rating,1,1,0,credit rating
131,2014-07-07,ALARABANK,Sponsor/Director Share Sale,0,0,1,sponsordirector share sale
132,2014-05-22,ALARABANK,Sponsor/Director Share Sale,0,0,0,sponsordirector share sale
133,2014-05-19,ALARABANK,Sponsor/Director Share Transfer,0,0,1,sponsordirector share transfer
134,2014-05-18,ALARABANK,Sponsor/Director Share transfer,1,0,0,sponsordirector share transfer
135,2014-05-12,ALARABANK,Q1 Earnings,1,0,0,q1 earnings
136,2014-05-05,ALARABANK,Sponsors share sell,0,0,0,sponsors share sell
137,2014-04-24,ALARABANK,Sponsor/Director Share Sale,0,0,0,sponsordirector share sale
138,2014-04-16,ALARABANK,Sponsor/Director Share Sale,0,0,0,sponsordirector share sale
139,2014-04-10,ALARABANK,Bonus shares credited,0,0,0,bonus shares credited
140,2014-03-13,ALARABANK,trade resume,0,0,0,trade resume
141,2014-03-09,ALARABANK,trade suspension on record date,0,0,1,trade suspension on record date
142,2014-03-02,ALARABANK,recommended 13.50% stock dividend,0,1,1,recommended 13.50 stock dividend
143,2014-03-02,ALARABANK,no price limit,0,1,1,no price limit
144,2014-02-23,ALARABANK,Board meeting,0,0,0,board meeting
145,2013-10-03,ALARABANK,Sponsors Share Sell,0,0,0,sponsors share sell
