,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,ALIF,Q3 Financials,1,0,0,q3 financials
1,2019-04-23,ALIF,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-02-03,ALIF,Q2 Financials,0,0,0,q2 financials
3,2019-01-27,ALIF,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
4,2019-01-20,ALIF,Dividend Disbursement,0,0,0,dividend disbursement
5,2019-01-07,ALIF,Query Response,1,1,0,query response
6,2018-12-03,ALIF,Qualified Opinion,0,1,1,qualified opinion
7,2018-11-18,ALIF,Resumption after record date,0,0,0,resumption after record date
8,2018-11-15,ALIF,Suspension for Record Date,0,0,0,suspension for record date
9,2018-11-14,ALIF,Q1 Financials,0,0,0,q1 financials
10,2018-11-13,ALIF,Spot News,0,0,0,spot news
11,2018-11-08,ALIF,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
12,2018-10-29,ALIF,Price Limit Open,1,1,0,price limit open
14,2018-10-29,ALIF,Dividend Declaration,1,1,0,dividend declaration
15,2018-10-21,ALIF,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
16,2018-07-18,ALIF,Credit Rating Result,0,1,0,credit rating result
17,2018-05-03,ALIF,Q3 Financials,1,0,0,q3 financials
18,2018-04-23,ALIF,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
19,2018-03-05,ALIF,Rights share Credited to BO Accounts,0,1,0,rights share credited to bo accounts
20,2018-01-31,ALIF,Dividend Disbursement,0,0,0,dividend disbursement
21,2018-01-31,ALIF,Q2 Financials,0,0,0,q2 financials
22,2018-01-24,ALIF,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
23,2018-01-11,ALIF,Resumption after record date,0,0,0,resumption after record date
24,2018-01-10,ALIF,Suspension for Record Date,0,0,0,suspension for record date
25,2018-01-08,ALIF,Record date for Rights entitlement,0,0,0,record date for rights entitlement
26,2017-12-20,ALIF,Subscription period and Record date for Rights Issuance,0,0,0,subscription period and record date for rights issuance
28,2017-12-20,ALIF,Approval from BSEC to issue Rights Share,0,0,0,approval from bsec to issue rights share
