,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,ALLTEX,Q3 Financials,0,0,0,q3 financials
1,2019-04-21,ALLTEX,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
2,2019-02-26,ALLTEX,Decision to sell 145.25 decimal unutilized and undeveloped low land,0,0,0,decision to sell 145.25 decimal unutilized and undeveloped low land
3,2019-01-27,ALLTEX,Q2 Financials,0,0,0,q2 financials
4,2019-01-20,ALLTEX,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
5,2018-12-24,ALLTEX,Resumption after record date,0,0,0,resumption after record date
6,2018-12-23,ALLTEX,Suspension for Record date,0,0,0,suspension for record date
7,2018-12-12,ALLTEX,Query Response,0,0,0,query response
8,2018-12-09,ALLTEX,Spot News EGM,0,1,0,spot news egm
10,2018-12-05,ALLTEX,Basis for Qualified Opinion,0,0,0,basis for qualified opinion
13,2018-12-03,ALLTEX,EGM to insert two object clauses in the Memorandum of Association,1,0,0,egm to insert two object clauses in the memorandum of association
14,2018-11-20,ALLTEX,Resumption after record date,0,0,1,resumption after record date
15,2018-11-19,ALLTEX,Suspension for Record date,0,0,0,suspension for record date
16,2018-11-08,ALLTEX,Q1 Financials,0,0,0,q1 financials
17,2018-11-06,ALLTEX,Spot News,0,1,0,spot news
18,2018-10-29,ALLTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
19,2018-10-28,ALLTEX,Price Limit Open,0,0,0,price limit open
20,2018-10-28,ALLTEX,Dividend Declaration,0,0,0,dividend declaration
21,2018-10-18,ALLTEX,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
22,2018-10-09,ALLTEX,Query Response,1,0,0,query response
24,2018-04-24,ALLTEX,Q3 Financials,1,1,0,q3 financials
25,2018-04-17,ALLTEX,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
26,2018-04-02,ALLTEX,Address Change of the correspondence Office,0,0,0,address change of the correspondence office
27,2018-02-18,ALLTEX,Query Response,0,0,0,query response
28,2018-02-15,ALLTEX,Query Response,0,0,0,query response
29,2018-02-12,ALLTEX,Q2 Financials (Repeat),1,1,0,q2 financials repeat
30,2018-01-21,ALLTEX,Q2 Financials,1,1,0,q2 financials
31,2018-01-16,ALLTEX,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
32,2017-11-19,ALLTEX,Resumption after record date,0,1,0,resumption after record date
33,2017-11-16,ALLTEX,Suspension for Record Date,0,0,0,suspension for record date
34,2017-11-15,ALLTEX,Board decision to run the factory at a reduced capacity,0,0,0,board decision to run the factory at a reduced capacity
35,2017-11-15,ALLTEX,Q1 Financials,0,0,0,q1 financials
36,2017-11-09,ALLTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
37,2017-11-05,ALLTEX,Spot News,1,0,0,spot news
38,2017-10-29,ALLTEX,Price Limit Open,0,1,0,price limit open
39,2017-10-29,ALLTEX,Dividend Declaration,0,1,0,dividend declaration
40,2017-10-18,ALLTEX,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
41,2017-05-02,ALLTEX,Q3 Financials,0,0,1,q3 financials
42,2017-04-25,ALLTEX,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
43,2017-01-31,ALLTEX,Q2 Financials,0,1,0,q2 financials
44,2017-01-25,ALLTEX,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
45,2017-01-22,ALLTEX,Decision to withdraw the application of amalgamation,1,0,0,decision to withdraw the application of amalgamation
46,2017-01-04,ALLTEX,Query Response,0,0,0,query response
47,2016-11-16,ALLTEX,Resumption after record date,0,1,0,resumption after record date
48,2016-11-15,ALLTEX,Suspension for record,0,0,1,suspension for record
49,2016-11-13,ALLTEX,Q1 Financials,0,0,0,q1 financials
50,2016-11-08,ALLTEX,Board Meeting,0,0,0,board meeting
51,2016-11-02,ALLTEX,Spot for AGM,1,1,0,spot for agm
52,2016-10-26,ALLTEX,Prohibition on providing loan facilities to purchase securities,0,1,0,prohibition on providing loan facilities to purchase securities
53,2016-10-26,ALLTEX,Category Change,0,1,0,category change
54,2016-10-26,ALLTEX,Price Limit Open,0,1,0,price limit open
55,2016-10-26,ALLTEX,Dividend Declaration,0,1,0,dividend declaration
56,2016-10-19,ALLTEX,Board Meeting,0,0,0,board meeting
57,2016-10-17,ALLTEX,Emphasis of Matter,0,0,0,emphasis of matter
58,2016-04-24,ALLTEX,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
59,2016-03-06,ALLTEX,Resumption after Record,0,0,0,resumption after record
60,2016-03-03,ALLTEX,Suspension for Record date for EGM regarding amalgamation,0,0,0,suspension for record date for egm regarding amalgamation
61,2016-03-01,ALLTEX,Spot for EGM regarding amalgamation,0,0,0,spot for egm regarding amalgamation
62,2016-02-25,ALLTEX,Change of Record Date for EGM regarding Amalgamation,0,0,0,change of record date for egm regarding amalgamation
63,2016-02-25,ALLTEX,EGM for Amalgamation purpose,0,0,0,egm for amalgamation purpose
64,2016-02-01,ALLTEX, Dividend Disbursement,0,0,0,dividend disbursement
65,2016-01-31,ALLTEX,Q2 Financials,0,0,0,q2 financials
66,2016-01-25,ALLTEX,Board Meeting,0,0,1,board meeting
67,2016-01-21,ALLTEX,Amalgamation Scheme,0,0,0,amalgamation scheme
68,2016-01-20,ALLTEX,Query Response,0,0,0,query response
69,2016-01-18,ALLTEX,Completion of sale by Corporate Sponsors,0,1,0,completion of sale by corporate sponsors
70,2016-01-13,ALLTEX,Declaration of sale,1,1,0,declaration of sale
71,2015-12-08,ALLTEX,Resumption after Record date,0,0,1,resumption after record date
72,2015-12-07,ALLTEX,Suspension for Record Date,0,0,0,suspension for record date
73,2015-12-03,ALLTEX,Suspension for Record Date,1,0,0,suspension for record date
74,2015-11-18,ALLTEX,Revaluation of free hold land and Development of the Company,0,0,0,revaluation of free hold land and development of the company
75,2015-11-18,ALLTEX,Q1 Financials,0,0,0,q1 financials
76,2015-11-18,ALLTEX,Price Limit Open,0,0,0,price limit open
77,2015-11-18,ALLTEX,Dividend Declaration,0,0,0,dividend declaration
78,2015-11-12,ALLTEX,Board Meeting,0,0,0,board meeting
79,2015-08-11,ALLTEX,Disregard Query Response,0,0,0,disregard query response
80,2015-08-11,ALLTEX,Query Response,0,0,0,query response
81,2015-08-10,ALLTEX,Address Change of Share Department,0,0,0,address change of share department
82,2015-05-04,ALLTEX,Q3 Financials,1,0,0,q3 financials
83,2015-02-22,ALLTEX,Address Change,0,1,0,address change
84,2015-02-12,ALLTEX,Appointment of Managing Director and CEO,1,0,0,appointment of managing director and ceo
85,2015-01-28,ALLTEX,H/Y,0,0,0,hy
86,2015-01-14,ALLTEX,BSEC news,1,0,0,bsec news
87,2015-01-12,ALLTEX,DSE query,1,0,1,dse query
88,2015-01-05,ALLTEX,will be placed in A category from existing Z category,1,1,1,will be placed in a category from existing z category
89,2014-12-03,ALLTEX,DSE query,1,1,0,dse query
90,2014-11-19,ALLTEX,Trade Resume,0,0,0,trade resume
