,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,AMBEEPHA,Q3 Financials,0,0,0,q3 financials
1,2019-04-21,AMBEEPHA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-01-29,AMBEEPHA,Q2 Financials,0,0,1,q2 financials
3,2019-01-28,AMBEEPHA,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
4,2019-01-23,AMBEEPHA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
8,2018-12-05,AMBEEPHA,Emphasis of Matter,1,1,0,emphasis of matter
9,2018-12-04,AMBEEPHA,Resumption after record date,0,1,1,resumption after record date
10,2018-12-03,AMBEEPHA,Suspension for Record date,1,0,1,suspension for record date
11,2018-11-29,AMBEEPHA,Spot News,0,0,0,spot news
12,2018-11-26,AMBEEPHA,Query Response,1,1,0,query response
13,2018-11-15,AMBEEPHA,Q1 Financials,0,0,0,q1 financials
14,2018-11-13,AMBEEPHA,Price Limit Open,1,0,0,price limit open
15,2018-11-13,AMBEEPHA,Dividend Declaration,1,0,0,dividend declaration
16,2018-11-11,AMBEEPHA,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
17,2018-11-05,AMBEEPHA,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
18,2018-09-20,AMBEEPHA,Credit Rating Result,0,0,0,credit rating result
19,2018-07-19,AMBEEPHA,Query Response,1,0,0,query response
20,2018-07-02,AMBEEPHA,Query Response (Repeat News),0,0,0,query response repeat news
21,2018-06-28,AMBEEPHA,Query Response,1,0,0,query response
22,2018-06-04,AMBEEPHA,Query Response,0,1,0,query response
23,2018-04-25,AMBEEPHA,Q3 Financials,0,0,0,q3 financials
24,2018-04-22,AMBEEPHA,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
25,2018-04-17,AMBEEPHA,Query Response,0,0,0,query response
26,2018-02-26,AMBEEPHA,Query Response,0,1,1,query response
27,2018-01-29,AMBEEPHA,Q2 Financials,0,0,0,q2 financials
