,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,ANWARGALV,Q3 Financials,1,0,0,q3 financials
1,2019-04-25,ANWARGALV,Buy Declaration of a Sponsor Director,1,0,0,buy declaration of a sponsor director
2,2019-04-24,ANWARGALV,Buy Declaration of a Sponsor Director,1,1,0,buy declaration of a sponsor director
3,2019-04-21,ANWARGALV,Buy Declaration of a Sponsor Director,0,0,0,buy declaration of a sponsor director
4,2019-04-18,ANWARGALV,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-03-14,ANWARGALV,Credit Rating Result,0,0,0,credit rating result
6,2019-02-27,ANWARGALV,Dividend Disbursement,0,0,0,dividend disbursement
7,2019-01-30,ANWARGALV,Q2 Financials,1,0,0,q2 financials
8,2019-01-22,ANWARGALV,Appointment of the Managing Director & CEO,0,0,0,appointment of the managing director  ceo
9,2019-01-21,ANWARGALV,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
10,2019-01-03,ANWARGALV,Confirmation of share transfer by a Sponsor,1,0,0,confirmation of share transfer by a sponsor
12,2018-12-27,ANWARGALV,Special Resolution for AGM,1,0,0,special resolution for agm
13,2018-12-24,ANWARGALV,Declaration of share transfer by a Sponsor,1,0,0,declaration of share transfer by a sponsor
14,2018-11-29,ANWARGALV,Resumption after record date,0,0,0,resumption after record date
15,2018-11-28,ANWARGALV,Suspension for Record date,0,0,0,suspension for record date
16,2018-11-26,ANWARGALV,Spot News,0,0,0,spot news
17,2018-11-14,ANWARGALV,Q1 Financials,1,0,0,q1 financials
18,2018-11-07,ANWARGALV,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
19,2018-10-29,ANWARGALV,Price Limit Open,1,0,0,price limit open
20,2018-10-29,ANWARGALV,Dividend Declaration,1,0,0,dividend declaration
21,2018-10-16,ANWARGALV,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
22,2018-07-11,ANWARGALV,Query Response,0,1,0,query response
23,2018-06-21,ANWARGALV,Query Response (Repeat News),1,0,0,query response repeat news
24,2018-06-20,ANWARGALV,Query Response,0,1,0,query response
25,2018-04-26,ANWARGALV,Q3 Financials,0,0,0,q3 financials
26,2018-04-19,ANWARGALV,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2018-02-28,ANWARGALV,Dividend Disbursement,0,1,0,dividend disbursement
28,2018-02-13,ANWARGALV,Query Response,1,0,1,query response
29,2018-01-23,ANWARGALV,Q2 Financials,1,0,0,q2 financials
30,2018-01-17,ANWARGALV,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
31,2017-11-30,ANWARGALV,Resumption after record date,0,0,0,resumption after record date
32,2017-11-29,ANWARGALV,Suspension for Record Date,0,0,0,suspension for record date
33,2017-11-27,ANWARGALV,Spot News,1,1,0,spot news
34,2017-11-12,ANWARGALV,Q1 Financials,0,1,1,q1 financials
35,2017-11-06,ANWARGALV,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
36,2017-10-26,ANWARGALV,Price Limit Open,1,0,0,price limit open
37,2017-10-26,ANWARGALV,Dividend Declaration,1,0,0,dividend declaration
38,2017-10-17,ANWARGALV,Board Meeting schedule under LR 19(1),1,1,1,board meeting schedule under lr 191
39,2017-08-01,ANWARGALV,Query Response,0,0,0,query response
40,2017-04-26,ANWARGALV,Q3 Financials,1,0,0,q3 financials
41,2017-04-18,ANWARGALV,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
42,2017-01-29,ANWARGALV,Q2 Financials,0,0,0,q2 financials
43,2017-01-22,ANWARGALV,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
44,2016-11-30,ANWARGALV,Resumption after record date,0,1,0,resumption after record date
45,2016-11-30,ANWARGALV,Resumption after record date,0,1,0,resumption after record date
46,2016-11-29,ANWARGALV,Suspension for record date,1,0,1,suspension for record date
47,2016-11-27,ANWARGALV,Spot for AGM,0,1,1,spot for agm
48,2016-11-14,ANWARGALV,Q1 Financials,0,0,0,q1 financials
49,2016-11-07,ANWARGALV,Board Meeting,1,0,0,board meeting
50,2016-10-30,ANWARGALV,Price Limit Open,0,0,0,price limit open
51,2016-10-30,ANWARGALV,Dividend Declaration,0,0,0,dividend declaration
52,2016-10-19,ANWARGALV,Board Meeting,1,0,0,board meeting
53,2016-04-28,ANWARGALV,Q3 Financials,0,0,0,q3 financials
54,2016-04-21,ANWARGALV,Board Meeting (Q3),0,0,0,board meeting q3
55,2016-02-29,ANWARGALV,Dividend Disbursement,0,0,0,dividend disbursement
56,2016-01-31,ANWARGALV,Q2 Financials,0,0,0,q2 financials
57,2016-01-25,ANWARGALV,Board Meeting,0,1,0,board meeting
58,2016-01-04,ANWARGALV,Query Response,0,1,0,query response
59,2015-11-25,ANWARGALV, Resumption News after Record date,0,0,0,resumption news after record date
60,2015-11-25,ANWARGALV,Credit Rating Result,0,0,0,credit rating result
61,2015-11-24,ANWARGALV,Suspension News for Record Date,0,0,0,suspension news for record date
62,2015-11-22,ANWARGALV,Spot News for AGM,1,0,0,spot news for agm
63,2015-11-15,ANWARGALV, Q1,0,1,0,q1
64,2015-11-11,ANWARGALV,Board Meeting,0,0,0,board meeting
65,2015-10-29,ANWARGALV, Price Limit Open,0,0,0,price limit open
66,2015-10-29,ANWARGALV,Dividend Declaration,0,0,0,dividend declaration
67,2015-10-20,ANWARGALV,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
68,2015-09-06,ANWARGALV,Query Response,1,1,0,query response
69,2015-08-06,ANWARGALV,Query Response,1,0,0,query response
70,2015-05-04,ANWARGALV,Q3,1,0,1,q3
71,2015-03-08,ANWARGALV,Import and installation of latest technology,1,1,0,import and installation of latest technology
72,2015-02-01,ANWARGALV,Half Yearly Financials,0,0,1,half yearly financials
73,2014-11-16,ANWARGALV,Q1,1,0,0,q1
74,2014-11-13,ANWARGALV,will remain suspended,0,0,0,will remain suspended
75,2014-11-12,ANWARGALV,will remain suspended,0,0,0,will remain suspended
76,2014-11-10,ANWARGALV, Spot Market,0,0,0,spot market
77,2014-11-02,ANWARGALV,no price limit,0,1,0,no price limit
78,2014-11-02,ANWARGALV,dividend declaration,0,1,0,dividend declaration
79,2014-10-26,ANWARGALV,Board Meeting,0,1,1,board meeting
80,2014-09-04,ANWARGALV,will import thread cutting machines,0,0,0,will import thread cutting machines
81,2014-09-04,ANWARGALV,import machinery,0,0,0,import machinery
82,2014-04-30,ANWARGALV,Q3 Earning,0,0,0,q3 earning
83,2014-04-20,ANWARGALV,Credit Rating,0,0,0,credit rating
84,2014-03-25,ANWARGALV,DSE query,1,0,0,dse query
85,2014-01-29,ANWARGALV,H/Y Earnings,0,1,0,hy earnings
86,2013-12-10,ANWARGALV,DSE query,0,0,0,dse query
87,2013-11-18,ANWARGALV,Q1 Earnings,0,0,0,q1 earnings
88,2013-11-14,ANWARGALV,Auditors Opinion,0,0,0,auditors opinion
89,2013-11-11,ANWARGALV,trade resume after record date,0,1,0,trade resume after record date
90,2013-11-10,ANWARGALV,trade suspension on record date,0,0,1,trade suspension on record date
91,2013-11-05,ANWARGALV,trade suspension on record date,0,0,0,trade suspension on record date
92,2013-10-31,ANWARGALV,No Price Limit,0,0,0,no price limit
93,2013-10-31,ANWARGALV,7% CAsh Dividend,0,0,0,7 cash dividend
94,2013-10-23,ANWARGALV,No Undisclosed Price Sensetive Information,0,1,0,no undisclosed price sensetive information
95,2013-09-29,ANWARGALV,No Price Sensitive Information,0,1,0,no price sensitive information
96,2013-09-18,ANWARGALV,No Undisclosed Price Sensitive Information,0,1,0,no undisclosed price sensitive information
97,2013-04-29,ANWARGALV,Q3 Earnings,1,0,0,q3 earnings
98,2013-01-31,ANWARGALV,H/Y Earnings 2012-13,1,0,0,hy earnings 2012-13
99,2012-11-14,ANWARGALV,Q1 Earnings 2012,1,1,0,q1 earnings 2012
100,2012-10-23,ANWARGALV,corporate declaration,0,0,0,corporate declaration
101,2012-10-18,ANWARGALV,Board Meeting,1,0,0,board meeting
102,2012-09-27,ANWARGALV,responses to DSE query,1,0,0,responses to dse query
103,2012-03-05,ANWARGALV,- Normal trading of the...,0,1,0,normal trading of the
104,2012-03-04,ANWARGALV,- Trading of the shares...,1,0,1,trading of the shares
105,2012-01-30,ANWARGALV,- As per un-audited...,1,0,0,as per un-audited
106,2011-11-15,ANWARGALV,- As per un-audited...,0,1,1,as per un-audited
107,2011-10-30,ANWARGALV,- There will be no price...,0,0,1,there will be no price
108,2011-10-30,ANWARGALV,- The Board of Directors...,0,0,1,the board of directors
109,2011-10-25,ANWARGALV,- Normal trading of the shares...,0,0,0,normal trading of the shares
110,2011-10-24,ANWARGALV,- Trading of the shares...,0,0,0,trading of the shares
111,2011-10-11,ANWARGALV,- Trading of the shares...,0,0,0,trading of the shares
