,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,APEXFOODS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
2,2019-01-27,APEXFOODS,Q2 Financials,0,1,0,q2 financials
3,2019-01-20,APEXFOODS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-01-14,APEXFOODS,Credit Rating Result,0,1,0,credit rating result
5,2019-01-13,APEXFOODS,Query Response,1,0,1,query response
6,2019-01-13,APEXFOODS,Dividend Disbursement,1,0,1,dividend disbursement
7,2019-01-08,APEXFOODS,Query Response,1,0,1,query response
8,2018-11-15,APEXFOODS,Resumption after Record Date,0,0,0,resumption after record date
9,2018-11-14,APEXFOODS,Suspension for Record Date,0,0,0,suspension for record date
10,2018-11-12,APEXFOODS,Spot News,0,1,0,spot news
11,2018-10-28,APEXFOODS,Q1 Financials,0,0,1,q1 financials
12,2018-10-28,APEXFOODS,Price Limit Open,0,0,1,price limit open
13,2018-10-28,APEXFOODS,Dividend Declaration,0,0,1,dividend declaration
14,2018-10-18,APEXFOODS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
15,2018-10-18,APEXFOODS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
16,2018-07-08,APEXFOODS,Query Response,0,0,0,query response
18,2018-05-06,APEXFOODS,Company's message to its shareholders regarding unusual price hike,1,0,0,company's message to its shareholders regarding unusual price hike
19,2018-05-03,APEXFOODS,Q3 Financials,1,0,0,q3 financials
20,2018-04-23,APEXFOODS,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
21,2018-04-16,APEXFOODS,Query Response,1,0,1,query response
22,2018-02-19,APEXFOODS,Query Response,0,1,0,query response
23,2018-02-15,APEXFOODS,Query Response,1,0,0,query response
24,2018-01-31,APEXFOODS,Q2 Financials,0,1,0,q2 financials
25,2018-01-24,APEXFOODS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
26,2018-01-14,APEXFOODS,Dividend Disbursement,0,1,0,dividend disbursement
27,2018-01-11,APEXFOODS,Credit Rating Result,1,0,0,credit rating result
28,2017-11-15,APEXFOODS,Resumption after record date,0,1,0,resumption after record date
29,2017-11-15,APEXFOODS,Q1 Financials,0,1,0,q1 financials
30,2017-11-14,APEXFOODS,Suspension for Record Date,0,0,1,suspension for record date
31,2017-11-12,APEXFOODS,Spot News,0,0,0,spot news
32,2017-11-08,APEXFOODS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
33,2017-11-05,APEXFOODS,Updating of information,0,1,0,updating of information
34,2017-10-22,APEXFOODS,Price Limit Open,0,0,0,price limit open
35,2017-10-22,APEXFOODS,Dividend Declaration,0,0,0,dividend declaration
36,2017-10-11,APEXFOODS,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
37,2017-04-30,APEXFOODS,Q3 Financials,0,0,0,q3 financials
38,2017-04-23,APEXFOODS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
39,2017-01-29,APEXFOODS,Q2 Financials,1,0,1,q2 financials
40,2017-01-24,APEXFOODS,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
41,2017-01-11,APEXFOODS,Dividend Disbursement,0,0,0,dividend disbursement
42,2016-12-29,APEXFOODS,Credit Rating Result,0,0,0,credit rating result
43,2016-12-29,APEXFOODS,Credit Rating Result,0,0,0,credit rating result
44,2016-11-17,APEXFOODS,Resumption after record date,1,0,0,resumption after record date
45,2016-11-16,APEXFOODS,Suspension for record date,0,1,0,suspension for record date
46,2016-11-15,APEXFOODS,Q1 Financials,0,0,1,q1 financials
47,2016-10-30,APEXFOODS,Price Limit Open,0,0,0,price limit open
48,2016-10-30,APEXFOODS,Dividend Declaration,0,0,0,dividend declaration
49,2016-10-19,APEXFOODS,Board Meeting,0,0,0,board meeting
50,2016-08-28,APEXFOODS,Query Response (Repeat),1,1,0,query response repeat
