,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,APEXFOOT,Q3 Financials Additional Information (Reason for Deviation in EPS),1,0,0,q3 financials additional information reason for deviation in eps
1,2019-04-30,APEXFOOT,Rescind and revoke the earlier decision to purchase land,1,0,0,rescind and revoke the earlier decision to purchase land
2,2019-04-30,APEXFOOT,Q3 Financials,1,0,0,q3 financials
3,2019-04-23,APEXFOOT,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
4,2019-01-31,APEXFOOT,Q2 Financials,0,0,0,q2 financials
5,2019-01-24,APEXFOOT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
6,2019-01-02,APEXFOOT,Credit Rating Result,1,1,0,credit rating result
7,2018-12-13,APEXFOOT,Dividend Disbursement,0,0,0,dividend disbursement
8,2018-11-18,APEXFOOT,Q1 Financials,0,1,1,q1 financials
9,2018-11-11,APEXFOOT,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
10,2018-10-14,APEXFOOT,Resumption after Record Date,0,0,1,resumption after record date
11,2018-10-11,APEXFOOT,Suspension for Record Date,0,0,0,suspension for record date
12,2018-10-09,APEXFOOT,Spot News,1,0,0,spot news
13,2018-09-23,APEXFOOT,Land Purchase,0,0,1,land purchase
14,2018-09-23,APEXFOOT,Price Limit Open,0,0,1,price limit open
15,2018-09-23,APEXFOOT,Dividend Declaration,0,0,1,dividend declaration
16,2018-09-11,APEXFOOT,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
17,2018-06-28,APEXFOOT,Query Response,1,0,0,query response
18,2018-04-25,APEXFOOT,Q3 Financials,1,0,0,q3 financials
19,2018-04-16,APEXFOOT,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
20,2018-01-31,APEXFOOT,Q2 Financials,0,0,0,q2 financials
21,2018-01-24,APEXFOOT,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
22,2018-01-02,APEXFOOT,Credit Rating Result,0,1,0,credit rating result
23,2017-12-11,APEXFOOT,Dividend Disbursement,0,1,0,dividend disbursement
24,2017-11-15,APEXFOOT,Q1 Financials,0,0,0,q1 financials
25,2017-11-08,APEXFOOT,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
26,2017-10-16,APEXFOOT,Resumption after Record Date,0,0,0,resumption after record date
27,2017-10-15,APEXFOOT,Suspension for Record Date,0,0,0,suspension for record date
28,2017-10-11,APEXFOOT,Spot News,0,1,0,spot news
29,2017-09-25,APEXFOOT,Price Limit Open,0,1,1,price limit open
31,2017-09-25,APEXFOOT,Dividend Declaration,0,1,1,dividend declaration
32,2017-09-17,APEXFOOT,Board Meeting schedule under LR 19(1),1,1,1,board meeting schedule under lr 191
33,2017-05-02,APEXFOOT,Q3 Financials,0,0,0,q3 financials
35,2017-05-02,APEXFOOT,Decision to enhance existing production capacity through BMRE,0,0,0,decision to enhance existing production capacity through bmre
36,2017-04-25,APEXFOOT,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
37,2017-01-31,APEXFOOT,Q2 Financials,0,0,0,q2 financials
38,2016-12-26,APEXFOOT,Credit Rating Result,0,0,0,credit rating result
39,2016-11-10,APEXFOOT,Q1,0,0,0,q1
40,2016-11-06,APEXFOOT,Board Meeting,1,0,0,board meeting
41,2016-09-27,APEXFOOT,6 Months Audited Financials of the Company,0,1,0,6 months audited financials of the company
42,2016-09-24,APEXFOOT,Board Meeting,0,0,1,board meeting
43,2016-06-09,APEXFOOT,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
44,2016-06-09,APEXFOOT,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
45,2016-05-19,APEXFOOT,Change of Financial year,1,0,0,change of financial year
46,2016-04-19,APEXFOOT,Resumption after Record date,0,0,0,resumption after record date
47,2016-04-18,APEXFOOT,Suspension for Record date,1,0,0,suspension for record date
48,2016-04-13,APEXFOOT,Spot for AGM,0,0,0,spot for agm
49,2016-03-29,APEXFOOT,Price Limit Open,0,0,0,price limit open
50,2016-03-29,APEXFOOT,Dividend Declaration,0,0,0,dividend declaration
51,2016-03-21,APEXFOOT,Board Meeting,1,0,0,board meeting
52,2015-11-19,APEXFOOT,Credit Rating Result,0,0,0,credit rating result
53,2015-10-28,APEXFOOT,Q3 Financials,0,1,0,q3 financials
54,2015-10-20,APEXFOOT,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
55,2015-07-30,APEXFOOT,Q2 Financials,1,0,0,q2 financials
56,2015-07-08,APEXFOOT,Q1 Financials (Repeat),1,0,0,q1 financials repeat
57,2015-05-13,APEXFOOT,Q1 Financials,0,0,0,q1 financials
58,2015-04-09,APEXFOOT,Resumption News after Record Date,0,0,0,resumption news after record date
59,2015-04-08,APEXFOOT,Suspension News for Record date,0,0,0,suspension news for record date
60,2015-04-06,APEXFOOT, Spot News for AGM,0,1,0,spot news for agm
61,2015-03-29,APEXFOOT,Price Limit Open,0,0,1,price limit open
62,2015-03-29,APEXFOOT,Dividend Declaration,0,0,1,dividend declaration
63,2015-03-19,APEXFOOT,Board Meeting schedule under LR 30,1,0,0,board meeting schedule under lr 30
64,2014-10-26,APEXFOOT,Q3 Earnings,0,0,0,q3 earnings
65,2014-09-23,APEXFOOT,Credit Rating,1,0,0,credit rating
66,2014-08-03,APEXFOOT,H/Y Earnings,1,1,1,hy earnings
67,2014-05-14,APEXFOOT, Q1 Earnings,0,0,0,q1 earnings
68,2014-04-16,APEXFOOT,trade resume,0,1,0,trade resume
69,2014-04-15,APEXFOOT,trade suspension,0,0,1,trade suspension
70,2014-04-09,APEXFOOT,Spot Market Transaction,0,1,0,spot market transaction
71,2014-03-30,APEXFOOT,no price limit,0,0,1,no price limit
72,2014-03-30,APEXFOOT,recommended 55% cash dividend,0,0,1,recommended 55 cash dividend
73,2014-03-23,APEXFOOT,Board Meeting,0,0,0,board meeting
