,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,APEXSPINN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-01-27,APEXSPINN,Q2 Financials,0,1,0,q2 financials
2,2019-01-20,APEXSPINN,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
3,2019-01-14,APEXSPINN,Credit Rating Result,0,0,1,credit rating result
4,2019-01-13,APEXSPINN,Dividend Disbursement,1,0,0,dividend disbursement
5,2018-11-15,APEXSPINN,Resumption after Record Date,0,0,0,resumption after record date
6,2018-11-14,APEXSPINN,Suspension for Record Date,0,0,0,suspension for record date
7,2018-11-12,APEXSPINN,Spot News,0,1,0,spot news
8,2018-10-28,APEXSPINN,Q1 Financials,0,0,1,q1 financials
9,2018-10-28,APEXSPINN,Price Limit Open,0,0,1,price limit open
10,2018-10-28,APEXSPINN,Dividend Declaration,0,0,1,dividend declaration
11,2018-10-18,APEXSPINN,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
12,2018-10-18,APEXSPINN,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
13,2018-06-18,APEXSPINN,Query Response (Repeat News),1,0,1,query response repeat news
14,2018-06-10,APEXSPINN,Query Response,1,1,1,query response
15,2018-04-30,APEXSPINN,Q3 Financials,0,0,0,q3 financials
16,2018-04-23,APEXSPINN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
17,2018-03-06,APEXSPINN,Query Response,0,0,1,query response
18,2018-02-01,APEXSPINN,Credit Rating Result,0,0,0,credit rating result
19,2018-01-31,APEXSPINN,Q2 Financials,0,0,0,q2 financials
20,2018-01-24,APEXSPINN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
21,2018-01-14,APEXSPINN,Dividend Disbursement,0,0,0,dividend disbursement
22,2017-11-15,APEXSPINN,Resumption after record date,0,1,0,resumption after record date
23,2017-11-15,APEXSPINN,Q1 Financials,0,1,0,q1 financials
25,2017-11-14,APEXSPINN,Emphasis of Matter,0,0,1,emphasis of matter
26,2017-11-14,APEXSPINN,Suspension for Record Date,0,0,1,suspension for record date
27,2017-11-12,APEXSPINN,Spot News,1,0,0,spot news
28,2017-11-08,APEXSPINN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
29,2017-11-05,APEXSPINN,Updating of information,0,0,0,updating of information
30,2017-10-22,APEXSPINN,Price Limit Open,0,0,0,price limit open
31,2017-10-22,APEXSPINN,Dividend Declaration,0,0,0,dividend declaration
32,2017-10-11,APEXSPINN,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
33,2017-09-07,APEXSPINN,Query Response,1,0,0,query response
34,2017-04-30,APEXSPINN,Q3 Financials,0,0,0,q3 financials
35,2017-04-23,APEXSPINN,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
36,2017-01-29,APEXSPINN,Q2 Financials,0,0,0,q2 financials
37,2017-01-24,APEXSPINN,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
38,2017-01-11,APEXSPINN,Dividend Disbursement,0,0,0,dividend disbursement
39,2016-12-11,APEXSPINN,Emphasis of Matter,0,1,0,emphasis of matter
40,2016-12-08,APEXSPINN,Credit Rating,1,0,0,credit rating
41,2016-11-16,APEXSPINN,Suspension for record date,0,1,0,suspension for record date
42,2016-11-15,APEXSPINN,Q1 Financials,0,0,1,q1 financials
43,2016-11-14,APEXSPINN,Spot for AGM,0,0,0,spot for agm
44,2016-10-30,APEXSPINN,Price Limit Open,0,0,0,price limit open
45,2016-10-30,APEXSPINN,Dividend Declaration,0,0,0,dividend declaration
46,2016-10-19,APEXSPINN,Board Meeting,0,0,0,board meeting
47,2016-02-01,APEXSPINN,Q3 Financials,1,0,0,q3 financials
48,2016-01-25,APEXSPINN,Board Meeting,0,0,0,board meeting
49,2015-12-15,APEXSPINN,Query Response,0,0,1,query response
50,2015-11-22,APEXSPINN, Credit Rating Result,0,0,0,credit rating result
51,2015-11-01,APEXSPINN,Q2 Financials,1,1,0,q2 financials
52,2015-10-26,APEXSPINN,Board Meeting,0,0,1,board meeting
53,2015-10-25,APEXSPINN,Dividend Warrants Disbursement,1,0,0,dividend warrants disbursement
54,2015-08-18,APEXSPINN,Resumption News after Record Date,0,1,0,resumption news after record date
55,2015-08-17,APEXSPINN, Suspension News for Record Date,1,0,1,suspension news for record date
56,2015-08-16,APEXSPINN,Q1 Financials,1,1,0,q1 financials
57,2015-08-13,APEXSPINN,Spot News,0,0,0,spot news
58,2015-08-11,APEXSPINN,Furnishing 12 digit e-TIN,1,1,0,furnishing 12 digit e-tin
59,2015-07-28,APEXSPINN, Price Limit Open,0,1,0,price limit open
60,2015-07-28,APEXSPINN,Dividend Declaration,0,1,0,dividend declaration
61,2015-07-26,APEXSPINN,Board Meeting schedule under LR 19,0,1,0,board meeting schedule under lr 19
62,2015-01-27,APEXSPINN,Q3,1,0,0,q3
63,2015-01-18,APEXSPINN,CSE query,0,0,0,cse query
64,2014-11-18,APEXSPINN,Credit Rating,1,0,0,credit rating
65,2014-10-26,APEXSPINN,H/Y earnings,0,0,0,hy earnings
66,2014-10-21,APEXSPINN,concerned shareholders to collect their dividend warrants,0,1,0,concerned shareholders to collect their dividend warrants
67,2014-09-14,APEXSPINN,has no undisclosed price sensitive information,1,0,0,has no undisclosed price sensitive information
68,2014-08-07,APEXSPINN,trade resume,0,0,0,trade resume
69,2014-08-06,APEXSPINN,trade suspension,1,0,0,trade suspension
70,2014-08-04,APEXSPINN,Spot Market Transaction,0,0,1,spot market transaction
71,2014-07-20,APEXSPINN,no price limit,1,0,0,no price limit
72,2014-07-20,APEXSPINN,recommended 20% cash dividend,1,0,0,recommended 20 cash dividend
73,2014-07-16,APEXSPINN,Board Meeting,0,0,0,board meeting
74,2014-03-20,APEXSPINN,DSE query,0,0,0,dse query
75,2014-01-30,APEXSPINN,Q3 earnings,1,0,0,q3 earnings
76,2013-12-05,APEXSPINN,Credit Rating,1,0,0,credit rating
77,2013-10-30,APEXSPINN,Q2 Earnings,1,1,0,q2 earnings
78,2013-10-09,APEXSPINN,Requested To Collect Dividend,1,0,0,requested to collect dividend
79,2013-08-04,APEXSPINN,Q1 Earnings,0,1,0,q1 earnings
80,2013-07-31,APEXSPINN,Trade Resume on Record date,0,1,0,trade resume on record date
81,2013-07-30,APEXSPINN,trade suspention on record date,0,0,1,trade suspention on record date
82,2013-07-25,APEXSPINN,Trade Suspension on Record Date,0,0,0,trade suspension on record date
83,2013-07-21,APEXSPINN,no price limit,1,0,0,no price limit
84,2013-07-21,APEXSPINN,Corporate Action,1,0,0,corporate action
85,2013-07-17,APEXSPINN,Board Meeting,1,0,0,board meeting
86,2013-01-28,APEXSPINN,HY Earnings,0,1,0,hy earnings
87,2012-10-23,APEXSPINN,HY Earnings 2012,1,0,0,hy earnings 2012
88,2012-07-24,APEXSPINN,- Trading of the shares...,1,0,0,trading of the shares
89,2012-07-19,APEXSPINN,- Trading of the shares...,0,0,0,trading of the shares
90,2012-07-12,APEXSPINN,- As per regulation....,1,0,0,as per regulation.
91,2012-01-25,APEXSPINN,- As per un-audited...,1,0,0,as per un-audited
92,2012-01-05,APEXSPINN,- The Credit Rating Agency...,1,0,0,the credit rating agency
93,2011-10-30,APEXSPINN,- As per un-audited...,0,0,1,as per un-audited
94,2011-10-19,APEXSPINN,- The Company has requested...,0,0,0,the company has requested
95,2011-10-17,APEXSPINN,- Normal trading of the shares...,0,0,0,normal trading of the shares
96,2011-10-16,APEXSPINN,- Trading of the shares...,0,0,0,trading of the shares
97,2011-10-11,APEXSPINN,- Trading of the shares...,0,1,1,trading of the shares
98,2011-08-07,APEXSPINN,- As per un-audited quarterly...,0,0,0,as per un-audited quarterly
99,2011-08-04,APEXSPINN,- Normal trading of the shares...,0,0,0,normal trading of the shares
100,2011-08-03,APEXSPINN,- Trading of the shares...,1,0,0,trading of the shares
101,2011-07-31,APEXSPINN,- Trading of the shares...,1,1,0,trading of the shares
102,2011-07-21,APEXSPINN,- There will be no price...,1,0,0,there will be no price
103,2011-07-21,APEXSPINN,- The Board of Directors...,1,0,0,the board of directors
104,2011-07-05,APEXSPINN,- In response to a DSE query...,0,1,0,in response to a dse query
