,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-23,APEXTANRY,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
2,2019-01-29,APEXTANRY,Q2 Financials,0,1,0,q2 financials
3,2019-01-22,APEXTANRY,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
4,2018-12-13,APEXTANRY,Credit Rating Result,0,0,0,credit rating result
5,2018-11-14,APEXTANRY,Decision to Purchase Land,1,0,0,decision to purchase land
6,2018-11-14,APEXTANRY,Q1 Financials,1,0,0,q1 financials
7,2018-11-11,APEXTANRY,Cash Dividend Disbursement,1,1,1,cash dividend disbursement
8,2018-11-07,APEXTANRY,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
9,2018-09-12,APEXTANRY,Resumption after record date,0,0,0,resumption after record date
10,2018-09-11,APEXTANRY,Suspension for Record Date,0,0,0,suspension for record date
11,2018-09-09,APEXTANRY,Spot News,0,0,0,spot news
12,2018-08-13,APEXTANRY,Price Limit Open,0,1,0,price limit open
13,2018-08-13,APEXTANRY,Dividend Declaration,0,1,0,dividend declaration
14,2018-08-02,APEXTANRY,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
15,2018-07-18,APEXTANRY,Query Response,1,1,0,query response
16,2018-04-25,APEXTANRY,Q3 Financials,1,0,0,q3 financials
17,2018-04-18,APEXTANRY,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
18,2018-02-01,APEXTANRY,Q2 Financials,0,0,0,q2 financials
19,2018-01-25,APEXTANRY,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
20,2017-11-12,APEXTANRY,Q1 Financials,1,0,1,q1 financials
21,2017-11-05,APEXTANRY,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
22,2017-10-26,APEXTANRY,Dividend Disbursement,1,0,0,dividend disbursement
23,2017-10-16,APEXTANRY,Credit Rating Result,1,1,1,credit rating result
24,2017-09-10,APEXTANRY,Resumption after Record Date,0,0,1,resumption after record date
25,2017-09-07,APEXTANRY,Suspension for Record Date,0,0,0,suspension for record date
26,2017-09-05,APEXTANRY,Spot News,1,0,0,spot news
27,2017-08-20,APEXTANRY,Price Limit Open,1,1,0,price limit open
28,2017-08-20,APEXTANRY,Dividend Declaration,1,1,0,dividend declaration
29,2017-08-09,APEXTANRY,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
30,2017-04-27,APEXTANRY,Address Change of Registered Office,0,0,0,address change of registered office
31,2017-04-27,APEXTANRY,Starting of commercial production in new factory Premises,0,0,0,starting of commercial production in new factory premises
32,2017-04-27,APEXTANRY,Q3 Financials,0,0,0,q3 financials
33,2017-04-20,APEXTANRY,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
34,2017-04-10,APEXTANRY,Cessation of production at Hazaribagh Factory of the Company,0,1,0,cessation of production at hazaribagh factory of the company
35,2017-01-29,APEXTANRY,Land Purchase,1,0,0,land purchase
36,2017-01-26,APEXTANRY,Q2 Financials,0,0,0,q2 financials
37,2017-01-22,APEXTANRY, Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
38,2016-11-14,APEXTANRY,Q1 Financials,0,0,0,q1 financials
39,2016-11-07,APEXTANRY,Board Meeting,0,0,1,board meeting
40,2016-09-08,APEXTANRY,Resumption after record date,0,0,0,resumption after record date
41,2016-09-08,APEXTANRY,Credit Rating Result,0,0,0,credit rating result
42,2016-09-07,APEXTANRY,Suspension for record date,0,0,0,suspension for record date
43,2016-09-05,APEXTANRY,Spot for AGM,0,1,0,spot for agm
44,2016-08-17,APEXTANRY,Price Limit Open,0,0,0,price limit open
45,2016-08-17,APEXTANRY,Dividend Declaration,0,0,0,dividend declaration
46,2016-08-08,APEXTANRY,Board Meeting,0,0,1,board meeting
47,2016-04-28,APEXTANRY,Q3 Financials,0,0,0,q3 financials
48,2016-04-25,APEXTANRY,Board Meeting,1,1,0,board meeting
49,2016-03-09,APEXTANRY,Decision for Land purchase,0,0,0,decision for land purchase
50,2016-01-31,APEXTANRY,Q2 Financials,0,1,1,q2 financials
51,2016-01-25,APEXTANRY,Board Meeting,0,0,0,board meeting
52,2015-12-09,APEXTANRY,Agreement Signing,1,0,0,agreement signing
53,2015-11-11,APEXTANRY,Q1 Financials,0,1,0,q1 financials
54,2015-11-05,APEXTANRY,Board Meeting,0,0,0,board meeting
55,2015-09-09,APEXTANRY,Resumption News,0,0,0,resumption news
56,2015-09-08,APEXTANRY,Suspension News,1,0,0,suspension news
57,2015-09-06,APEXTANRY,Spot News,0,0,1,spot news
58,2015-09-01,APEXTANRY,Credit Rating Result,0,0,1,credit rating result
59,2015-08-17,APEXTANRY,Price Limit Open,1,1,1,price limit open
60,2015-08-17,APEXTANRY,Dividend Declaration,1,1,1,dividend declaration
61,2015-08-09,APEXTANRY,Board Meeting schedule,0,0,1,board meeting schedule
62,2015-04-22,APEXTANRY,Quarterly Earnings,0,0,0,quarterly earnings
63,2015-02-01,APEXTANRY,Half Yearly Financials,1,0,1,half yearly financials
64,2014-10-30,APEXTANRY,Q1 Earnings,0,0,0,q1 earnings
65,2014-09-01,APEXTANRY,Credit Rating,1,0,1,credit rating
66,2014-08-27,APEXTANRY,trade resume,0,0,0,trade resume
67,2014-08-26,APEXTANRY,trade suspension,0,0,0,trade suspension
68,2014-08-24,APEXTANRY,trade suspension,0,1,0,trade suspension
69,2014-08-11,APEXTANRY,recommended 45% cash dividend,1,1,0,recommended 45 cash dividend
70,2014-08-04,APEXTANRY,Board Meeting,1,0,0,board meeting
71,2014-04-29,APEXTANRY,Q3 Earning,0,1,0,q3 earning
72,2014-04-29,APEXTANRY,New Agreement,0,1,0,new agreement
73,2014-01-29,APEXTANRY,H/Y Earnings,0,1,0,hy earnings
74,2013-11-03,APEXTANRY,Q1 Earnings,1,1,0,q1 earnings
75,2013-08-27,APEXTANRY,Trade Resume After Record Date,0,0,1,trade resume after record date
76,2013-08-26,APEXTANRY,Trade Suspension on Record Date,1,0,0,trade suspension on record date
77,2013-08-21,APEXTANRY,Credit Rating,1,1,0,credit rating
78,2013-08-21,APEXTANRY,Trade Suspension on Record Date,1,1,0,trade suspension on record date
79,2013-08-12,APEXTANRY,Corporate Action,1,0,1,corporate action
80,2013-08-12,APEXTANRY,No Price limit,1,0,1,no price limit
81,2013-07-30,APEXTANRY,Board Meeting,0,0,0,board meeting
82,2013-04-28,APEXTANRY,Q3 earnings,0,0,1,q3 earnings
83,2013-03-12,APEXTANRY,director share transfer,1,1,1,director share transfer
84,2013-03-05,APEXTANRY,director buy,0,1,1,director buy
85,2013-01-31,APEXTANRY,H/Y Earnings 2012-13,1,0,0,hy earnings 2012-13
86,2013-01-31,APEXTANRY,replacement of steel drums,1,0,0,replacement of steel drums
87,2012-10-22,APEXTANRY,Q1 Earnings 2012,0,0,0,q1 earnings 2012
88,2012-05-02,APEXTANRY,- continuation of news of APEXTANRY -Q3...,1,0,0,continuation of news of apextanry -q3
89,2012-05-02,APEXTANRY,- (Q3): As per un-audited quarterly accounts...,1,0,0,q3: as per un-audited quarterly accounts
90,2012-03-19,APEXTANRY,- Mr. Md. Hedayetullah...,1,1,1,mr. md. hedayetullah
91,2012-03-15,APEXTANRY,- Mr. Md. Rahamatullah...,0,0,0,mr. md. rahamatullah
92,2012-03-15,APEXTANRY,- Mr. Md. Hedayetullah...,0,0,0,mr. md. hedayetullah
93,2012-03-07,APEXTANRY,- Mr. Md. Hedayetullah...,0,1,0,mr. md. hedayetullah
94,2012-03-07,APEXTANRY,- Mr. Md. Rahamatullah...,0,1,0,mr. md. rahamatullah
95,2012-01-30,APEXTANRY,- As per un-audited...,1,0,0,as per un-audited
96,2011-12-21,APEXTANRY,- Mr. Syed Manzur Elahi...,1,0,0,mr. syed manzur elahi
97,2011-12-14,APEXTANRY,- Mr. Syed Manzur Elahi...,0,0,0,mr. syed manzur elahi
98,2011-11-01,APEXTANRY,- As per un-audited...,0,1,0,as per un-audited
99,2011-10-31,APEXTANRY,- The Company has informed...,0,0,1,the company has informed
100,2011-09-28,APEXTANRY,- Normal trading of the shares...,0,1,0,normal trading of the shares
101,2011-09-27,APEXTANRY,- Trading of the shares...,0,0,1,trading of the shares
102,2011-09-22,APEXTANRY,- Trading of the shares...,0,0,0,trading of the shares
103,2011-09-19,APEXTANRY,- The Company has informed...,1,1,0,the company has informed
104,2011-08-24,APEXTANRY,- Normal trading of the shares...,0,1,0,normal trading of the shares
105,2011-08-23,APEXTANRY,- Trading of the shares ...,1,0,1,trading of the shares
106,2011-08-17,APEXTANRY,- Trading of the shares...,0,1,0,trading of the shares
107,2011-08-14,APEXTANRY,- The Board of Directors...,0,0,1,the board of directors
108,2011-08-14,APEXTANRY,- There will be no price...,0,0,1,there will be no price
109,2011-07-21,APEXTANRY,- In response to a DSE...,1,0,0,in response to a dse
