,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,APOLOISPAT,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
1,2019-02-03,APOLOISPAT,Dividend Disbursement,0,0,0,dividend disbursement
2,2019-01-31,APOLOISPAT,Q2 Financials,0,0,0,q2 financials
3,2019-01-27,APOLOISPAT,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
4,2019-01-24,APOLOISPAT,Credit Rating Result,0,0,0,credit rating result
5,2019-01-08,APOLOISPAT,Query Response,0,0,1,query response
6,2018-12-27,APOLOISPAT,Prohibition on providing loan facilities to purchase securities,1,0,0,prohibition on providing loan facilities to purchase securities
7,2018-12-27,APOLOISPAT,Category Change,1,0,0,category change
8,2018-11-25,APOLOISPAT,Resumption after record date,0,0,1,resumption after record date
9,2018-11-22,APOLOISPAT,Suspension for Record date,0,0,0,suspension for record date
10,2018-11-19,APOLOISPAT,Spot News,0,0,0,spot news
11,2018-11-15,APOLOISPAT,Q1 Financials,0,0,0,q1 financials
12,2018-11-12,APOLOISPAT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
13,2018-11-04,APOLOISPAT,Price Limit Open,0,0,0,price limit open
14,2018-11-04,APOLOISPAT,Dividend Declaration,0,0,0,dividend declaration
15,2018-10-25,APOLOISPAT,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
16,2018-05-03,APOLOISPAT,Q3 Financials,0,0,0,q3 financials
17,2018-04-24,APOLOISPAT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
19,2018-03-27,APOLOISPAT,Commercial operation starting of RTF technology based NOF-CGL Plant,0,1,1,commercial operation starting of rtf technology based nof-cgl plant
20,2018-01-31,APOLOISPAT,Q2 Financials,0,0,0,q2 financials
21,2018-01-24,APOLOISPAT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
22,2018-01-22,APOLOISPAT,Dividend Disbursement,1,0,0,dividend disbursement
23,2017-12-07,APOLOISPAT,Venue of the AGM,0,0,0,venue of the agm
24,2017-11-23,APOLOISPAT,Resumption after record date,0,0,0,resumption after record date
25,2017-11-22,APOLOISPAT,Suspension for Record Date,1,0,0,suspension for record date
26,2017-11-20,APOLOISPAT,Spot News,0,1,1,spot news
27,2017-11-12,APOLOISPAT,Q1 Financials,0,0,1,q1 financials
28,2017-11-06,APOLOISPAT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
29,2017-10-31,APOLOISPAT,Price Limit Open,1,1,1,price limit open
30,2017-10-31,APOLOISPAT,Dividend Declaration,1,1,1,dividend declaration
31,2017-10-23,APOLOISPAT,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
32,2017-06-21,APOLOISPAT,Credit Rating Result,0,0,0,credit rating result
34,2017-04-30,APOLOISPAT,Q3 Financials,0,0,0,q3 financials
35,2017-04-25,APOLOISPAT,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
36,2017-03-01,APOLOISPAT,Buy confirmation,0,0,0,buy confirmation
37,2017-03-01,APOLOISPAT,Buy Confirmation,0,0,0,buy confirmation
38,2017-02-20,APOLOISPAT,Buy Declaration of a Sponsor,0,0,1,buy declaration of a sponsor
39,2017-02-20,APOLOISPAT,Buy Declaration of a Sponsor,0,0,1,buy declaration of a sponsor
40,2017-01-31,APOLOISPAT,Q2 Financials,0,1,0,q2 financials
41,2017-01-25,APOLOISPAT,Dividend Disbursement,0,0,0,dividend disbursement
42,2017-01-25,APOLOISPAT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
43,2017-01-11,APOLOISPAT,Query Response,0,1,0,query response
44,2016-12-22,APOLOISPAT,Land Purchase,1,0,0,land purchase
45,2016-12-05,APOLOISPAT, Venue of the AGM,1,0,0,venue of the agm
46,2016-11-20,APOLOISPAT,Resumption after record date,1,0,0,resumption after record date
47,2016-11-17,APOLOISPAT,Suspension for record date,0,0,0,suspension for record date
48,2016-11-15,APOLOISPAT,Spot for AGM,1,0,0,spot for agm
49,2016-11-15,APOLOISPAT,Q1 Financials,1,0,0,q1 financials
50,2016-11-10,APOLOISPAT,Board Meeting,0,0,0,board meeting
51,2016-10-31,APOLOISPAT,Price Limit Open,1,0,1,price limit open
52,2016-10-31,APOLOISPAT,Dividend Declaration,1,0,1,dividend declaration
53,2016-10-23,APOLOISPAT,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
54,2016-06-16,APOLOISPAT,Q3 Financials,0,0,0,q3 financials
55,2016-05-12,APOLOISPAT,Credit Rating Result,0,0,0,credit rating result
56,2016-05-04,APOLOISPAT,Confirmation of sale/buy,0,0,0,confirmation of salebuy
57,2016-04-28,APOLOISPAT,Q3 Financials,0,0,0,q3 financials
58,2016-04-25,APOLOISPAT,Board Meeting,0,0,0,board meeting
59,2016-03-21,APOLOISPAT,Declaration of sale/buy of a Director/Sponsor,1,0,0,declaration of salebuy of a directorsponsor
60,2016-03-21,APOLOISPAT,Declaration of sale/buy of a Director/Sponsor,1,0,0,declaration of salebuy of a directorsponsor
