,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,ARAMITCEM,Q3 Financials,1,1,0,q3 financials
1,2019-04-23,ARAMITCEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-01-31,ARAMITCEM,Q2 Financials,0,0,0,q2 financials
3,2019-01-21,ARAMITCEM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
4,2019-01-03,ARAMITCEM,Query Response,1,0,0,query response
5,2018-11-25,ARAMITCEM,Credit Rating Result,0,1,0,credit rating result
6,2018-11-18,ARAMITCEM,Resumption after record date,0,0,1,resumption after record date
7,2018-11-15,ARAMITCEM,Suspension for Record Date,0,0,0,suspension for record date
8,2018-11-04,ARAMITCEM,Spot News,1,1,0,spot news
9,2018-10-29,ARAMITCEM,Q1 Financials,0,0,0,q1 financials
10,2018-10-29,ARAMITCEM,Price Limit Open,0,0,0,price limit open
11,2018-10-29,ARAMITCEM,Dividend Declaration,0,0,0,dividend declaration
12,2018-10-18,ARAMITCEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
13,2018-10-18,ARAMITCEM,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
14,2018-04-30,ARAMITCEM,Q3 Financials,0,0,0,q3 financials
15,2018-04-22,ARAMITCEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
16,2018-01-31,ARAMITCEM,Q2 Financials,0,1,0,q2 financials
17,2018-01-23,ARAMITCEM,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
18,2017-12-11,ARAMITCEM,Query Response,0,1,1,query response
19,2017-12-10,ARAMITCEM,Q1 Financials (Repeat),1,0,1,q1 financials repeat
20,2017-11-16,ARAMITCEM,Resumption after record date,0,0,0,resumption after record date
21,2017-11-15,ARAMITCEM,Suspension for Record Date,1,0,0,suspension for record date
22,2017-11-02,ARAMITCEM,Spot News,1,0,0,spot news
23,2017-10-29,ARAMITCEM,Q1 Financials,1,1,1,q1 financials
24,2017-10-29,ARAMITCEM,Prohibition on providing loan facilities to purchase securities,1,1,1,prohibition on providing loan facilities to purchase securities
25,2017-10-29,ARAMITCEM,Category Change,1,1,1,category change
26,2017-10-29,ARAMITCEM,Price Limit Open,1,1,1,price limit open
27,2017-10-29,ARAMITCEM,Dividend Declaration,1,1,1,dividend declaration
28,2017-10-26,ARAMITCEM,Credit Rating Result,1,0,0,credit rating result
29,2017-10-19,ARAMITCEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
30,2017-10-19,ARAMITCEM,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
31,2017-09-11,ARAMITCEM,Query Response,0,0,0,query response
32,2017-04-30,ARAMITCEM,Q3 Financials,0,0,0,q3 financials
33,2017-04-20,ARAMITCEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
34,2017-01-31,ARAMITCEM,Q2 Financials,1,1,0,q2 financials
35,2017-01-29,ARAMITCEM,Board Meeting,0,0,1,board meeting
36,2017-01-15,ARAMITCEM,Dividend Disbursement,1,0,0,dividend disbursement
37,2016-12-29,ARAMITCEM,Commencement of commercial production of Unit-2,1,0,0,commencement of commercial production of unit-2
