,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,ARAMIT,Q3 Financials,0,0,0,q3 financials
1,2019-04-18,ARAMIT,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-01-31,ARAMIT,Q2 Financials,0,0,0,q2 financials
3,2019-01-24,ARAMIT,Dividend Disbursement,0,0,0,dividend disbursement
4,2019-01-22,ARAMIT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
5,2018-11-18,ARAMIT,Resumption after record date,0,1,0,resumption after record date
6,2018-11-15,ARAMIT,Suspension for Record Date,0,0,0,suspension for record date
7,2018-11-13,ARAMIT,Spot News,1,0,0,spot news
8,2018-10-29,ARAMIT,Q1 Financials,0,0,0,q1 financials
9,2018-10-29,ARAMIT,Price Limit Open,0,0,0,price limit open
10,2018-10-29,ARAMIT,Dividend Declaration,0,0,0,dividend declaration
11,2018-10-18,ARAMIT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
12,2018-10-18,ARAMIT,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
13,2018-07-19,ARAMIT,Query Response,1,0,0,query response
14,2018-07-03,ARAMIT,Query Response,0,1,0,query response
15,2018-06-11,ARAMIT,Query Response,0,1,0,query response
16,2018-04-30,ARAMIT,Q3 Financials,1,0,0,q3 financials
17,2018-04-22,ARAMIT,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
18,2018-01-31,ARAMIT,Q2 Financials,0,1,0,q2 financials
19,2018-01-23,ARAMIT,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
20,2018-01-17,ARAMIT,Dividend Disbursement,0,0,0,dividend disbursement
21,2017-11-16,ARAMIT,Resumption after record date,0,0,0,resumption after record date
22,2017-11-15,ARAMIT,Suspension for Record Date,1,0,0,suspension for record date
23,2017-11-13,ARAMIT,Spot News,0,0,1,spot news
24,2017-10-29,ARAMIT,Q1 Financials,0,0,0,q1 financials
25,2017-10-29,ARAMIT,Price Limit Open,0,0,0,price limit open
26,2017-10-29,ARAMIT,Dividend Declaration,0,0,0,dividend declaration
27,2017-10-19,ARAMIT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
28,2017-10-19,ARAMIT,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
29,2017-04-30,ARAMIT,Q3 Financials,0,0,1,q3 financials
30,2017-04-24,ARAMIT,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
31,2017-01-30,ARAMIT,Q2 Financials,0,0,1,q2 financials
32,2017-01-29,ARAMIT,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
33,2017-01-15,ARAMIT,Dividend Disbursement,0,0,0,dividend disbursement
34,2016-11-17,ARAMIT,Resumption after record date,1,0,0,resumption after record date
35,2016-11-16,ARAMIT,Suspension for record date,0,1,0,suspension for record date
36,2016-11-14,ARAMIT,Spot for AGM,0,1,0,spot for agm
37,2016-10-30,ARAMIT,Q1 Financials,0,1,0,q1 financials
38,2016-10-30,ARAMIT,Price Limit Open,0,1,0,price limit open
39,2016-10-30,ARAMIT,Dividend Declaration,0,1,0,dividend declaration
40,2016-10-20,ARAMIT,Board meeting,0,0,0,board meeting
41,2016-05-26,ARAMIT,Resumption after record,0,0,0,resumption after record
42,2016-05-25,ARAMIT,Suspension news,1,0,0,suspension news
43,2016-05-22,ARAMIT,Spot for interim dividend,0,0,1,spot for interim dividend
44,2016-05-02,ARAMIT,Price Limit Open,0,1,1,price limit open
45,2016-05-02,ARAMIT,Interim Dividend Declaration,0,1,1,interim dividend declaration
46,2016-04-20,ARAMIT,Board Meeting,0,1,0,board meeting
47,2016-04-17,ARAMIT,Query Response,0,0,0,query response
48,2015-11-30,ARAMIT,Address Change of Share Office,0,1,1,address change of share office
49,2015-11-08,ARAMIT,Query Response,1,1,0,query response
50,2015-11-01,ARAMIT,Q3,0,1,0,q3
51,2015-09-30,ARAMIT,Query Response,0,1,0,query response
52,2015-08-02,ARAMIT,Q2 Financials,1,1,1,q2 financials
53,2015-05-13,ARAMIT,Resumption News after Record Date,0,0,0,resumption news after record date
54,2015-05-12,ARAMIT,Suspension News for Record Date,0,0,0,suspension news for record date
55,2015-05-10,ARAMIT,Spot News for AGM,1,0,0,spot news for agm
56,2015-05-04,ARAMIT,Price Limit Open,0,1,1,price limit open
57,2015-04-26,ARAMIT,Board Meeting,0,1,0,board meeting
58,2014-10-29,ARAMIT,Q3 Earnings,1,1,0,q3 earnings
59,2014-08-06,ARAMIT,cash dividend,1,0,0,cash dividend
60,2014-07-23,ARAMIT,H/Y Earnings,1,1,0,hy earnings
61,2014-05-07,ARAMIT,trade suspended,0,1,0,trade suspended
62,2014-05-06,ARAMIT,trade suspended,1,0,1,trade suspended
63,2014-05-04,ARAMIT,Spot Market and Block/Odd lot transactions,0,1,1,spot market and blockodd lot transactions
64,2014-04-27,ARAMIT,Quarterly Earning,0,0,1,quarterly earning
65,2014-04-27,ARAMIT,no price limit,0,0,1,no price limit
66,2014-04-27,ARAMIT,50% Cash Dividend,0,0,1,50 cash dividend
67,2014-04-22,ARAMIT,Board Meeting,1,1,0,board meeting
68,2014-01-22,ARAMIT,new Chairman & MD,1,0,0,new chairman  md
69,2013-10-24,ARAMIT,Q3 Earnings,1,0,0,q3 earnings
70,2013-05-07,ARAMIT,Trade Suspension on record date,1,0,0,trade suspension on record date
71,2013-05-02,ARAMIT,Spot Market Trading,1,0,0,spot market trading
72,2013-05-02,ARAMIT,Spot market trading,1,0,0,spot market trading
73,2013-04-29,ARAMIT,Q1 Earnings,0,0,0,q1 earnings
74,2013-04-29,ARAMIT,Corporate Declaration,0,0,0,corporate declaration
75,2013-04-24,ARAMIT,Board meeting,1,1,0,board meeting
76,2013-04-24,ARAMIT,Board meeting,1,1,0,board meeting
77,2012-10-31,ARAMIT,Q3 Earnings 2012,1,0,0,q3 earnings 2012
78,2012-05-10,ARAMIT,- Normal trading of the shares...,0,0,0,normal trading of the shares
79,2012-05-09,ARAMIT,- Trading of the shares...,0,0,0,trading of the shares
80,2012-04-24,ARAMIT,- The Company has further informed...,1,0,1,the company has further informed
81,2012-04-23,ARAMIT,- As per regulation...,0,1,0,as per regulation
82,2011-07-31,ARAMIT,- (H/Y): As per un-audited...,0,1,0,hy: as per un-audited
83,2011-07-26,ARAMIT,- The Company has informed...,0,0,0,the company has informed
