,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,ARGONDENIM,Confirmation of share transfer by a Sponsor Director,0,0,0,confirmation of share transfer by a sponsor director
1,2019-04-28,ARGONDENIM,Q3 Financials,1,0,0,q3 financials
2,2019-04-28,ARGONDENIM,Declaration of share transfer by a Sponsor Director,1,0,0,declaration of share transfer by a sponsor director
3,2019-04-21,ARGONDENIM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-04-17,ARGONDENIM,Sale Confirmation of a Director,0,1,0,sale confirmation of a director
5,2019-04-08,ARGONDENIM,Sale Declaration of a Director,0,1,0,sale declaration of a director
6,2019-02-13,ARGONDENIM,Sale Confirmation of a Shareholder Director,0,1,0,sale confirmation of a shareholder director
7,2019-02-04,ARGONDENIM,Sale Declaration of a Shareholder Director,0,0,1,sale declaration of a shareholder director
8,2019-01-15,ARGONDENIM,Q2 Financials,1,0,0,q2 financials
9,2019-01-06,ARGONDENIM,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
10,2018-12-24,ARGONDENIM,Credit Rating Result,0,0,1,credit rating result
11,2018-12-02,ARGONDENIM,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
12,2018-11-14,ARGONDENIM,Q1 Financials,1,1,0,q1 financials
13,2018-11-07,ARGONDENIM,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
14,2018-10-11,ARGONDENIM,Time and Venue of the AGM,0,0,0,time and venue of the agm
15,2018-10-11,ARGONDENIM,Resumption after Record Date,0,0,0,resumption after record date
16,2018-10-10,ARGONDENIM,Suspension for Record Date,0,0,0,suspension for record date
17,2018-10-08,ARGONDENIM,Spot News,0,0,0,spot news
18,2018-10-07,ARGONDENIM,Decision to procurement of Brand New Looms,0,0,0,decision to procurement of brand new looms
19,2018-09-23,ARGONDENIM,Price Limit Open,0,0,1,price limit open
20,2018-09-23,ARGONDENIM,Dividend Declaration,0,0,1,dividend declaration
21,2018-09-11,ARGONDENIM,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
