,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,ASIAPACINS,Q1 Financials,0,1,0,q1 financials
1,2019-04-29,ASIAPACINS,Price Limit Open,0,1,0,price limit open
2,2019-04-29,ASIAPACINS,Dividend Declaration,0,1,0,dividend declaration
3,2019-04-24,ASIAPACINS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
4,2019-04-21,ASIAPACINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
5,2018-10-29,ASIAPACINS,Q3 Financials,1,1,0,q3 financials
6,2018-10-25,ASIAPACINS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
7,2018-10-08,ASIAPACINS,Query Response,0,0,0,query response
8,2018-07-30,ASIAPACINS,Q2 Financials,0,0,1,q2 financials
9,2018-07-25,ASIAPACINS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
10,2018-07-16,ASIAPACINS,Dividend Disbursement,0,0,0,dividend disbursement
11,2018-05-29,ASIAPACINS,Resumption after record date,0,0,0,resumption after record date
12,2018-05-28,ASIAPACINS,Suspension for Record Date,1,0,0,suspension for record date
13,2018-05-24,ASIAPACINS,Credit Rating Result,0,0,0,credit rating result
14,2018-05-24,ASIAPACINS,Spot News,0,0,0,spot news
15,2018-04-30,ASIAPACINS,Q1 Financials,0,0,0,q1 financials
16,2018-04-30,ASIAPACINS,Price Limit Open,0,0,0,price limit open
17,2018-04-30,ASIAPACINS,Dividend Declaration,0,0,0,dividend declaration
18,2018-04-24,ASIAPACINS,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
19,2018-04-19,ASIAPACINS,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
20,2017-10-30,ASIAPACINS,Q3 Financials,1,1,1,q3 financials
21,2017-10-24,ASIAPACINS,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
22,2017-08-24,ASIAPACINS,Sale confirmation of a Director,0,0,0,sale confirmation of a director
23,2017-08-02,ASIAPACINS,Sale Declaration of a Director,0,1,0,sale declaration of a director
24,2017-07-26,ASIAPACINS,Dividend Disbursement,1,1,0,dividend disbursement
25,2017-07-16,ASIAPACINS,Q2 Financials,1,1,0,q2 financials
26,2017-07-10,ASIAPACINS,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
27,2017-07-10,ASIAPACINS,Sale confirmation of a Public Shareholder Director,1,1,1,sale confirmation of a public shareholder director
