,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,ATCSLGF,Weekly NAV,0,1,1,weekly nav
1,2019-04-23,ATCSLGF,Q3 Financials,0,0,0,q3 financials
2,2019-04-21,ATCSLGF,Weekly NAV,0,0,0,weekly nav
3,2019-04-17,ATCSLGF,Trustee Committee Meeting schedule under LR 16(1),0,0,0,trustee committee meeting schedule under lr 161
4,2019-04-15,ATCSLGF,Weekly NAV,0,0,0,weekly nav
5,2019-04-07,ATCSLGF,Weekly NAV,0,0,0,weekly nav
6,2019-03-31,ATCSLGF,Weekly NAV,0,0,0,weekly nav
7,2019-03-24,ATCSLGF,Weekly NAV,1,0,0,weekly nav
8,2019-03-18,ATCSLGF,Weekly NAV,0,0,0,weekly nav
9,2019-03-10,ATCSLGF,Weekly NAV,0,1,0,weekly nav
10,2019-03-03,ATCSLGF,Weekly NAV,0,0,0,weekly nav
11,2019-02-24,ATCSLGF,Weekly NAV,0,0,0,weekly nav
12,2019-02-17,ATCSLGF,Weekly NAV,0,0,0,weekly nav
13,2019-02-10,ATCSLGF,Weekly NAV,0,0,1,weekly nav
14,2019-02-03,ATCSLGF,Weekly NAV,1,1,1,weekly nav
15,2019-01-27,ATCSLGF,Weekly NAV,1,1,0,weekly nav
16,2019-01-20,ATCSLGF,Weekly NAV,1,1,0,weekly nav
17,2019-01-16,ATCSLGF,Q2 Financials,0,0,0,q2 financials
18,2019-01-13,ATCSLGF,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
19,2019-01-13,ATCSLGF,Weekly NAV,0,0,0,weekly nav
20,2019-01-06,ATCSLGF,Weekly NAV,1,0,1,weekly nav
21,2019-01-01,ATCSLGF,Weekly NAV,0,0,0,weekly nav
22,2018-12-23,ATCSLGF,Weekly NAV,0,0,0,weekly nav
23,2018-12-17,ATCSLGF,Weekly NAV,0,0,0,weekly nav
24,2018-12-09,ATCSLGF,Weekly NAV,0,0,0,weekly nav
25,2018-12-02,ATCSLGF,Weekly NAV,0,0,0,weekly nav
26,2018-11-25,ATCSLGF,Weekly NAV,0,0,0,weekly nav
27,2018-11-18,ATCSLGF,Weekly NAV,0,0,0,weekly nav
28,2018-11-11,ATCSLGF,Weekly NAV,0,0,0,weekly nav
29,2018-11-04,ATCSLGF,Weekly NAV,0,1,0,weekly nav
30,2018-10-28,ATCSLGF,Weekly NAV,0,1,0,weekly nav
31,2018-10-21,ATCSLGF,Q1 Financials,1,1,1,q1 financials
32,2018-10-21,ATCSLGF,Weekly NAV,1,1,1,weekly nav
33,2018-10-15,ATCSLGF,Trustee Committee Meeting schedule under LR 16(1),0,0,0,trustee committee meeting schedule under lr 161
34,2018-10-14,ATCSLGF,Weekly NAV,0,0,0,weekly nav
35,2018-10-07,ATCSLGF,Weekly NAV,0,0,0,weekly nav
36,2018-09-30,ATCSLGF,Weekly NAV,0,0,0,weekly nav
37,2018-09-23,ATCSLGF,Weekly NAV,0,0,0,weekly nav
38,2018-09-20,ATCSLGF,Dividend Disbursement,0,0,0,dividend disbursement
39,2018-09-16,ATCSLGF,Weekly NAV,0,0,0,weekly nav
40,2018-09-09,ATCSLGF,Weekly NAV,0,1,0,weekly nav
41,2018-09-03,ATCSLGF,Resumption after record date,0,0,0,resumption after record date
42,2018-09-03,ATCSLGF,Weekly NAV,0,0,0,weekly nav
43,2018-08-30,ATCSLGF,Suspension for Record Date,0,0,0,suspension for record date
44,2018-08-28,ATCSLGF,Spot News,0,0,0,spot news
46,2018-08-26,ATCSLGF,Furnishing e-TIN Number and Information for Margin Account Holders,1,0,0,furnishing e-tin number and information for margin account holders
47,2018-08-26,ATCSLGF,Weekly NAV,1,0,0,weekly nav
48,2018-08-19,ATCSLGF,Weekly NAV,1,0,0,weekly nav
50,2018-08-13,ATCSLGF,Furnishing e-TIN Number and Information for Margin Account Holders,0,0,0,furnishing e-tin number and information for margin account holders
51,2018-08-12,ATCSLGF,Weekly NAV,0,0,0,weekly nav
52,2018-08-06,ATCSLGF,Price Limit Open,0,0,0,price limit open
53,2018-08-06,ATCSLGF,Dividend Declaration,0,0,0,dividend declaration
54,2018-08-05,ATCSLGF,Weekly NAV,1,0,0,weekly nav
55,2018-07-30,ATCSLGF,Trustee Committee Meeting schedule under LR 19(1),0,0,0,trustee committee meeting schedule under lr 191
56,2018-07-29,ATCSLGF,Weekly NAV,0,0,0,weekly nav
57,2018-07-22,ATCSLGF,Weekly NAV,0,0,0,weekly nav
58,2018-07-15,ATCSLGF,Weekly NAV,0,1,0,weekly nav
59,2018-07-08,ATCSLGF,Weekly NAV,0,0,0,weekly nav
60,2018-07-02,ATCSLGF,Weekly NAV,0,0,0,weekly nav
61,2018-06-24,ATCSLGF,Weekly NAV,0,0,1,weekly nav
62,2018-06-18,ATCSLGF,Weekly NAV,0,1,1,weekly nav
63,2018-06-10,ATCSLGF,Weekly NAV,0,0,0,weekly nav
64,2018-06-03,ATCSLGF,Weekly NAV,0,0,0,weekly nav
65,2018-05-27,ATCSLGF,Weekly NAV,0,0,0,weekly nav
66,2018-05-20,ATCSLGF,Weekly NAV,0,0,1,weekly nav
67,2018-05-13,ATCSLGF,Weekly NAV,0,0,0,weekly nav
68,2018-05-06,ATCSLGF,Weekly NAV,0,1,1,weekly nav
69,2018-04-30,ATCSLGF,Weekly NAV,0,0,0,weekly nav
70,2018-04-22,ATCSLGF,Weekly NAV,0,0,0,weekly nav
71,2018-04-19,ATCSLGF,Q3 Financials (Revised Information of NAV),0,0,0,q3 financials revised information of nav
72,2018-04-18,ATCSLGF,Q3 Financials,0,0,0,q3 financials
73,2018-04-15,ATCSLGF,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
74,2018-04-15,ATCSLGF,Weekly NAV,0,0,1,weekly nav
75,2018-04-08,ATCSLGF,Weekly NAV,1,0,0,weekly nav
76,2018-04-01,ATCSLGF,Weekly NAV,0,1,0,weekly nav
77,2018-03-25,ATCSLGF,Weekly NAV,0,0,0,weekly nav
78,2018-03-18,ATCSLGF,Weekly NAV,0,1,1,weekly nav
79,2018-03-11,ATCSLGF,Weekly NAV,0,1,0,weekly nav
80,2018-03-04,ATCSLGF,Weekly NAV,1,0,0,weekly nav
81,2018-02-25,ATCSLGF,Weekly NAV,0,0,0,weekly nav
82,2018-02-18,ATCSLGF,Weekly NAV,0,0,0,weekly nav
83,2018-02-11,ATCSLGF,Weekly NAV,1,0,0,weekly nav
84,2018-02-04,ATCSLGF,Weekly NAV,0,0,0,weekly nav
85,2018-01-28,ATCSLGF,Weekly NAV,0,0,0,weekly nav
86,2018-01-24,ATCSLGF,Q2 Financials,1,0,0,q2 financials
87,2018-01-21,ATCSLGF,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
88,2018-01-21,ATCSLGF,Weekly NAV,0,0,0,weekly nav
89,2018-01-14,ATCSLGF,Weekly NAV,0,0,0,weekly nav
90,2018-01-07,ATCSLGF,Weekly NAV,0,0,0,weekly nav
91,2018-01-01,ATCSLGF,Weekly NAV,0,0,0,weekly nav
92,2017-12-24,ATCSLGF,Weekly NAV,0,0,0,weekly nav
93,2017-12-17,ATCSLGF,Weekly NAV,1,0,1,weekly nav
94,2017-12-10,ATCSLGF,Weekly NAV,0,0,0,weekly nav
95,2017-12-03,ATCSLGF,Weekly NAV,0,0,1,weekly nav
96,2017-11-26,ATCSLGF,Weekly NAV,0,1,0,weekly nav
97,2017-11-19,ATCSLGF,Weekly NAV,0,0,0,weekly nav
98,2017-11-12,ATCSLGF,Weekly NAV,0,0,0,weekly nav
99,2017-11-05,ATCSLGF,Weekly NAV,0,0,0,weekly nav
100,2017-11-01,ATCSLGF,Q1 Financials,0,0,0,q1 financials
101,2017-10-29,ATCSLGF,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
102,2017-10-29,ATCSLGF,Weekly NAV,0,0,1,weekly nav
103,2017-10-22,ATCSLGF,Weekly NAV,1,0,0,weekly nav
104,2017-10-15,ATCSLGF,Weekly NAV,0,1,0,weekly nav
105,2017-10-08,ATCSLGF,Weekly NAV,0,0,1,weekly nav
106,2017-10-02,ATCSLGF,Weekly NAV,0,0,1,weekly nav
107,2017-09-24,ATCSLGF,Weekly NAV,0,0,0,weekly nav
108,2017-09-17,ATCSLGF,Weekly NAV,0,0,0,weekly nav
109,2017-09-12,ATCSLGF,Dividend Disbursement,1,0,1,dividend disbursement
110,2017-09-10,ATCSLGF,Weekly NAV,1,0,1,weekly nav
111,2017-09-04,ATCSLGF,Weekly NAV,0,0,0,weekly nav
112,2017-08-27,ATCSLGF,Weekly NAV,0,1,0,weekly nav
113,2017-08-24,ATCSLGF,Resumption after Record Date,0,0,0,resumption after record date
115,2017-08-24,ATCSLGF,Furnishing e-TIN Number and Information for Margin Account Holders,0,0,0,furnishing e-tin number and information for margin account holders
116,2017-08-23,ATCSLGF,Suspension for Record Date,0,0,0,suspension for record date
117,2017-08-21,ATCSLGF,Spot News,1,0,0,spot news
118,2017-08-20,ATCSLGF,Weekly NAV,0,1,0,weekly nav
119,2017-08-13,ATCSLGF,Weekly NAV,0,0,0,weekly nav
