,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,ATLASBANG,Q3 Financials,1,0,0,q3 financials
1,2019-04-28,ATLASBANG,MOU signed with Brac Bank to facilitate motorcycle purchase with EMI,0,1,0,mou signed with brac bank to facilitate motorcycle purchase with emi
2,2019-04-21,ATLASBANG,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-02-12,ATLASBANG,Signing a permanent Business Technical assistance agreement with TVSAB,0,0,0,signing a permanent business technical assistance agreement with tvsab
6,2019-01-30,ATLASBANG,Q2 Financials,0,1,0,q2 financials
7,2019-01-23,ATLASBANG,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
8,2019-01-14,ATLASBANG,Dividend Disbursement,0,0,0,dividend disbursement
9,2018-11-26,ATLASBANG,Resumption after record date,0,0,0,resumption after record date
10,2018-11-25,ATLASBANG,Suspension for Record date,1,0,0,suspension for record date
11,2018-11-20,ATLASBANG,Spot News,1,0,1,spot news
12,2018-11-06,ATLASBANG,Q1 Financials,0,0,1,q1 financials
13,2018-11-06,ATLASBANG,Price Limit Open,0,0,1,price limit open
14,2018-11-06,ATLASBANG,Dividend Declaration,0,0,1,dividend declaration
15,2018-10-25,ATLASBANG,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
16,2018-10-25,ATLASBANG,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
17,2018-06-24,ATLASBANG,Query Response,0,0,0,query response
19,2018-05-24,ATLASBANG,MOU signed of the company with TVS Auto Bangladesh Limited,1,0,0,mou signed of the company with tvs auto bangladesh limited
20,2018-04-26,ATLASBANG,Q3 Financials,1,0,0,q3 financials
21,2018-04-23,ATLASBANG,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
22,2018-01-30,ATLASBANG,Q2 Financials,0,0,1,q2 financials
23,2018-01-25,ATLASBANG,Dividend Disbursement,0,0,0,dividend disbursement
24,2018-01-24,ATLASBANG,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
28,2017-12-18,ATLASBANG,Emphasis of Matter,1,0,1,emphasis of matter
