,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,AZIZPIPES,Q3 Financials,0,0,0,q3 financials
1,2019-04-21,AZIZPIPES,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
3,2019-01-27,AZIZPIPES,Q2 Financials,0,1,0,q2 financials
4,2019-01-20,AZIZPIPES,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
5,2018-12-17,AZIZPIPES,Dividend Disbursement,0,1,1,dividend disbursement
6,2018-11-18,AZIZPIPES,Resumption after record date,0,1,0,resumption after record date
7,2018-11-18,AZIZPIPES,Resumption after record date,0,1,0,resumption after record date
8,2018-11-15,AZIZPIPES,Suspension for Record Date,1,0,0,suspension for record date
9,2018-11-13,AZIZPIPES,Spot News,1,0,1,spot news
10,2018-10-29,AZIZPIPES,Decision to purchase a 500 KVA Generator,0,0,0,decision to purchase a 500 kva generator
11,2018-10-29,AZIZPIPES,Q1 Financials,0,0,0,q1 financials
12,2018-10-29,AZIZPIPES,Price Limit Open,0,0,0,price limit open
13,2018-10-29,AZIZPIPES,Dividend Declaration,0,0,0,dividend declaration
14,2018-10-18,AZIZPIPES,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
15,2018-10-18,AZIZPIPES,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
16,2018-10-02,AZIZPIPES,Query Response,0,0,1,query response
17,2018-08-19,AZIZPIPES,Placing the shares in compulsory Spot Market as per BSEC Order,0,0,0,placing the shares in compulsory spot market as per bsec order
18,2018-07-30,AZIZPIPES,Commencement of commercial production with the new installed machine,1,0,1,commencement of commercial production with the new installed machine
19,2018-07-09,AZIZPIPES,Commencement of trial production with the new installed machinery,1,1,0,commencement of trial production with the new installed machinery
20,2018-07-05,AZIZPIPES,Query Response (Repeat News),0,0,0,query response repeat news
21,2018-07-02,AZIZPIPES,Query Response,1,0,1,query response
22,2018-06-11,AZIZPIPES,Query Response,0,1,0,query response
23,2018-06-03,AZIZPIPES,Re-valuation of Land and Land Development,1,1,0,re-valuation of land and land development
24,2018-04-30,AZIZPIPES,Q3 Financials,0,0,0,q3 financials
25,2018-04-22,AZIZPIPES,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
26,2018-01-28,AZIZPIPES,Q2 Financials,0,0,0,q2 financials
27,2018-01-18,AZIZPIPES,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
28,2018-01-09,AZIZPIPES,Prohibition on providing loan facilities to purchase securities,1,0,0,prohibition on providing loan facilities to purchase securities
29,2018-01-09,AZIZPIPES,Category Change,1,0,0,category change
30,2018-01-02,AZIZPIPES,Dividend Disbursement,1,0,1,dividend disbursement
31,2017-11-23,AZIZPIPES,Resumption after record date,0,0,0,resumption after record date
32,2017-11-22,AZIZPIPES,Suspension for record date,1,0,0,suspension for record date
33,2017-11-09,AZIZPIPES,Spot News (Correction),0,0,0,spot news correction
34,2017-11-09,AZIZPIPES,Spot News,0,0,0,spot news
35,2017-11-08,AZIZPIPES,To purchase a new Production Line from India as part of BMRE,0,0,0,to purchase a new production line from india as part of bmre
36,2017-10-29,AZIZPIPES,Q1 Financials,0,0,0,q1 financials
37,2017-10-29,AZIZPIPES,Price Limit Open,0,0,0,price limit open
38,2017-10-29,AZIZPIPES,Dividend Declaration,0,0,0,dividend declaration
39,2017-10-17,AZIZPIPES,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
40,2017-10-17,AZIZPIPES,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
41,2017-07-25,AZIZPIPES,Enquiry Committee formed by BSEC,1,1,1,enquiry committee formed by bsec
42,2017-06-22,AZIZPIPES,Query Response,1,0,0,query response
43,2017-04-27,AZIZPIPES,Appointment of Chairman,0,0,0,appointment of chairman
44,2017-04-27,AZIZPIPES,Q3 Financials,0,0,0,q3 financials
45,2017-04-23,AZIZPIPES,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
46,2017-01-19,AZIZPIPES,Q2 Financials,0,0,0,q2 financials
