,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,BANGAS,Reschedule of Board Meeting under LR 16(1),1,0,0,reschedule of board meeting under lr 161
1,2019-04-29,BANGAS,Sale Declaration of a Sponsor Director,0,1,0,sale declaration of a sponsor director
2,2019-04-24,BANGAS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
3,2019-04-10,BANGAS,Sale Confirmation of a Sponsor Director,0,1,0,sale confirmation of a sponsor director
4,2019-03-19,BANGAS,Sale Confirmation of a Sponsor Director,1,0,1,sale confirmation of a sponsor director
5,2019-03-10,BANGAS,Sale Declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
6,2019-03-04,BANGAS,Sale Declaration of a Sponsor Director,0,0,1,sale declaration of a sponsor director
7,2019-02-10,BANGAS,Sale Confirmation of Sponsors Directors,1,0,0,sale confirmation of sponsors directors
8,2019-01-31,BANGAS,Q2 Financials,0,0,0,q2 financials
9,2019-01-29,BANGAS,Sale Declaration of a Sponsor,0,1,0,sale declaration of a sponsor
10,2019-01-29,BANGAS,Sale Declarations of Sponsors Directors,0,1,0,sale declarations of sponsors directors
11,2019-01-27,BANGAS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
12,2019-01-02,BANGAS,Prohibition on providing loan facilities to purchase securities,1,1,0,prohibition on providing loan facilities to purchase securities
13,2019-01-02,BANGAS,Category Change,1,1,0,category change
14,2018-12-27,BANGAS,Dividend Disbursement,0,0,0,dividend disbursement
15,2018-11-25,BANGAS,Resumption after record date,0,0,1,resumption after record date
16,2018-11-22,BANGAS,Suspension for Record date,0,0,0,suspension for record date
17,2018-11-15,BANGAS,Date Change of AGM,0,0,0,date change of agm
18,2018-11-15,BANGAS,Q1 Financials,0,0,0,q1 financials
19,2018-11-11,BANGAS,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
20,2018-11-08,BANGAS,Spot News,0,0,0,spot news
21,2018-11-04,BANGAS,Price Limit Open,0,0,1,price limit open
22,2018-11-04,BANGAS,Dividend Declaration,0,0,1,dividend declaration
23,2018-10-28,BANGAS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
24,2018-08-08,BANGAS,Query Response,0,1,0,query response
25,2018-05-30,BANGAS,Credit Rating Result,1,1,0,credit rating result
26,2018-05-09,BANGAS,Q3 Financials,0,0,0,q3 financials
27,2018-04-30,BANGAS,Reschedule of Board Meeting under LR 16(1),1,0,0,reschedule of board meeting under lr 161
28,2018-04-24,BANGAS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
29,2018-01-31,BANGAS,Q2 Financials,0,1,0,q2 financials
30,2018-01-25,BANGAS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
31,2018-01-02,BANGAS,Query Response,1,0,1,query response
32,2017-12-18,BANGAS,Q1 Financials,1,1,0,q1 financials
33,2017-12-14,BANGAS,Resumption after record date,0,0,0,resumption after record date
34,2017-12-13,BANGAS,Suspension for Record Date,0,0,0,suspension for record date
35,2017-12-12,BANGAS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
36,2017-12-05,BANGAS,Termination of the 'Land Lease Agreement',0,1,1,termination of the 'land lease agreement'
37,2017-11-30,BANGAS,Spot News,1,0,0,spot news
38,2017-11-26,BANGAS,Price Limit Open,1,0,1,price limit open
39,2017-11-26,BANGAS,Dividend Declaration,1,0,1,dividend declaration
40,2017-11-19,BANGAS,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
41,2017-10-03,BANGAS,Appointment of Chairman & Managing Director,0,1,1,appointment of chairman  managing director
42,2017-07-09,BANGAS,Query Response,1,0,0,query response
43,2017-04-30,BANGAS,Q3 Financials,0,0,0,q3 financials
44,2017-04-24,BANGAS,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
45,2017-01-30,BANGAS,Q2 Financials,0,1,1,q2 financials
46,2017-01-24,BANGAS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
47,2016-12-14,BANGAS,Transmission Completion of Deceased Sponsor's shares to her successor,0,0,0,transmission completion of deceased sponsor's shares to her successor
48,2016-12-05,BANGAS,Resumption after record date,0,0,0,resumption after record date
49,2016-12-05,BANGAS,Withdrawal of Rights Issue proposal,0,0,0,withdrawal of rights issue proposal
50,2016-12-04,BANGAS,Suspension for Record Date,0,0,0,suspension for record date
