,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,BANKASIA,Q1 Financials,1,0,0,q1 financials
1,2019-04-24,BANKASIA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-04-16,BANKASIA,Buy Confirmation of a Sponsor Director,1,1,1,buy confirmation of a sponsor director
3,2019-04-15,BANKASIA,Resumption after record date,0,1,1,resumption after record date
4,2019-04-11,BANKASIA,Suspension for Record Date,0,0,0,suspension for record date
6,2019-04-09,BANKASIA,Updating information,1,0,0,updating information
7,2019-04-09,BANKASIA,Spot News,1,0,0,spot news
8,2019-04-03,BANKASIA,Buy Declaration of a Sponsor Director,0,0,0,buy declaration of a sponsor director
9,2019-04-02,BANKASIA,Buy Declaration of a Sponsor Director,1,0,0,buy declaration of a sponsor director
10,2019-03-27,BANKASIA,Buy Declaration of a Sponsor Director,0,0,0,buy declaration of a sponsor director
11,2019-03-24,BANKASIA,Price Limit Open,0,1,0,price limit open
12,2019-03-24,BANKASIA,Dividend Declaration,0,1,0,dividend declaration
13,2019-03-12,BANKASIA,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
14,2018-11-04,BANKASIA,Confirmation of share transfer by a Sponsor Director,1,0,0,confirmation of share transfer by a sponsor director
15,2018-11-04,BANKASIA,Confirmation of share transfer by a Sponsor,1,0,0,confirmation of share transfer by a sponsor
16,2018-11-01,BANKASIA,Confirmation of receipt by a Sponsor,0,0,0,confirmation of receipt by a sponsor
17,2018-10-31,BANKASIA,Declaration of share receipt by a Sponsor,0,0,0,declaration of share receipt by a sponsor
18,2018-10-24,BANKASIA,Declaration of share transfer by a Sponsor Director,1,1,0,declaration of share transfer by a sponsor director
19,2018-10-24,BANKASIA,Declaration of share transfer by a Sponsor,1,1,0,declaration of share transfer by a sponsor
20,2018-10-18,BANKASIA,Issuing of 7 years Non-Convertable Subordinated Bond,1,0,0,issuing of 7 years non-convertable subordinated bond
21,2018-10-18,BANKASIA,Q3 Financials,1,0,0,q3 financials
22,2018-10-14,BANKASIA,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
23,2018-07-31,BANKASIA,Q2 Financials,0,1,1,q2 financials
24,2018-07-24,BANKASIA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
25,2018-07-02,BANKASIA,Buy confirmation of a Sponsor,0,0,1,buy confirmation of a sponsor
26,2018-06-27,BANKASIA,Credit Rating Result,1,0,0,credit rating result
27,2018-06-27,BANKASIA,Buy Declaration of a Sponsor,1,0,0,buy declaration of a sponsor
28,2018-05-23,BANKASIA,Dividend Disbursement,0,1,0,dividend disbursement
29,2018-05-14,BANKASIA,Sale Confirmation of a Nominated Director,0,0,0,sale confirmation of a nominated director
30,2018-05-06,BANKASIA,Sale declaration of a Nominated Director,1,0,0,sale declaration of a nominated director
31,2018-05-03,BANKASIA,Q1 Financials,0,0,0,q1 financials
32,2018-04-26,BANKASIA,Resumption after record date,0,0,0,resumption after record date
33,2018-04-25,BANKASIA,Suspension for Record Date,1,0,0,suspension for record date
34,2018-04-25,BANKASIA,Venue of the AGM,1,0,0,venue of the agm
35,2018-04-24,BANKASIA,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
36,2018-04-23,BANKASIA,Spot News,1,1,1,spot news
37,2018-04-09,BANKASIA,Price Limit Open,1,0,0,price limit open
38,2018-04-09,BANKASIA,Dividend Declaration,1,0,0,dividend declaration
39,2018-04-01,BANKASIA,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
41,2018-02-28,BANKASIA,"Draft prospectus approved by BSEC for ""UFS Bank Asia Unit Fund""",1,1,0,draft prospectus approved by bsec for ufs bank asia unit fund
42,2017-10-30,BANKASIA,Q3 Financials,1,0,1,q3 financials
43,2017-10-24,BANKASIA,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
44,2017-07-30,BANKASIA,Q2 Financials,0,1,1,q2 financials
45,2017-07-24,BANKASIA,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
46,2017-07-13,BANKASIA,Dividend Disbursement,1,0,0,dividend disbursement
47,2017-07-02,BANKASIA,Buy confirmation of a Sponsor,0,1,1,buy confirmation of a sponsor
48,2017-06-22,BANKASIA,Credit Rating Result,1,0,0,credit rating result
49,2017-06-22,BANKASIA,Floor Space purchase,1,0,0,floor space purchase
50,2017-06-22,BANKASIA,Floor Space purchase,1,0,0,floor space purchase
51,2017-06-21,BANKASIA,Buy Declaration of a Sponsor,0,1,0,buy declaration of a sponsor
52,2017-06-13,BANKASIA,Buy confirmation of a Corporate Director,0,0,0,buy confirmation of a corporate director
53,2017-06-08,BANKASIA,Buy confirmation of a Corporate Director,0,0,0,buy confirmation of a corporate director
54,2017-06-08,BANKASIA,Buy declaration of a Corporate Director,0,0,0,buy declaration of a corporate director
55,2017-06-05,BANKASIA,Buy declaration of a Corporate Director,1,0,1,buy declaration of a corporate director
56,2017-05-24,BANKASIA,Buy confirmation of a Corporate Director,0,1,0,buy confirmation of a corporate director
57,2017-05-22,BANKASIA,Confirmation of transfer by a Sponsor,1,0,0,confirmation of transfer by a sponsor
58,2017-05-18,BANKASIA,Resumption after Record Date,0,0,0,resumption after record date
59,2017-05-18,BANKASIA,Declaration of transfer by a Sponsor,0,0,0,declaration of transfer by a sponsor
60,2017-05-17,BANKASIA,Buy confirmation of a Corporate Director,0,0,0,buy confirmation of a corporate director
61,2017-05-17,BANKASIA,Suspension for Record Date,0,0,0,suspension for record date
62,2017-05-16,BANKASIA,Buy declaration of a Corporate Director,0,0,0,buy declaration of a corporate director
63,2017-05-15,BANKASIA,Spot News,0,0,0,spot news
64,2017-05-14,BANKASIA,Buy declaration of a Corporate Director,0,0,0,buy declaration of a corporate director
65,2017-05-09,BANKASIA,Buy confirmation of a Corporate Director,1,0,0,buy confirmation of a corporate director
66,2017-05-04,BANKASIA,Buy declaration of a Corporate Director,0,0,0,buy declaration of a corporate director
67,2017-05-03,BANKASIA,Buy confirmation of a Corporate Director,0,0,0,buy confirmation of a corporate director
68,2017-04-30,BANKASIA,Buy declaration of a Corporate Director,0,0,0,buy declaration of a corporate director
69,2017-04-30,BANKASIA,Q1 Financials,0,0,0,q1 financials
70,2017-04-27,BANKASIA,Confirmation of transfer by a Sponsor,1,0,0,confirmation of transfer by a sponsor
71,2017-04-26,BANKASIA,Declaration of transfer by a Sponsor,1,1,0,declaration of transfer by a sponsor
72,2017-04-24,BANKASIA,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
73,2017-04-17,BANKASIA,Price Limit Open,0,0,0,price limit open
74,2017-04-17,BANKASIA,Dividend Declaration,0,0,0,dividend declaration
75,2017-04-09,BANKASIA,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
76,2016-12-21,BANKASIA,Consent from BSEC for issuance,1,1,0,consent from bsec for issuance
77,2016-11-02,BANKASIA,Buy Confirmation,1,1,0,buy confirmation
78,2016-11-02,BANKASIA,Buy Confirmation,1,1,0,buy confirmation
79,2016-10-31,BANKASIA,Buy Declaration,0,1,1,buy declaration
80,2016-10-31,BANKASIA,Q3 Financials,0,1,1,q3 financials
81,2016-10-27,BANKASIA,Buy Declaration of a Corporate Director,1,0,0,buy declaration of a corporate director
82,2016-10-24,BANKASIA,Buy Declaration of a Corporate Director,1,0,1,buy declaration of a corporate director
83,2016-10-24,BANKASIA,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
84,2016-10-24,BANKASIA,Buy Confirmation of a Corporate Director,1,0,1,buy confirmation of a corporate director
85,2016-10-19,BANKASIA,Buy Declaration of a Corporate Director,0,1,0,buy declaration of a corporate director
86,2016-08-31,BANKASIA,Buy Confirmation of a Sponsor,1,1,0,buy confirmation of a sponsor
87,2016-08-09,BANKASIA,Appointment of Managing Director,0,1,1,appointment of managing director
88,2016-08-02,BANKASIA,Buy Declaration,1,0,1,buy declaration
89,2016-07-31,BANKASIA,Buy Confirmation,0,0,1,buy confirmation
90,2016-07-27,BANKASIA,Q2 Financials,0,0,0,q2 financials
