,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,BARKAPOWER,Q3 Financials,0,1,0,q3 financials
1,2019-04-23,BARKAPOWER,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
2,2019-01-29,BARKAPOWER,Q2 Financials,0,1,0,q2 financials
3,2019-01-22,BARKAPOWER,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
4,2019-01-15,BARKAPOWER,Credit Rating Result,0,0,0,credit rating result
5,2019-01-03,BARKAPOWER,Dividend Disbursement,0,0,0,dividend disbursement
6,2018-11-19,BARKAPOWER,Resumption after record date,0,1,0,resumption after record date
7,2018-11-19,BARKAPOWER,New Date and Venue of the AGM,0,1,0,new date and venue of the agm
8,2018-11-18,BARKAPOWER,Suspension for Record date,1,0,1,suspension for record date
9,2018-11-14,BARKAPOWER,Spot News,1,1,0,spot news
10,2018-11-14,BARKAPOWER,Q1 Financials,1,1,0,q1 financials
11,2018-11-07,BARKAPOWER,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
12,2018-10-28,BARKAPOWER,Price Limit Open,1,0,0,price limit open
13,2018-10-28,BARKAPOWER,Dividend Declaration,1,0,0,dividend declaration
14,2018-10-15,BARKAPOWER,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
15,2018-10-07,BARKAPOWER,Elected Chairman and Appointed Managing Director,0,0,1,elected chairman and appointed managing director
18,2018-08-20,BARKAPOWER,Signing of PPA with BPDB and IA with the GOB by Baraka Shikalbaha,1,0,0,signing of ppa with bpdb and ia with the gob by baraka shikalbaha
21,2018-06-05,BARKAPOWER,Decline of issuance of preference shares by the BSEC,1,1,0,decline of issuance of preference shares by the bsec
22,2018-05-03,BARKAPOWER,Q3 Financials,0,0,0,q3 financials
23,2018-04-23,BARKAPOWER,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
25,2018-03-27,BARKAPOWER,Agreements signed by the company to act as EPC contractor,0,0,1,agreements signed by the company to act as epc contractor
