,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,BATASHOE,Reason for significant deviation in NOCFPS in the audited disclosure,0,0,0,reason for significant deviation in nocfps in the audited disclosure
1,2019-04-28,BATASHOE,Q1 Financials,0,0,0,q1 financials
2,2019-04-28,BATASHOE,Price Limit Open,0,0,0,price limit open
4,2019-04-28,BATASHOE,Dividend Declaration,0,0,0,dividend declaration
5,2019-04-16,BATASHOE,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
6,2019-04-16,BATASHOE,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
7,2019-01-08,BATASHOE,Interim Dividend Disbursement,0,1,0,interim dividend disbursement
8,2018-12-11,BATASHOE,Resumption after record date,0,1,0,resumption after record date
10,2018-12-11,BATASHOE,Updating information,0,1,0,updating information
11,2018-12-10,BATASHOE,Suspension for Record date,1,0,1,suspension for record date
12,2018-12-06,BATASHOE,Spot for Interim dividend entitlement,0,0,0,spot for interim dividend entitlement
13,2018-11-20,BATASHOE,Price Limit Open,0,0,1,price limit open
14,2018-11-20,BATASHOE,Interim Dividend Declaration,0,0,1,interim dividend declaration
15,2018-11-13,BATASHOE,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
16,2018-10-28,BATASHOE,Q3 Financials,0,1,0,q3 financials
17,2018-10-21,BATASHOE,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
18,2018-07-29,BATASHOE,Q2 Financials,0,0,1,q2 financials
19,2018-07-19,BATASHOE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
20,2018-07-18,BATASHOE,Dividend Disbursement,1,0,0,dividend disbursement
21,2018-06-04,BATASHOE,Credit Rating Result,0,1,0,credit rating result
23,2018-05-24,BATASHOE,Updating information,1,0,0,updating information
24,2018-05-23,BATASHOE,Resumption after record date,0,1,0,resumption after record date
25,2018-05-22,BATASHOE,Suspension for Record Date,0,0,1,suspension for record date
26,2018-05-20,BATASHOE,Spot News,1,1,0,spot news
27,2018-04-30,BATASHOE,Q1 Financials,0,0,0,q1 financials
28,2018-04-30,BATASHOE,Price Limit Open,0,0,0,price limit open
30,2018-04-30,BATASHOE,Dividend Declaration,0,0,0,dividend declaration
31,2018-04-18,BATASHOE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
32,2018-04-18,BATASHOE,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
33,2017-12-24,BATASHOE,Interim Dividend Disbursement,1,0,1,interim dividend disbursement
34,2017-12-07,BATASHOE,Resumption after record date,0,0,0,resumption after record date
35,2017-12-07,BATASHOE,Information for Merchant Banks/Brokerage houses regarding Margin Loan,0,0,0,information for merchant banksbrokerage houses regarding margin loan
36,2017-12-06,BATASHOE,Suspension for Record Date,0,0,0,suspension for record date
37,2017-12-04,BATASHOE,Spot for interim dividend entitlement,1,1,0,spot for interim dividend entitlement
38,2017-11-19,BATASHOE,Price Limit Open,0,0,1,price limit open
39,2017-11-19,BATASHOE,Interim Dividend Declaration,0,0,1,interim dividend declaration
40,2017-11-12,BATASHOE,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
41,2017-10-31,BATASHOE,Q3 Financials,1,1,0,q3 financials
42,2017-10-24,BATASHOE,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
43,2017-07-30,BATASHOE,Q2 Financials,0,1,1,q2 financials
44,2017-07-24,BATASHOE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
45,2017-07-19,BATASHOE,Dividend Disbursement,1,0,0,dividend disbursement
46,2017-06-11,BATASHOE,Credit Rating Result,0,1,0,credit rating result
47,2017-05-23,BATASHOE,Information for Margin Account Holders,1,0,1,information for margin account holders
48,2017-05-22,BATASHOE,Resumption after Record Date,0,1,0,resumption after record date
49,2017-05-21,BATASHOE,Suspension for Record Date,1,0,1,suspension for record date
50,2017-05-17,BATASHOE,Spot News,0,0,0,spot news
51,2017-04-27,BATASHOE,Updating e-TIN information,1,0,0,updating e-tin information
52,2017-04-27,BATASHOE,Q1 Financials,1,0,0,q1 financials
53,2017-04-27,BATASHOE,Price Limit Open,1,0,0,price limit open
55,2017-04-27,BATASHOE,Dividend Declaration,1,0,0,dividend declaration
56,2017-04-19,BATASHOE,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
57,2017-04-19,BATASHOE,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
58,2016-12-29,BATASHOE, Interim Dividend Disbursement,0,0,0,interim dividend disbursement
59,2016-12-18,BATASHOE,Resumption after record date,0,0,0,resumption after record date
60,2016-12-18,BATASHOE,Information for Merchant Banks,0,0,0,information for merchant banks
61,2016-12-15,BATASHOE,Suspension for Record Date,0,0,0,suspension for record date
62,2016-12-12,BATASHOE,Spot for Interim dividend entitlement,1,0,0,spot for interim dividend entitlement
63,2016-11-24,BATASHOE,Price Limit Open,0,0,0,price limit open
64,2016-11-24,BATASHOE,Interim Dividend Declaration,0,0,0,interim dividend declaration
65,2016-11-20,BATASHOE,Board Meeting schedule under LR 16(1) (Additional Information),0,0,0,board meeting schedule under lr 161 additional information
66,2016-11-20,BATASHOE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
67,2016-10-30,BATASHOE,Q3 Financials,1,0,0,q3 financials
68,2016-10-24,BATASHOE,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
69,2016-08-21,BATASHOE,Resumption after record date,0,0,0,resumption after record date
70,2016-08-18,BATASHOE,Suspension news for record date,0,0,0,suspension news for record date
71,2016-08-16,BATASHOE,Spot for AGM,0,1,0,spot for agm
72,2016-07-31,BATASHOE,Price Limit Open,0,0,1,price limit open
73,2016-07-31,BATASHOE,Dividend Declaration and Re-fixation,0,0,1,dividend declaration and re-fixation
74,2016-07-31,BATASHOE,Q2 Financials,0,0,1,q2 financials
75,2016-07-19,BATASHOE,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
76,2016-06-28,BATASHOE,Interim Dividend Disbursement,1,1,1,interim dividend disbursement
77,2016-05-26,BATASHOE,Credit Rating,0,0,0,credit rating
78,2016-05-26,BATASHOE,Information for Brokerage,0,0,0,information for brokerage
79,2016-05-24,BATASHOE,Resumption after Record date,0,0,0,resumption after record date
80,2016-05-22,BATASHOE,Suspension news for record date,0,0,0,suspension news for record date
81,2016-05-22,BATASHOE,Postponement of AGM,0,0,0,postponement of agm
82,2016-05-18,BATASHOE,Spot News,0,0,0,spot news
83,2016-05-02,BATASHOE,Price Limit Open,0,0,1,price limit open
84,2016-05-02,BATASHOE,Dividend Declaration,0,0,1,dividend declaration
