,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-01-17,BAYLEASING,Query Response,1,0,0,query response
1,2018-10-31,BAYLEASING,Q3 Financials,0,0,0,q3 financials
2,2018-10-24,BAYLEASING,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
3,2018-08-06,BAYLEASING,Confirmation of share receipt by a Sponsor,0,1,0,confirmation of share receipt by a sponsor
4,2018-07-29,BAYLEASING,Q2 Financials,0,1,1,q2 financials
5,2018-07-24,BAYLEASING,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
6,2018-07-18,BAYLEASING,Declaration of share receipt by a Sponsor,0,0,0,declaration of share receipt by a sponsor
7,2018-06-10,BAYLEASING,Dividend Disbursement,0,0,0,dividend disbursement
8,2018-05-28,BAYLEASING,Board approval to sell 446.80 decimal out of 495 decimal land,1,0,0,board approval to sell 446.80 decimal out of 495 decimal land
9,2018-05-24,BAYLEASING,Dividend Disbursement,0,0,0,dividend disbursement
10,2018-05-13,BAYLEASING,Q1 Financials,0,1,0,q1 financials
11,2018-05-09,BAYLEASING,Credit Rating Result,0,0,0,credit rating result
12,2018-05-07,BAYLEASING,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
13,2018-05-06,BAYLEASING,Updating information,0,0,0,updating information
14,2018-05-03,BAYLEASING,Credit Rating Result,1,0,0,credit rating result
15,2018-04-30,BAYLEASING,Resumption after record date,0,0,0,resumption after record date
16,2018-04-26,BAYLEASING,Suspension for Record Date,1,0,0,suspension for record date
17,2018-04-24,BAYLEASING,Spot News,0,1,1,spot news
18,2018-04-15,BAYLEASING,Board decision to sell 495 decimal land,0,0,0,board decision to sell 495 decimal land
19,2018-04-08,BAYLEASING,Price Limit Open,1,0,0,price limit open
21,2018-04-08,BAYLEASING,Dividend Declaration,1,0,0,dividend declaration
22,2018-03-28,BAYLEASING,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
23,2017-10-29,BAYLEASING,Q3 Financials,0,0,1,q3 financials
24,2017-10-22,BAYLEASING,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
25,2017-07-30,BAYLEASING,Q2 Financials,0,1,0,q2 financials
26,2017-07-24,BAYLEASING,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
27,2017-07-05,BAYLEASING,Dividend Disbursement,1,0,0,dividend disbursement
28,2017-06-04,BAYLEASING,Updating information,0,1,0,updating information
29,2017-05-31,BAYLEASING,Resumption after Record Date,0,0,0,resumption after record date
30,2017-05-30,BAYLEASING,Suspension for Record Date,1,0,0,suspension for record date
31,2017-05-28,BAYLEASING,Spot News,0,0,1,spot news
32,2017-05-14,BAYLEASING,Q1 Financials,0,0,1,q1 financials
33,2017-05-09,BAYLEASING,Price Limit Open,0,0,0,price limit open
35,2017-05-09,BAYLEASING,Dividend Declaration,0,0,0,dividend declaration
36,2017-05-04,BAYLEASING,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
37,2017-04-30,BAYLEASING,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
38,2017-01-25,BAYLEASING,Query Response,0,0,0,query response
39,2016-11-01,BAYLEASING,Confirmation of sale by a Sponsor,0,1,1,confirmation of sale by a sponsor
40,2016-10-27,BAYLEASING,Declaration of sale by a Sponsor,0,0,0,declaration of sale by a sponsor
41,2016-10-26,BAYLEASING,Declaration of sale of entire holding by the Sponsors,0,0,0,declaration of sale of entire holding by the sponsors
42,2016-10-26,BAYLEASING,Q3 Financials (Revised),0,0,0,q3 financials revised
43,2016-10-26,BAYLEASING,Q3 Financials,0,0,0,q3 financials
44,2016-10-23,BAYLEASING,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
45,2016-07-31,BAYLEASING,Q2 Financials,1,1,1,q2 financials
46,2016-07-27,BAYLEASING,Buy Confirmation of a Sponsor,0,0,0,buy confirmation of a sponsor
47,2016-07-25,BAYLEASING,Board Meeting,0,0,0,board meeting
48,2016-06-29,BAYLEASING,Buy Declaration of a Sponsor,1,0,0,buy declaration of a sponsor
49,2016-06-23,BAYLEASING,Dividend Disbursement (Revised Information),0,0,0,dividend disbursement revised information
50,2016-06-22,BAYLEASING,Dividend Disbursement,0,0,0,dividend disbursement
51,2016-05-12,BAYLEASING,Resumption after Record date,0,0,0,resumption after record date
52,2016-05-11,BAYLEASING,Suspension for Record date,1,0,0,suspension for record date
53,2016-05-09,BAYLEASING,Spot News for AGM,0,1,1,spot news for agm
54,2016-05-08,BAYLEASING,Q1,0,0,1,q1
55,2016-05-02,BAYLEASING,Board Meeting,1,1,0,board meeting
56,2016-04-21,BAYLEASING,Price Limit Open,0,0,0,price limit open
57,2016-04-21,BAYLEASING,Dividend Declaration,0,0,0,dividend declaration
58,2016-04-21,BAYLEASING,Price Limit Open,0,0,0,price limit open
