,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,BBSCABLES,Q3 Financials,0,0,0,q3 financials
1,2019-04-16,BBSCABLES,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
2,2019-01-29,BBSCABLES,Q2 Financials,0,0,0,q2 financials
3,2019-01-27,BBSCABLES,Agreement signing for supply of AAC ANT Insulated Conductor,0,0,0,agreement signing for supply of aac ant insulated conductor
4,2019-01-27,BBSCABLES,Land Purchase,0,0,0,land purchase
5,2019-01-22,BBSCABLES,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
6,2019-01-21,BBSCABLES,Received Notification of Award from DPDC,1,0,0,received notification of award from dpdc
7,2019-01-21,BBSCABLES,Purchase Commercial Space,1,0,0,purchase commercial space
8,2019-01-20,BBSCABLES,Cash Dividend Disbursement,0,1,0,cash dividend disbursement
9,2019-01-13,BBSCABLES,Dividend Disbursement,1,0,0,dividend disbursement
10,2019-01-09,BBSCABLES,Enhancement of production capacity,1,0,0,enhancement of production capacity
12,2019-01-01,BBSCABLES,Received Notification of Award (NOA) from WZPDCL,1,1,1,received notification of award noa from wzpdcl
13,2018-12-26,BBSCABLES,Credit Rating Result,0,1,0,credit rating result
14,2018-12-02,BBSCABLES,Signing Agreement regarding confirmation of sales contract,1,0,0,signing agreement regarding confirmation of sales contract
15,2018-11-18,BBSCABLES,Resumption after record date,0,0,0,resumption after record date
16,2018-11-15,BBSCABLES,Suspension for Record Date,0,0,0,suspension for record date
17,2018-11-13,BBSCABLES,Spot News,0,0,0,spot news
18,2018-11-11,BBSCABLES,Q1 Financials,0,0,0,q1 financials
19,2018-11-05,BBSCABLES,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
20,2018-10-24,BBSCABLES,Notification of Award (NOA) Received from BPDB,1,1,0,notification of award noa received from bpdb
21,2018-10-24,BBSCABLES,Price Limit Open,1,1,0,price limit open
22,2018-10-24,BBSCABLES,Dividend Declaration,1,1,0,dividend declaration
23,2018-10-16,BBSCABLES,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
24,2018-08-14,BBSCABLES,Query Response,1,0,0,query response
26,2018-07-25,BBSCABLES,Agreement signed with BREB,0,0,0,agreement signed with breb
28,2018-06-28,BBSCABLES,Receiving Notification of Award (NOA) from BREB,0,0,0,receiving notification of award noa from breb
29,2018-06-18,BBSCABLES,Ink signed agreement with BREB,0,1,1,ink signed agreement with breb
31,2018-06-10,BBSCABLES,Receiving Notification of Award (NOA) from BREB,0,0,1,receiving notification of award noa from breb
32,2018-04-22,BBSCABLES,Q3 Financials,0,0,0,q3 financials
33,2018-04-16,BBSCABLES,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
35,2018-04-05,BBSCABLES,Sales contract confirmation of 2 NOA from BPDB,1,0,0,sales contract confirmation of 2 noa from bpdb
37,2018-03-08,BBSCABLES,Received Two Notification of Award (NOA) from BPDB,0,0,0,received two notification of award noa from bpdb
38,2018-01-24,BBSCABLES,Q2 Financials,0,0,0,q2 financials
39,2018-01-18,BBSCABLES,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
40,2018-01-17,BBSCABLES,Prohibition on providing loan facilities to purchase securities,0,1,0,prohibition on providing loan facilities to purchase securities
41,2018-01-17,BBSCABLES,Category Change,0,1,0,category change
42,2018-01-11,BBSCABLES,Dividend Disbursement,0,0,0,dividend disbursement
43,2018-01-01,BBSCABLES,Credit Rating Result,0,1,1,credit rating result
44,2017-12-24,BBSCABLES,Dividend Disbursement,0,0,0,dividend disbursement
45,2017-12-05,BBSCABLES,Agreement signed with BREB,0,0,0,agreement signed with breb
46,2017-11-16,BBSCABLES,Resumption after record date,0,0,0,resumption after record date
47,2017-11-15,BBSCABLES,Suspension for Record Date,1,0,0,suspension for record date
48,2017-11-14,BBSCABLES,Q1 Financials,0,1,0,q1 financials
49,2017-11-13,BBSCABLES,Spot News,0,0,1,spot news
51,2017-11-08,BBSCABLES,Received Notification of Award from BREB,0,0,0,received notification of award from breb
52,2017-11-07,BBSCABLES,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
53,2017-10-25,BBSCABLES,Price Limit Open,0,0,0,price limit open
54,2017-10-25,BBSCABLES,Dividend Declaration,0,0,0,dividend declaration
56,2017-10-19,BBSCABLES,Two Agreements Signed with BPDB,0,0,0,two agreements signed with bpdb
57,2017-10-16,BBSCABLES,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
59,2017-10-03,BBSCABLES,Agreement Signed with BBS Cables (unit-2) Ltd.,1,1,0,agreement signed with bbs cables unit-2 ltd.
60,2017-09-18,BBSCABLES,Address Change of Registered Office & Investors' Relation Department,0,0,0,address change of registered office  investors' relation department
61,2017-08-27,BBSCABLES,Two Agreements Signed with BREB,1,0,0,two agreements signed with breb
62,2017-08-23,BBSCABLES,Enquiry Committee formed by BSEC (Repeat),0,1,0,enquiry committee formed by bsec repeat
63,2017-08-23,BBSCABLES,Query Response,0,1,0,query response
64,2017-08-23,BBSCABLES,Query Response,0,1,0,query response
66,2017-08-23,BBSCABLES,Query Response,0,1,0,query response
67,2017-08-22,BBSCABLES,Enquiry Committee formed by BSEC,0,0,1,enquiry committee formed by bsec
68,2017-08-08,BBSCABLES,Query Response,1,1,0,query response
71,2017-07-31,BBSCABLES,Q3 Financials,1,0,1,q3 financials
72,2017-07-31,BBSCABLES,Prohibition on providing loan facilities to purchase securities,1,0,1,prohibition on providing loan facilities to purchase securities
73,2017-07-31,BBSCABLES,Trading of New Security,1,0,1,trading of new security
