,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,BBS,Q3 Financials,1,0,0,q3 financials
1,2019-04-18,BBS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-02-03,BBS,Agreement signed with TALISMAN SARTORIAL LTD.,0,1,0,agreement signed with talisman sartorial ltd.
3,2019-01-30,BBS,Q2 Financials,1,0,0,q2 financials
4,2019-01-27,BBS,Purchase of Commercial Space & Car Parking Space,1,0,0,purchase of commercial space  car parking space
5,2019-01-24,BBS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
6,2019-01-02,BBS,Dividend Disbursement,0,1,0,dividend disbursement
7,2018-12-24,BBS,Credit Rating Result,0,0,0,credit rating result
9,2018-12-02,BBS,Signing Agreement by BBSCABLES regarding confirmation of sales contract,1,0,0,signing agreement by bbscables regarding confirmation of sales contract
10,2018-11-20,BBS,Resumption after record date,0,0,1,resumption after record date
11,2018-11-19,BBS,Suspension for Record date,0,0,0,suspension for record date
12,2018-11-15,BBS,Spot News,0,0,0,spot news
13,2018-11-13,BBS,Decision to Purchase Land,0,1,0,decision to purchase land
14,2018-11-13,BBS,Q1 Financials,0,1,0,q1 financials
15,2018-11-06,BBS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
16,2018-10-25,BBS,Price Limit Open,0,0,0,price limit open
17,2018-10-25,BBS,Dividend Declaration,0,0,0,dividend declaration
19,2018-10-24,BBS,Notification of Award (NOA) Received from BPDB by BBS Cables Limited,1,0,0,notification of award noa received from bpdb by bbs cables limited
20,2018-10-17,BBS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
21,2018-08-13,BBS,Appointment of Managing Director and Chairman of the Company,1,1,0,appointment of managing director and chairman of the company
23,2018-07-25,BBS,Agreement signed by BBS Cables Limited with BREB,0,1,0,agreement signed by bbs cables limited with breb
25,2018-06-28,BBS,Receiving Notification of Award (NOA) of BBS Cables Limited from BREB,0,0,0,receiving notification of award noa of bbs cables limited from breb
26,2018-04-26,BBS,Q3 Financials,1,0,0,q3 financials
27,2018-04-22,BBS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
30,2018-04-05,BBS,Sales contract confirmation of BBSCABLES of 2 NOA from BPDB,1,0,0,sales contract confirmation of bbscables of 2 noa from bpdb
32,2018-03-08,BBS,BBS Cables Ltd. received Notification of Award from BPDB,0,0,0,bbs cables ltd. received notification of award from bpdb
33,2018-01-29,BBS,Q2 Financials,0,0,0,q2 financials
34,2018-01-22,BBS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
35,2018-01-11,BBS,Dividend Disbursement,1,0,0,dividend disbursement
36,2018-01-01,BBS,Dividend Disbursement,1,1,1,dividend disbursement
38,2017-12-05,BBS,Agreement signed with BREB,0,0,0,agreement signed with breb
39,2017-11-16,BBS,Resumption after record date,0,0,0,resumption after record date
40,2017-11-15,BBS,Suspension for Record Date,0,0,0,suspension for record date
41,2017-11-15,BBS,Q1 Financials,0,0,0,q1 financials
42,2017-11-13,BBS,Spot News,0,0,0,spot news
44,2017-11-08,BBS,BBS Cables Ltd. received Notification of Award from BREB,0,0,0,bbs cables ltd. received notification of award from breb
45,2017-11-08,BBS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
46,2017-10-26,BBS,Price Limit Open,0,0,0,price limit open
47,2017-10-26,BBS,Dividend Declaration,0,0,0,dividend declaration
48,2017-10-18,BBS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
50,2017-10-03,BBS,Agreement Signed between BBS Cables and BBS Cables (unit-2),1,1,0,agreement signed between bbs cables and bbs cables unit-2
52,2017-08-27,BBS,Two Agreements Signed with BREB,1,0,0,two agreements signed with breb
53,2017-07-31,BBS,Address Change of Investor Relation Department,0,0,0,address change of investor relation department
54,2017-05-14,BBS,Credit Rating Result,0,0,1,credit rating result
55,2017-04-25,BBS,Sale confirmation of a Sponsor Director,0,1,0,sale confirmation of a sponsor director
56,2017-04-16,BBS,Q3 Financials,0,0,0,q3 financials
57,2017-04-09,BBS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
58,2017-04-03,BBS,Sale Confirmation of two Directors,1,0,0,sale confirmation of two directors
59,2017-03-30,BBS,Sale confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
60,2017-03-14,BBS,Sale declaration of a Sponsor Director,0,1,0,sale declaration of a sponsor director
61,2017-03-14,BBS,Sale confirmation of a Director,0,1,0,sale confirmation of a director
62,2017-03-12,BBS,Sale declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
63,2017-03-02,BBS,Sale declaration,0,0,0,sale declaration
64,2017-01-30,BBS,Q2 Financials,0,1,1,q2 financials
65,2017-01-26,BBS,Reschedule of Board Meeting schedule under LR 16(1),1,0,0,reschedule of board meeting schedule under lr 161
66,2017-01-24,BBS,Cash Dividend Disbursement,0,0,1,cash dividend disbursement
67,2017-01-18,BBS,Dividend Disbursement,1,0,0,dividend disbursement
68,2016-12-21,BBS,Query Response (Repeat),1,0,0,query response repeat
69,2016-12-20,BBS,Query Response,0,1,0,query response
70,2016-12-20,BBS,Query Response,0,1,0,query response
71,2016-11-20,BBS,Spot for AGM,0,0,0,spot for agm
72,2016-11-14,BBS,Q1 Financials,0,1,1,q1 financials
73,2016-11-14,BBS,Withdrawal of Rights,0,1,1,withdrawal of rights
74,2016-11-06,BBS,Board Meeting,0,0,0,board meeting
75,2016-10-30,BBS,Price Limit Open,1,0,1,price limit open
76,2016-10-30,BBS,Dividend Declaration,1,0,1,dividend declaration
77,2016-10-25,BBS,Reschedule of Board Meeting schedule under LR 19(1),0,0,0,reschedule of board meeting schedule under lr 191
78,2016-10-18,BBS,Board Meeting,0,0,0,board meeting
79,2016-04-24,BBS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
80,2016-01-31,BBS,Address Change of Registered and Corporate Office,0,1,0,address change of registered and corporate office
81,2016-01-31,BBS,Q2 Financials,0,1,0,q2 financials
82,2016-01-26,BBS,Board Meeting,0,0,0,board meeting
83,2015-12-06,BBS,Recognition of additional production capacity,0,0,0,recognition of additional production capacity
84,2015-11-15,BBS,Q1 Financials,0,1,1,q1 financials
85,2015-11-09,BBS,Board Meeting,0,0,0,board meeting
86,2015-11-02,BBS,Dividend Disbursement,1,0,1,dividend disbursement
87,2015-10-27,BBS,Credit Rating Result,0,0,0,credit rating result
88,2015-10-18,BBS,Revised price approval for Issuance of Rights Share,0,0,1,revised price approval for issuance of rights share
89,2015-09-22,BBS,Investment in Shares of BBS Cables Ltd.,0,0,0,investment in shares of bbs cables ltd.
90,2015-09-20,BBS,Resumption News after Record Date for EGM & AGM,0,0,0,resumption news after record date for egm  agm
91,2015-09-17,BBS,Suspension News for Record Date,1,0,0,suspension news for record date
92,2015-09-15,BBS,Spot News for EGM and AGM,0,0,1,spot news for egm and agm
93,2015-08-30,BBS,Price Limit Open,0,0,0,price limit open
94,2015-08-30,BBS,"Dividend , Rights Declaration & increase of Authorized Capital",0,0,0,"dividend , rights declaration  increase of authorized capital"
95,2015-08-19,BBS,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
96,2015-04-29,BBS,Q3 Financials,0,0,0,q3 financials
97,2015-01-29,BBS,H/Y,0,0,0,hy
98,2015-01-18,BBS,signed an agreement with VIYELLATEX Group,0,0,0,signed an agreement with viyellatex group
99,2015-01-15,BBS,DSE queary,1,0,0,dse queary
100,2014-11-23,BBS,cash dividend credited,0,0,0,cash dividend credited
101,2014-11-23,BBS,company news,0,0,0,company news
102,2014-11-16,BBS,Q1,0,0,0,q1
103,2014-11-12,BBS,right offer decline.,1,1,0,right offer decline.
104,2014-10-29,BBS,credited the bonus shares,1,1,0,credited the bonus shares
105,2014-10-21,BBS,Credit Rating,0,0,0,credit rating
