,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,BDAUTOCA,Q3 Financials,0,0,0,q3 financials
1,2019-04-24,BDAUTOCA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-02-05,BDAUTOCA,Sale Confirmations of a Sponsor Director,1,0,1,sale confirmations of a sponsor director
4,2019-01-31,BDAUTOCA,Q2 Financials,0,0,0,q2 financials
5,2019-01-24,BDAUTOCA,Sale Declaration of a Sponsor Director,1,0,0,sale declaration of a sponsor director
6,2019-01-24,BDAUTOCA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
7,2019-01-23,BDAUTOCA,Placing the shares in Public Market from Spot Market as per BSEC Order,0,1,0,placing the shares in public market from spot market as per bsec order
8,2019-01-23,BDAUTOCA,Placing the shares in Public Market from Spot Market as per BSEC Order,0,1,0,placing the shares in public market from spot market as per bsec order
9,2019-01-20,BDAUTOCA,Sale Declaration of a Sponsor Director,0,0,1,sale declaration of a sponsor director
10,2019-01-03,BDAUTOCA,Prohibition on providing loan facilities to purchase securities,1,0,0,prohibition on providing loan facilities to purchase securities
11,2019-01-03,BDAUTOCA,Category Change,1,0,0,category change
12,2019-01-03,BDAUTOCA,Dividend Disbursement,1,0,0,dividend disbursement
13,2018-12-27,BDAUTOCA,Query Response,0,0,0,query response
14,2018-11-14,BDAUTOCA,Q1 Financials,0,0,0,q1 financials
15,2018-11-12,BDAUTOCA,Sale Confirmation of a Sponsor Director,0,1,0,sale confirmation of a sponsor director
16,2018-11-08,BDAUTOCA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
17,2018-10-29,BDAUTOCA,Sale confirmation of a Sponsor Director,1,0,0,sale confirmation of a sponsor director
18,2018-10-24,BDAUTOCA,Sale Declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
19,2018-10-18,BDAUTOCA,Resumption after Record Date,0,0,0,resumption after record date
20,2018-10-17,BDAUTOCA,Suspension for Record Date,0,0,0,suspension for record date
21,2018-10-15,BDAUTOCA,Spot News,1,1,0,spot news
22,2018-10-14,BDAUTOCA,Sale Declaration of a Sponsor Director,0,1,1,sale declaration of a sponsor director
23,2018-10-03,BDAUTOCA,Price Limit Open for Corporate Declaration,0,0,0,price limit open for corporate declaration
24,2018-10-03,BDAUTOCA,Placing the shares in compulsory Spot Market as per BSEC Order,0,0,0,placing the shares in compulsory spot market as per bsec order
25,2018-09-27,BDAUTOCA,Dividend Declaration,0,0,0,dividend declaration
27,2018-09-27,BDAUTOCA,Dividend Declaration,0,0,0,dividend declaration
28,2018-09-19,BDAUTOCA,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
29,2018-09-18,BDAUTOCA,Extension of Additional 15 days suspension period,0,0,0,extension of additional 15 days suspension period
30,2018-08-19,BDAUTOCA,Suspension of share as per BSEC Order,0,0,0,suspension of share as per bsec order
31,2018-08-19,BDAUTOCA,Enquiry Committee Formation for investigation as per BSEC Order,0,0,0,enquiry committee formation for investigation as per bsec order
32,2018-08-08,BDAUTOCA,Query Response,0,1,0,query response
33,2018-07-05,BDAUTOCA,Query Response (Repeat News),0,0,0,query response repeat news
34,2018-07-03,BDAUTOCA,Query Response,0,0,0,query response
35,2018-06-21,BDAUTOCA,Query Response,1,0,0,query response
36,2018-06-07,BDAUTOCA,Query Response (Repeat News),1,0,0,query response repeat news
37,2018-06-04,BDAUTOCA,Query Response,1,1,1,query response
38,2018-04-30,BDAUTOCA,Q3 Financials,0,0,0,q3 financials
39,2018-04-23,BDAUTOCA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
41,2018-01-31,BDAUTOCA,Q2 Financials,1,1,0,q2 financials
42,2018-01-25,BDAUTOCA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
43,2018-01-03,BDAUTOCA,Dividend Disbursement,1,1,0,dividend disbursement
44,2017-11-16,BDAUTOCA,Resumption after record date,0,0,0,resumption after record date
45,2017-11-15,BDAUTOCA,Suspension for Record Date,0,0,0,suspension for record date
46,2017-11-14,BDAUTOCA,Q1 Financials,0,0,0,q1 financials
47,2017-11-13,BDAUTOCA,Spot News,0,0,0,spot news
48,2017-11-08,BDAUTOCA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
49,2017-10-29,BDAUTOCA,Price Limit Open,0,0,0,price limit open
50,2017-10-29,BDAUTOCA,Dividend Declaration,0,0,0,dividend declaration
51,2017-10-19,BDAUTOCA,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
52,2017-07-16,BDAUTOCA,Query Response,0,1,0,query response
53,2017-05-02,BDAUTOCA,Sale confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
54,2017-04-30,BDAUTOCA,Q3 Financials,1,0,0,q3 financials
55,2017-04-26,BDAUTOCA,Sale confirmation of a Sponsor,1,1,0,sale confirmation of a sponsor
56,2017-04-24,BDAUTOCA,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
57,2017-04-18,BDAUTOCA,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
58,2017-04-11,BDAUTOCA,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
59,2017-01-31,BDAUTOCA,Q2 Financials,0,0,0,q2 financials
60,2017-01-19,BDAUTOCA,Board Meeting,1,0,0,board meeting
61,2017-01-11,BDAUTOCA,Dividend Disbursement,0,0,0,dividend disbursement
62,2017-01-05,BDAUTOCA,Query Response,1,0,0,query response
63,2016-12-26,BDAUTOCA,Enquiry Committee formation by BSEC,0,0,0,enquiry committee formation by bsec
64,2016-12-20,BDAUTOCA,Observation,0,0,0,observation
65,2016-12-20,BDAUTOCA,Observation,0,0,0,observation
66,2016-11-17,BDAUTOCA,Resumption after record date,1,0,0,resumption after record date
67,2016-11-16,BDAUTOCA,Suspension for record date,0,1,0,suspension for record date
68,2016-11-16,BDAUTOCA,Q1 Financials,0,1,0,q1 financials
69,2016-11-13,BDAUTOCA,Board Meeting,0,0,0,board meeting
70,2016-11-03,BDAUTOCA,Spot for AGM,1,0,0,spot for agm
