,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,BDCOM,Q3 Financials,1,0,0,q3 financials
1,2019-04-25,BDCOM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-03-12,BDCOM,Signed a Land Lease Agreement with BEZA,0,0,1,signed a land lease agreement with beza
3,2019-01-30,BDCOM,Q2 Financials,0,0,0,q2 financials
4,2019-01-27,BDCOM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-01-21,BDCOM,Credit Rating Result,1,0,0,credit rating result
6,2019-01-07,BDCOM,Query Response,1,0,1,query response
7,2019-01-03,BDCOM,Dividend Disbursement,1,0,0,dividend disbursement
8,2018-11-19,BDCOM,Resumption after record date,0,0,0,resumption after record date
9,2018-11-18,BDCOM,Suspension for Record date,1,0,0,suspension for record date
10,2018-11-15,BDCOM,Q1 Financials,0,0,0,q1 financials
11,2018-11-14,BDCOM,Spot News,1,0,0,spot news
12,2018-11-11,BDCOM,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
13,2018-10-29,BDCOM,Price Limit Open,1,0,0,price limit open
14,2018-10-29,BDCOM,Dividend Declaration,1,0,0,dividend declaration
15,2018-10-23,BDCOM,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
16,2018-04-25,BDCOM,Q3 Financials,0,0,0,q3 financials
17,2018-04-22,BDCOM,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
18,2018-01-30,BDCOM,Q2 Financials,0,1,0,q2 financials
19,2018-01-25,BDCOM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
20,2018-01-22,BDCOM,Credit Rating Result,1,0,0,credit rating result
21,2018-01-04,BDCOM,Dividend Disbursement,0,0,0,dividend disbursement
22,2017-11-16,BDCOM,Resumption after record date,0,0,0,resumption after record date
23,2017-11-15,BDCOM,Suspension for Record Date,1,0,0,suspension for record date
24,2017-11-13,BDCOM,Q1 Financials,0,0,1,q1 financials
25,2017-11-13,BDCOM,Spot News,0,0,1,spot news
26,2017-11-08,BDCOM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2017-10-29,BDCOM,Price Limit Open,0,1,1,price limit open
28,2017-10-29,BDCOM,Dividend Declaration,0,1,1,dividend declaration
29,2017-10-22,BDCOM,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
30,2017-04-27,BDCOM,Q3 Financials,1,0,0,q3 financials
31,2017-04-20,BDCOM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
32,2017-04-19,BDCOM,Query Response,1,1,0,query response
33,2017-04-18,BDCOM,Query Response,1,1,1,query response
34,2017-01-30,BDCOM,Q2 Financials,0,0,0,q2 financials
35,2017-01-24,BDCOM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
36,2017-01-04,BDCOM,Dividend Disbursement,1,0,0,dividend disbursement
37,2016-11-17,BDCOM,Resumption after record date,1,0,0,resumption after record date
38,2016-11-16,BDCOM,Suspension for record date,0,1,0,suspension for record date
39,2016-11-14,BDCOM,Q1 Financials,0,1,0,q1 financials
40,2016-11-14,BDCOM,Spot for AGM,0,1,0,spot for agm
41,2016-11-09,BDCOM,Board Meeting,0,1,0,board meeting
42,2016-10-30,BDCOM,Price Limit Open,0,1,0,price limit open
43,2016-10-30,BDCOM,Dividend Declaration,0,1,0,dividend declaration
44,2016-10-20,BDCOM, Board Meeting,1,0,0,board meeting
45,2016-05-02,BDCOM,Q3 Financials,0,0,0,q3 financials
46,2016-04-25,BDCOM,Board Meeting,1,0,0,board meeting
47,2016-03-22,BDCOM, Completion of share receipt by a Sponsor/Director,0,0,0,completion of share receipt by a sponsordirector
48,2016-03-01,BDCOM,Declaration of share receipt by a Sponsor/Director,0,0,0,declaration of share receipt by a sponsordirector
49,2016-01-31,BDCOM,Q2 Financials,0,1,0,q2 financials
50,2016-01-27,BDCOM,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
51,2016-01-26,BDCOM,Board Meeting,0,1,0,board meeting
52,2016-01-19,BDCOM,Dividend Disbursement,0,0,1,dividend disbursement
53,2016-01-04,BDCOM,Credit Rating Result,1,0,1,credit rating result
54,2015-11-19,BDCOM,Resumption News after Record date,0,0,0,resumption news after record date
55,2015-11-18,BDCOM,Suspension News for Record Date,1,0,0,suspension news for record date
