,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,BDLAMPS,Q3 Financials,0,0,0,q3 financials
1,2019-04-21,BDLAMPS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
3,2019-01-29,BDLAMPS,Q2 Financials,1,1,0,q2 financials
4,2019-01-23,BDLAMPS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-01-15,BDLAMPS,Query Response,1,0,0,query response
6,2019-01-06,BDLAMPS,Dividend Disbursement,1,0,1,dividend disbursement
7,2018-12-27,BDLAMPS,Credit Rating Result,0,0,0,credit rating result
8,2018-11-11,BDLAMPS,Q1 Financials,0,0,1,q1 financials
9,2018-11-04,BDLAMPS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
10,2018-10-24,BDLAMPS,Resumption after Record Date,0,1,0,resumption after record date
11,2018-10-23,BDLAMPS,Suspension for Record Date,0,0,1,suspension for record date
12,2018-10-21,BDLAMPS,Spot News,0,0,0,spot news
13,2018-10-04,BDLAMPS,Price Limit Open,1,0,0,price limit open
14,2018-10-04,BDLAMPS,Dividend Declaration,1,0,0,dividend declaration
15,2018-09-25,BDLAMPS,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
16,2018-06-21,BDLAMPS,Query Response (Repeat News),1,0,0,query response repeat news
17,2018-06-20,BDLAMPS,Query Response,1,1,0,query response
18,2018-04-26,BDLAMPS,Q3 Financials,0,0,0,q3 financials
19,2018-04-26,BDLAMPS,Q3 Financials,0,0,0,q3 financials
20,2018-04-23,BDLAMPS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
21,2018-03-06,BDLAMPS,Query Response,0,0,1,query response
22,2018-02-04,BDLAMPS,Credit Rating Result,0,0,0,credit rating result
23,2018-01-25,BDLAMPS,Q2 Financials (Revised period of NAV),1,0,0,q2 financials revised period of nav
24,2018-01-25,BDLAMPS,Q2 Financials,1,0,0,q2 financials
25,2018-01-21,BDLAMPS,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
26,2017-10-31,BDLAMPS,Q1 Financials,0,1,0,q1 financials
27,2017-10-26,BDLAMPS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
28,2017-10-11,BDLAMPS,Dividend Disbursement,0,1,0,dividend disbursement
29,2017-08-29,BDLAMPS,Resumption after Record Date,0,0,0,resumption after record date
30,2017-08-28,BDLAMPS,Suspension for Record Date,0,0,0,suspension for record date
31,2017-08-24,BDLAMPS,Spot News,0,0,0,spot news
32,2017-08-08,BDLAMPS,Price Limit Open,1,1,0,price limit open
34,2017-08-08,BDLAMPS,Dividend Declaration,1,1,0,dividend declaration
35,2017-07-31,BDLAMPS,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
36,2017-04-20,BDLAMPS,Q3 Financials,0,0,0,q3 financials
37,2017-04-16,BDLAMPS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
38,2017-01-23,BDLAMPS,Un-audited Financials (Correction),0,0,0,un-audited financials correction
39,2017-01-23,BDLAMPS,Un-audited Financials of the Company,0,0,0,un-audited financials of the company
40,2017-01-16,BDLAMPS,Board Meeting,0,0,0,board meeting
41,2017-01-02,BDLAMPS,Credit Rating Result,1,1,1,credit rating result
42,2016-10-27,BDLAMPS,Paying Royalty on the sales of Transtec brand products(Additional Info),0,0,0,paying royalty on the sales of transtec brand productsadditional info
43,2016-10-25,BDLAMPS,Decision to pay a royalty on the sales of Transtec brand products,1,0,0,decision to pay a royalty on the sales of transtec brand products
44,2016-10-25,BDLAMPS,3 Months un-audited Financials of the Company,1,0,0,3 months un-audited financials of the company
45,2016-10-25,BDLAMPS,Audited Financials for 6 months period (January-June 2016),1,0,0,audited financials for 6 months period january-june 2016
46,2016-10-19,BDLAMPS,Board Meeting,0,0,0,board meeting
47,2016-05-11,BDLAMPS,Cash Dividend Disbursement (Correction News),0,0,0,cash dividend disbursement correction news
48,2016-05-10,BDLAMPS,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
49,2016-04-25,BDLAMPS,Q1 Financials,0,1,0,q1 financials
50,2016-04-19,BDLAMPS,Board Meeting,1,0,0,board meeting
51,2016-03-30,BDLAMPS,Resumption after Record date,0,0,0,resumption after record date
52,2016-03-29,BDLAMPS,Suspension for Record date,0,0,0,suspension for record date
53,2016-03-27,BDLAMPS,Spot for AGM,0,0,0,spot for agm
54,2016-03-09,BDLAMPS,Price Limit Open,0,0,0,price limit open
55,2016-03-09,BDLAMPS,Dividend Declaration,0,0,0,dividend declaration
56,2016-02-29,BDLAMPS,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
57,2016-01-05,BDLAMPS,Setting up production line for assembling LED lights at its factory,0,0,0,setting up production line for assembling led lights at its factory
58,2015-12-20,BDLAMPS,Query Response,1,0,0,query response
59,2015-10-29,BDLAMPS,Credit Rating Result,1,0,0,credit rating result
60,2015-10-28,BDLAMPS,Q3 Financials,1,1,0,q3 financials
61,2015-10-20,BDLAMPS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
62,2015-09-07,BDLAMPS,Query Response,0,0,0,query response
63,2015-07-23,BDLAMPS,Half Yearly,1,0,0,half yearly
64,2015-04-29,BDLAMPS,Q1 Financials,1,0,0,q1 financials
65,2015-04-16,BDLAMPS,Trade Resume,0,0,0,trade resume
66,2015-04-15,BDLAMPS,Trade suspended on record date,1,0,0,trade suspended on record date
67,2015-04-12,BDLAMPS,Spot Market and Block/Odd lot transactions,1,0,0,spot market and blockodd lot transactions
68,2015-04-05,BDLAMPS,Price Limit Open,0,1,0,price limit open
69,2015-04-05,BDLAMPS,Dividend Declaration,0,1,0,dividend declaration
70,2015-04-02,BDLAMPS,Board Meeting,1,0,0,board meeting
71,2014-12-23,BDLAMPS,Credit Rating,0,0,0,credit rating
72,2014-10-26,BDLAMPS,Q3 Earnings,1,1,0,q3 earnings
73,2014-09-11,BDLAMPS,Dse Query,1,0,0,dse query
74,2014-07-24,BDLAMPS,H/Y Earnings,1,0,0,hy earnings
75,2014-05-04,BDLAMPS,Q1 Earning,0,1,1,q1 earning
76,2014-04-17,BDLAMPS,trade resume,0,0,0,trade resume
77,2014-04-16,BDLAMPS,trade suspension,1,0,0,trade suspension
78,2014-04-10,BDLAMPS,Spot Market Transaction,0,0,0,spot market transaction
79,2014-04-06,BDLAMPS,recommended 20% cash dividend,0,0,0,recommended 20 cash dividend
80,2014-04-01,BDLAMPS,Board Meeting,0,0,0,board meeting
81,2013-10-24,BDLAMPS,Credit Rating,0,0,0,credit rating
82,2013-10-09,BDLAMPS,Registerd Office Has been Shifted,1,1,0,registerd office has been shifted
83,2013-09-23,BDLAMPS,No Undisclosed Price Sensitive Price Information,1,0,0,no undisclosed price sensitive price information
84,2013-07-24,BDLAMPS,Q2 Earnings,1,0,0,q2 earnings
85,2013-05-02,BDLAMPS,Q1 Earnings,1,0,0,q1 earnings
86,2013-04-16,BDLAMPS,trade suspension on record date,1,0,1,trade suspension on record date
87,2013-04-10,BDLAMPS,Spot Market Trading,0,1,0,spot market trading
88,2013-04-07,BDLAMPS,Corporate declaration,0,0,1,corporate declaration
89,2013-04-02,BDLAMPS,Board Meeting,0,0,0,board meeting
90,2012-10-30,BDLAMPS,Q3 Earnings 2012,0,0,0,q3 earnings 2012
91,2012-07-29,BDLAMPS,- H/Y): As per un-audited half yearly accounts...,1,0,0,hy: as per un-audited half yearly accounts
92,2012-05-21,BDLAMPS,- The Company has informed...,1,0,0,the company has informed
93,2012-04-02,BDLAMPS,- Trading of the shares...,1,0,0,trading of the shares
94,2012-03-28,BDLAMPS,- Trading of the shares...,1,0,0,trading of the shares
95,2012-03-19,BDLAMPS,- There will be no price limit...,1,1,0,there will be no price limit
96,2012-03-19,BDLAMPS,- The Board of Directors has recommended...,1,1,0,the board of directors has recommended
97,2012-03-19,BDLAMPS,- As per regulation 30 of DSE Listing Regulations...,1,1,0,as per regulation 30 of dse listing regulations
98,2011-10-26,BDLAMPS,- Normal trading of the shares...,0,1,0,normal trading of the shares
99,2011-10-25,BDLAMPS,- Trading of the shares...,1,0,1,trading of the shares
100,2011-10-23,BDLAMPS,- (Q3): As per un-audited quarterly...,0,0,1,q3: as per un-audited quarterly
101,2011-10-20,BDLAMPS,- Trading of the shares...,1,0,0,trading of the shares
102,2011-10-17,BDLAMPS,- The Company has informed...,0,0,1,the company has informed
103,2011-08-07,BDLAMPS,- In response to a DSE query...,1,1,0,in response to a dse query
104,2011-07-24,BDLAMPS,- (H/Y): As per un-audited...,1,1,0,hy: as per un-audited
105,2011-07-13,BDLAMPS,- In response to a DSE query...,1,0,0,in response to a dse query
