,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,BDTHAI,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
1,2019-03-11,BDTHAI,Time extension for implementation schedule of right issue proceeds,0,0,0,time extension for implementation schedule of right issue proceeds
2,2019-01-31,BDTHAI,Q2 Financials,0,0,0,q2 financials
3,2019-01-27,BDTHAI,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
4,2019-01-21,BDTHAI,Dividend Disbursement,0,0,0,dividend disbursement
5,2018-11-29,BDTHAI,Resumption after record date,0,0,0,resumption after record date
6,2018-11-28,BDTHAI,Suspension for Record date,1,0,0,suspension for record date
7,2018-11-26,BDTHAI,Spot News,1,1,1,spot news
8,2018-11-15,BDTHAI,Date Change of EGM & AGM,0,0,0,date change of egm  agm
9,2018-11-15,BDTHAI,Q1 Financials,0,0,0,q1 financials
10,2018-11-08,BDTHAI,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
11,2018-10-28,BDTHAI,Price Limit Open,1,1,1,price limit open
13,2018-10-28,BDTHAI,Dividend Declaration,1,1,1,dividend declaration
14,2018-10-16,BDTHAI,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
15,2018-05-13,BDTHAI,BSEC approval on revised implementation schedule of right issue proceeds,0,0,0,bsec approval on revised implementation schedule of right issue proceeds
16,2018-05-03,BDTHAI,Q3 Financials,1,0,0,q3 financials
17,2018-04-22,BDTHAI,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
18,2018-04-18,BDTHAI,Credit Rating Result,0,1,0,credit rating result
19,2018-01-31,BDTHAI,Q2 Financials,0,0,0,q2 financials
20,2018-01-25,BDTHAI,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
22,2018-01-18,BDTHAI,"Installing Extrusion press, Anodization Plant, Substation & development",0,0,0,"installing extrusion press, anodization plant, substation  development"
23,2018-01-11,BDTHAI,Stock Dividend Disbursement,1,0,0,stock dividend disbursement
24,2017-12-13,BDTHAI,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
25,2017-12-13,BDTHAI,Category Change,0,0,0,category change
26,2017-11-16,BDTHAI,Resumption after record date,0,0,0,resumption after record date
27,2017-11-15,BDTHAI,Suspension for Record Date,1,0,0,suspension for record date
28,2017-11-15,BDTHAI,Q1 Financials,1,0,0,q1 financials
29,2017-11-13,BDTHAI,Spot News,0,0,1,spot news
30,2017-11-09,BDTHAI,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
31,2017-10-29,BDTHAI,Price Limit Open,0,1,1,price limit open
32,2017-10-29,BDTHAI,Dividend Declaration,0,1,1,dividend declaration
33,2017-10-19,BDTHAI,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
34,2017-05-02,BDTHAI,Q3 Financials,1,0,1,q3 financials
35,2017-04-24,BDTHAI,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
36,2017-03-02,BDTHAI,Credit Rating Result,0,0,0,credit rating result
37,2017-01-30,BDTHAI,Q2 Financials,0,1,1,q2 financials
38,2017-01-23,BDTHAI,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
39,2016-11-15,BDTHAI,Q1 Financials,1,0,0,q1 financials
40,2016-11-14,BDTHAI,Board Meeting,1,1,0,board meeting
41,2016-10-19,BDTHAI,Rights share Credited on BO Account,0,1,0,rights share credited on bo account
42,2016-10-13,BDTHAI,Dividend Disbursement,0,0,0,dividend disbursement
43,2016-09-01,BDTHAI,Adjustment for Open Adjusted Price of the Company,0,0,0,adjustment for open adjusted price of the company
44,2016-08-31,BDTHAI,Resumption after record date,1,0,0,resumption after record date
45,2016-08-30,BDTHAI,Suspension news for record date,0,1,0,suspension news for record date
46,2016-08-28,BDTHAI,Spot for AGM,0,0,0,spot for agm
47,2016-08-10,BDTHAI,Price Limit Open,0,0,0,price limit open
48,2016-08-10,BDTHAI,Dividend Declaration,0,0,0,dividend declaration
49,2016-08-03,BDTHAI,Board meeting for considering 18 mo,0,0,0,board meeting for considering 18 mo
50,2016-07-21,BDTHAI,Resumption after record date,0,0,0,resumption after record date
51,2016-07-20,BDTHAI,Suspension for Record Date for Rights entitlement,1,0,0,suspension for record date for rights entitlement
52,2016-07-18,BDTHAI,Spot News for Rights entitlement,0,0,1,spot news for rights entitlement
53,2016-06-22,BDTHAI,Subscription Period and Record Date for Rights Issuance,0,0,0,subscription period and record date for rights issuance
54,2016-06-21,BDTHAI,Approval of BSEC for issuing Rights Shares,0,0,0,approval of bsec for issuing rights shares
55,2016-05-10,BDTHAI,12 Months Financials,0,0,0,12 months financials
56,2016-05-04,BDTHAI,Un-audited Accounts,1,0,0,un-audited accounts
57,2016-05-02,BDTHAI,Postponement of Board Meeting,0,1,1,postponement of board meeting
58,2016-04-25,BDTHAI,Board Meeting,0,0,0,board meeting
59,2015-10-27,BDTHAI,Q3 Financials,1,0,0,q3 financials
60,2015-10-25,BDTHAI, Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
61,2015-07-30,BDTHAI,Q2 Financials,1,0,0,q2 financials
62,2015-07-23,BDTHAI,Sponsors/Directors sale,0,0,0,sponsorsdirectors sale
63,2015-07-09,BDTHAI,Declaration of sale by Sponsor/Director,1,0,0,declaration of sale by sponsordirector
64,2015-07-06,BDTHAI,Category Change,0,1,1,category change
65,2015-07-02,BDTHAI,Credit Rating Result,0,0,0,credit rating result
66,2015-06-29,BDTHAI,Dividend Disbursement,1,0,0,dividend disbursement
67,2015-06-23,BDTHAI,Revised Proposal for Issuance of Rights Shares,0,0,1,revised proposal for issuance of rights shares
68,2015-05-28,BDTHAI,Resumption News after Record Date,0,0,0,resumption news after record date
69,2015-05-27,BDTHAI,Suspension for Record(EGM),1,0,0,suspension for recordegm
70,2015-05-25,BDTHAI,Spot News for EGM,1,0,1,spot news for egm
71,2015-05-19,BDTHAI,Price Limit Open,0,1,0,price limit open
72,2015-05-19,BDTHAI,Issuance of Rights Share & Increase of Authorized Capital,0,1,0,issuance of rights share  increase of authorized capital
73,2015-05-17,BDTHAI,Q1 Financials,0,0,0,q1 financials
74,2015-05-04,BDTHAI,Trade will resume,0,1,1,trade will resume
75,2015-04-30,BDTHAI,Trade suspend,0,0,0,trade suspend
76,2015-04-27,BDTHAI,Spot Market,0,0,0,spot market
77,2015-04-21,BDTHAI,Price Limit Open,1,1,0,price limit open
78,2015-04-21,BDTHAI,Dividend Declaration,1,1,0,dividend declaration
79,2015-04-19,BDTHAI,Board Meeting schedule under LR 30,0,0,1,board meeting schedule under lr 30
80,2015-01-01,BDTHAI,revaluation of fixed assets,0,0,0,revaluation of fixed assets
81,2014-12-09,BDTHAI,DSE query,1,0,1,dse query
82,2014-10-29,BDTHAI,Q3 Earnings,1,0,0,q3 earnings
83,2014-09-25,BDTHAI,DSE query,1,0,0,dse query
84,2014-08-03,BDTHAI,H/Y Earnings,0,1,0,hy earnings
85,2014-07-14,BDTHAI,credited the bonus shares,1,1,0,credited the bonus shares
86,2014-07-14,BDTHAI,trade resume,1,1,0,trade resume
87,2014-07-06,BDTHAI,DSE query,1,1,1,dse query
88,2014-05-25,BDTHAI,trade resume,0,1,1,trade resume
89,2014-05-22,BDTHAI,trade suspension,0,0,0,trade suspension
90,2014-05-20,BDTHAI,Spot Market Transaction,1,1,0,spot market transaction
91,2014-05-18,BDTHAI,Q1 Earnings,0,0,1,q1 earnings
92,2014-05-04,BDTHAI,no price limit,1,1,1,no price limit
93,2014-05-04,BDTHAI,5% stock dividend,1,1,1,5 stock dividend
94,2014-04-29,BDTHAI,Board Meeting,0,0,0,board meeting
95,2014-02-04,BDTHAI,Credit Rating,1,1,0,credit rating
96,2013-12-17,BDTHAI,new plant instalation,1,0,1,new plant instalation
97,2013-10-30,BDTHAI,Q3 Earnings,0,0,0,q3 earnings
98,2013-07-30,BDTHAI,Q2 Earnings,0,0,0,q2 earnings
99,2013-07-08,BDTHAI,Credited Bonus Share,0,0,0,credited bonus share
100,2013-06-05,BDTHAI,Q1 Earnings,0,0,0,q1 earnings
101,2013-05-26,BDTHAI,Trade Resume after Record Date,0,1,0,trade resume after record date
102,2013-05-22,BDTHAI,Trade Suspension on Record Date,0,0,0,trade suspension on record date
103,2013-05-19,BDTHAI,Spot Market Trading,0,0,0,spot market trading
104,2013-04-28,BDTHAI,Corporate Declaration,0,0,0,corporate declaration
105,2013-04-28,BDTHAI,Board meeting,0,0,0,board meeting
106,2013-03-25,BDTHAI,Credit Rating,0,0,0,credit rating
107,2012-10-31,BDTHAI,Q3 Earnings 2012,0,0,0,q3 earnings 2012
108,2012-09-04,BDTHAI,- In response to a DSE query...,1,0,0,in response to a dse query
109,2012-07-08,BDTHAI,-The Company has informed ..,0,0,0,-the company has informed ..
110,2012-05-22,BDTHAI,- Normal trading of the shares...,0,0,0,normal trading of the shares
111,2012-05-21,BDTHAI,- Trading of the shares...,1,0,0,trading of the shares
112,2012-04-23,BDTHAI,- As per regulation ...,0,0,0,as per regulation
113,2011-10-31,BDTHAI,- As per un-audited...,0,1,0,as per un-audited
114,2011-10-18,BDTHAI,- Normal trading of the shares...,0,1,1,normal trading of the shares
115,2011-10-17,BDTHAI,- Trading of the shares...,1,0,1,trading of the shares
116,2011-10-12,BDTHAI,- Trading of the shares...,1,1,0,trading of the shares
117,2011-10-05,BDTHAI,- The Company has informed...,1,0,0,the company has informed
118,2011-09-21,BDTHAI,- Ms. Rubina Hamid...,0,0,0,ms. rubina hamid
119,2011-08-07,BDTHAI,- Dr. Kazi Aktar Hamid...,0,0,0,dr. kazi aktar hamid
120,2011-08-01,BDTHAI,- (H/Y): As per un-audited...,0,0,1,hy: as per un-audited
121,2011-07-31,BDTHAI,- Dr. Kazi Aktar Hamid...,0,0,0,dr. kazi aktar hamid
122,2011-07-28,BDTHAI,- Ms. Rubina Hamid...,0,0,0,ms. rubina hamid
123,2011-07-27,BDTHAI,- Mr. Zahid Maleque...,1,0,0,mr. zahid maleque
124,2011-07-25,BDTHAI,- Ms. Shabana Maleque...,1,1,1,ms. shabana maleque
