,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-01-17,BDWELDING,Query Response,1,0,0,query response
1,2018-07-22,BDWELDING,Query Response,0,1,1,query response
2,2018-06-10,BDWELDING,Q3 Financials,0,0,1,q3 financials
3,2018-05-31,BDWELDING,Reschedule of Board Meeting under LR 16(1),1,0,0,reschedule of board meeting under lr 161
4,2018-05-27,BDWELDING,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2018-01-29,BDWELDING,Q2 Financials,0,0,1,q2 financials
6,2018-01-23,BDWELDING,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
10,2017-12-11,BDWELDING,Basis for Qualified Opinion and Emphasis of Matter,1,0,1,basis for qualified opinion and emphasis of matter
11,2017-12-07,BDWELDING,Resumption after record date,0,0,0,resumption after record date
12,2017-12-07,BDWELDING,Q1 Financials,0,0,0,q1 financials
13,2017-12-06,BDWELDING,Suspension for Record Date,0,0,0,suspension for record date
14,2017-11-28,BDWELDING,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
15,2017-11-27,BDWELDING,Query Response,1,0,0,query response
16,2017-11-23,BDWELDING,Spot News,1,0,0,spot news
17,2017-11-19,BDWELDING,Price Limit Open,1,0,0,price limit open
18,2017-11-19,BDWELDING,Dividend Declaration,1,0,0,dividend declaration
19,2017-11-09,BDWELDING,Reschedule of Board Meeting under LR 19(1),1,0,0,reschedule of board meeting under lr 191
20,2017-11-01,BDWELDING,Adjournment of Board Meeting as per Regulation 19(1),1,1,0,adjournment of board meeting as per regulation 191
21,2017-10-24,BDWELDING,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
22,2017-10-04,BDWELDING,Address Change of Registered Office,0,0,0,address change of registered office
23,2017-07-30,BDWELDING,Land acquire and suspension of Production for project shifting,0,0,0,land acquire and suspension of production for project shifting
24,2017-07-25,BDWELDING,Enquiry Committee formed by BSEC,0,1,0,enquiry committee formed by bsec
25,2017-06-21,BDWELDING,Query Response,1,1,0,query response
29,2017-06-06,BDWELDING,Paying off liabilities and acquiring land by selling factory land,1,1,1,paying off liabilities and acquiring land by selling factory land
30,2017-05-07,BDWELDING,Q3 Financials,0,0,1,q3 financials
31,2017-04-30,BDWELDING,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
32,2017-02-01,BDWELDING,Q2 Financials,1,0,0,q2 financials
33,2017-01-26,BDWELDING,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
34,2017-01-03,BDWELDING,Qualified Opinion,0,0,1,qualified opinion
35,2017-01-02,BDWELDING,Query Response,0,0,0,query response
36,2016-11-22,BDWELDING,Q1 Financials,1,1,0,q1 financials
37,2016-11-15,BDWELDING,Resumption after record date,0,1,1,resumption after record date
38,2016-11-14,BDWELDING,Suspension for Record,0,0,1,suspension for record
39,2016-11-01,BDWELDING,Spot for EGM & AGM,1,0,1,spot for egm  agm
40,2016-10-26,BDWELDING,"Revised Record date, EGM & AGM date",0,1,0,"revised record date, egm  agm date"
41,2016-10-26,BDWELDING,Price Limit Open,0,1,0,price limit open
42,2016-10-26,BDWELDING,Dividend Declaration & Selling of Factory Lands,0,1,0,dividend declaration  selling of factory lands
43,2016-10-20,BDWELDING,Board Meeting,0,0,0,board meeting
44,2016-08-18,BDWELDING,Query Response,0,0,0,query response
45,2016-06-08,BDWELDING,Change of Financial year,1,0,0,change of financial year
46,2016-05-25,BDWELDING,Resumption after Record,0,0,0,resumption after record
47,2016-05-24,BDWELDING,Suspension news,1,0,0,suspension news
48,2016-05-10,BDWELDING,Spot News for AGM,1,1,0,spot news for agm
49,2016-05-10,BDWELDING,Q1,1,1,0,q1
50,2016-05-03,BDWELDING,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
51,2016-05-03,BDWELDING,Category Change,0,0,0,category change
52,2016-05-03,BDWELDING,Price Limit Open,0,0,0,price limit open
53,2016-05-03,BDWELDING,Dividend Declaration,0,0,0,dividend declaration
54,2016-04-27,BDWELDING,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
55,2016-01-07,BDWELDING,Query Response,1,0,0,query response
