,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,BEACHHATCH,Diversification of business through farming white fish,0,1,0,diversification of business through farming white fish
2,2019-04-28,BEACHHATCH,Diversification of business through farming white fish,0,1,0,diversification of business through farming white fish
3,2019-04-25,BEACHHATCH,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
4,2019-02-14,BEACHHATCH,"New Date, Time and Venue of the AGM",0,0,0,"new date, time and venue of the agm"
5,2019-01-31,BEACHHATCH,Q2 Financials (Additional Information),1,0,0,q2 financials additional information
6,2019-01-31,BEACHHATCH,Q2 Financials,1,0,0,q2 financials
7,2019-01-28,BEACHHATCH,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
8,2019-01-22,BEACHHATCH,Query Response,0,0,1,query response
9,2018-12-24,BEACHHATCH,Query Response,0,0,1,query response
10,2018-12-12,BEACHHATCH,Postponement of 23rd AGM of the Company,0,0,0,postponement of 23rd agm of the company
14,2018-12-05,BEACHHATCH,Observation,1,0,0,observation
15,2018-11-27,BEACHHATCH,Resumption after record date,0,0,0,resumption after record date
16,2018-11-26,BEACHHATCH,Suspension for Record date,0,0,0,suspension for record date
17,2018-11-15,BEACHHATCH,Q1 Financials,0,0,0,q1 financials
18,2018-11-12,BEACHHATCH,Spot News,0,0,0,spot news
19,2018-11-11,BEACHHATCH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
20,2018-10-31,BEACHHATCH,Price Limit Open,1,0,0,price limit open
21,2018-10-31,BEACHHATCH,Dividend Declaration,1,0,0,dividend declaration
22,2018-10-28,BEACHHATCH,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
23,2018-10-17,BEACHHATCH,Query Response,1,1,0,query response
24,2018-08-07,BEACHHATCH,Query Response,0,0,1,query response
25,2018-04-30,BEACHHATCH,Q3 Financials,0,0,0,q3 financials
26,2018-04-19,BEACHHATCH,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
30,2018-02-18,BEACHHATCH,Audit Observation,0,0,0,audit observation
31,2018-01-31,BEACHHATCH,Q2 Financials,0,1,0,q2 financials
32,2018-01-25,BEACHHATCH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
33,2017-12-14,BEACHHATCH,"Date, Time and Venue of AGMs",1,0,0,"date, time and venue of agms"
34,2017-11-21,BEACHHATCH,Resumption after record date,0,0,1,resumption after record date
35,2017-11-20,BEACHHATCH,Suspension for Record Date,0,0,0,suspension for record date
36,2017-11-16,BEACHHATCH,Q1 Financials,1,0,0,q1 financials
37,2017-11-13,BEACHHATCH,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
38,2017-11-07,BEACHHATCH,Spot News,0,0,0,spot news
39,2017-11-01,BEACHHATCH,Price Limit Open,1,0,0,price limit open
41,2017-11-01,BEACHHATCH,Dividend Declaration,1,0,0,dividend declaration
42,2017-10-25,BEACHHATCH,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
43,2017-07-25,BEACHHATCH,Enquiry Committee formed by BSEC,0,1,0,enquiry committee formed by bsec
44,2017-07-09,BEACHHATCH,Q3 Financials (Repeat),1,1,0,q3 financials repeat
45,2017-06-04,BEACHHATCH,Query Response,1,1,0,query response
46,2017-05-09,BEACHHATCH,Query Response,1,0,0,query response
47,2017-05-02,BEACHHATCH,Q3 Financials,1,1,1,q3 financials
48,2017-04-26,BEACHHATCH,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
