,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,BEACONPHAR,Q3 Financials,0,1,1,q3 financials
1,2019-04-21,BEACONPHAR,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
2,2019-01-29,BEACONPHAR,Q2 Financials,1,0,0,q2 financials
3,2019-01-21,BEACONPHAR,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2018-12-27,BEACONPHAR,Dividend Disbursement,0,0,0,dividend disbursement
5,2018-12-03,BEACONPHAR,Emphasis of Matter,0,1,0,emphasis of matter
6,2018-11-27,BEACONPHAR,Date Change of AGM,0,0,0,date change of agm
7,2018-11-18,BEACONPHAR,Credit Rating Result,1,1,0,credit rating result
8,2018-11-15,BEACONPHAR,Resumption after Record Date,0,0,0,resumption after record date
9,2018-11-14,BEACONPHAR,Suspension for Record Date,0,0,0,suspension for record date
10,2018-11-14,BEACONPHAR,Q1 Financials,0,0,0,q1 financials
11,2018-11-12,BEACONPHAR,Spot News,0,0,0,spot news
12,2018-11-07,BEACONPHAR,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
13,2018-10-22,BEACONPHAR,Price Limit Open,0,0,0,price limit open
14,2018-10-22,BEACONPHAR,Dividend Declaration,0,0,0,dividend declaration
15,2018-10-14,BEACONPHAR,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
16,2018-05-03,BEACONPHAR,Q3 Financials,0,0,0,q3 financials
17,2018-04-23,BEACONPHAR,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
18,2018-01-31,BEACONPHAR,Q2 Financials,0,0,0,q2 financials
19,2018-01-22,BEACONPHAR,Dividend Disbursement,0,0,0,dividend disbursement
20,2018-01-22,BEACONPHAR,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
21,2017-12-14,BEACONPHAR,Credit Rating Result,0,0,0,credit rating result
22,2017-11-20,BEACONPHAR,Resumption after record date,0,0,1,resumption after record date
23,2017-11-19,BEACONPHAR,Suspension for Record Date,0,0,0,suspension for record date
24,2017-11-15,BEACONPHAR,Spot News,0,1,0,spot news
25,2017-11-15,BEACONPHAR,Q1 Financials,0,1,0,q1 financials
26,2017-11-09,BEACONPHAR,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
27,2017-10-23,BEACONPHAR,Price Limit Open,1,1,1,price limit open
28,2017-10-23,BEACONPHAR,Dividend Declaration,1,1,1,dividend declaration
29,2017-10-17,BEACONPHAR,Address Change of Corporate Office and Share Department,1,0,0,address change of corporate office and share department
30,2017-10-17,BEACONPHAR,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
31,2017-04-30,BEACONPHAR,Q3 Financials,1,0,0,q3 financials
32,2017-04-24,BEACONPHAR,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
33,2017-01-31,BEACONPHAR,Q2 Financials,0,0,0,q2 financials
34,2017-01-26,BEACONPHAR,Prohibition on providing loan facilities to purchase securities,1,0,0,prohibition on providing loan facilities to purchase securities
35,2017-01-26,BEACONPHAR,Category Change,1,0,0,category change
36,2017-01-26,BEACONPHAR,Dividend Disbursement,1,0,0,dividend disbursement
37,2017-01-26,BEACONPHAR,Dividend Disbursement,1,0,0,dividend disbursement
38,2017-01-23,BEACONPHAR,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
39,2016-12-21,BEACONPHAR,Credit Rating Result,0,0,0,credit rating result
40,2016-11-20,BEACONPHAR,Resumption after record date,1,1,0,resumption after record date
41,2016-11-17,BEACONPHAR,Suspension for record date,1,0,0,suspension for record date
42,2016-11-14,BEACONPHAR,Q1 Financials,0,1,0,q1 financials
43,2016-11-08,BEACONPHAR,Board Meeting schedule,0,0,0,board meeting schedule
44,2016-11-06,BEACONPHAR,Spot for AGM,0,1,0,spot for agm
45,2016-10-27,BEACONPHAR, Price Limit Open,0,0,0,price limit open
46,2016-10-27,BEACONPHAR,Dividend Declaration,0,0,0,dividend declaration
47,2016-10-19,BEACONPHAR,Board Meeting,0,0,0,board meeting
48,2016-06-20,BEACONPHAR,Address Change of Registered Office,1,0,1,address change of registered office
49,2016-04-24,BEACONPHAR,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
50,2016-01-31,BEACONPHAR,Q2 Financials,0,0,0,q2 financials
51,2016-01-25,BEACONPHAR,Board Meeting,1,0,0,board meeting
52,2015-12-20,BEACONPHAR,Credit Rating Result,0,0,0,credit rating result
53,2015-11-23,BEACONPHAR,Resumption News after Record date,0,0,0,resumption news after record date
54,2015-11-22,BEACONPHAR,Suspension News for Record Date,0,0,0,suspension news for record date
55,2015-11-15,BEACONPHAR,Changing the Date of 14th AGM,0,0,1,changing the date of 14th agm
56,2015-11-15,BEACONPHAR,Q1 Financials,0,0,1,q1 financials
57,2015-11-09,BEACONPHAR,Board Meeting,0,1,0,board meeting
58,2015-11-09,BEACONPHAR,Spot News,0,1,0,spot news
59,2015-11-02,BEACONPHAR,Price Limit Open,1,1,0,price limit open
60,2015-11-02,BEACONPHAR,Dividend Declaration,1,1,0,dividend declaration
61,2015-10-21,BEACONPHAR,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
62,2015-05-04,BEACONPHAR,Q3 Financials,0,1,0,q3 financials
63,2015-01-29,BEACONPHAR,H/Y,0,0,0,hy
64,2014-12-07,BEACONPHAR,DSE query,1,1,1,dse query
65,2014-11-16,BEACONPHAR,Trade Resume,0,0,1,trade resume
66,2014-11-13,BEACONPHAR,will remain suspended,0,0,0,will remain suspended
67,2014-11-13,BEACONPHAR,Q1,0,0,0,q1
68,2014-10-30,BEACONPHAR,Spot Market Transaction,1,0,0,spot market transaction
69,2014-10-28,BEACONPHAR,did not recommend any dividend,1,1,1,did not recommend any dividend
70,2014-10-23,BEACONPHAR,meeting of the Board of Directors,1,0,0,meeting of the board of directors
71,2014-06-10,BEACONPHAR,DSE query,0,0,0,dse query
72,2014-04-29,BEACONPHAR,Q3 Earning,0,0,0,q3 earning
73,2014-02-02,BEACONPHAR,H/Y Earnings,0,0,1,hy earnings
74,2013-11-14,BEACONPHAR,Q1 earnings,1,0,0,q1 earnings
75,2013-11-13,BEACONPHAR,trade resume after record date,0,1,0,trade resume after record date
76,2013-11-12,BEACONPHAR,trade suspension on record date,1,0,1,trade suspension on record date
77,2013-10-30,BEACONPHAR,Trade Suspension on Record Date,0,0,0,trade suspension on record date
78,2013-10-27,BEACONPHAR,Corporate Action,0,0,1,corporate action
79,2013-10-27,BEACONPHAR,No Price Limit,0,0,1,no price limit
80,2013-10-24,BEACONPHAR,Board Meeting,0,0,0,board meeting
81,2013-05-30,BEACONPHAR,Credit Rating,0,0,0,credit rating
82,2013-04-30,BEACONPHAR,Q3 Earnings,0,0,0,q3 earnings
83,2013-01-31,BEACONPHAR,H/Y Earnings 2012-13,0,0,0,hy earnings 2012-13
84,2012-12-23,BEACONPHAR,category change,0,0,0,category change
85,2012-11-18,BEACONPHAR,Spot Market trading,0,0,1,spot market trading
86,2012-11-14,BEACONPHAR,Q1 Earnings 2012,0,0,0,q1 earnings 2012
87,2012-10-31,BEACONPHAR,corporate declaration,0,1,0,corporate declaration
88,2012-10-21,BEACONPHAR,Board Meeting,0,0,0,board meeting
89,2012-05-22,BEACONPHAR,- Mr. Md. Niazul Karim...,0,0,0,mr. md. niazul karim
90,2012-05-17,BEACONPHAR,- Mr. Md. Niazul Karim...,1,0,0,mr. md. niazul karim
91,2012-04-29,BEACONPHAR,- As per un-audited quarterly accounts...,0,0,0,as per un-audited quarterly accounts
92,2012-04-05,BEACONPHAR,- Normal trading of the shares...,0,0,0,normal trading of the shares
93,2012-04-04,BEACONPHAR,- Trading of the shares of the Company...,0,0,0,trading of the shares of the company
94,2012-04-01,BEACONPHAR,- Trading of the shares of the Company...,0,0,0,trading of the shares of the company
95,2012-01-05,BEACONPHAR,- The Company has informed...,0,0,0,the company has informed
96,2012-01-05,BEACONPHAR,- The Company will be placed...,0,0,0,the company will be placed
97,2012-01-05,BEACONPHAR,- DSE NEWS: The Stock Brokers...,0,0,0,dse news: the stock brokers
98,2011-11-24,BEACONPHAR,- Normal trading...,0,0,0,normal trading
99,2011-11-23,BEACONPHAR,-Trading of the shares...,0,0,0,-trading of the shares
100,2011-11-03,BEACONPHAR,- Trading of the shares...,0,0,0,trading of the shares
101,2011-11-01,BEACONPHAR,- As per un-audited...,1,0,0,as per un-audited
102,2011-10-30,BEACONPHAR,- There will be no price...,0,0,1,there will be no price
103,2011-10-30,BEACONPHAR,- The Board of Directors...,0,0,1,the board of directors
104,2011-10-27,BEACONPHAR,- The Credit Rating Agency...,0,0,0,the credit rating agency
105,2011-10-18,BEACONPHAR,- As per regulation...,0,1,1,as per regulation
106,2011-07-24,BEACONPHAR,- In response to a DSE query...,1,0,1,in response to a dse query
107,2011-07-12,BEACONPHAR,- In response to a CSE query...,0,0,0,in response to a cse query
108,2011-07-07,BEACONPHAR,- The Company has further informed...,0,0,0,the company has further informed
