,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,BENGALWTL,Q3 Financials,0,0,0,q3 financials
1,2019-04-23,BENGALWTL,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
2,2019-01-30,BENGALWTL,Q2 Financials,0,0,0,q2 financials
3,2019-01-23,BENGALWTL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
4,2019-01-16,BENGALWTL,Dividend Disbursement,0,0,0,dividend disbursement
5,2018-12-27,BENGALWTL,Credit Rating Result,0,0,0,credit rating result
6,2018-12-20,BENGALWTL,Sale Confirmation of a Sponsor Director,1,0,0,sale confirmation of a sponsor director
7,2018-12-13,BENGALWTL,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
8,2018-12-13,BENGALWTL,Category Change,0,0,0,category change
9,2018-12-10,BENGALWTL,Sale Declaration of a Sponsor Director,0,1,1,sale declaration of a sponsor director
10,2018-11-15,BENGALWTL,Resumption after Record Date,0,0,0,resumption after record date
11,2018-11-14,BENGALWTL,Suspension for Record Date,1,0,0,suspension for record date
12,2018-11-14,BENGALWTL,Q1 Financials,1,0,0,q1 financials
13,2018-11-12,BENGALWTL,Spot News,1,0,1,spot news
14,2018-11-07,BENGALWTL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
15,2018-11-06,BENGALWTL,"Date, Time and Venue of 16th AGM",0,1,0,"date, time and venue of 16th agm"
16,2018-10-28,BENGALWTL,Price Limit Open,0,1,1,price limit open
17,2018-10-28,BENGALWTL,Dividend Declaration,0,1,1,dividend declaration
18,2018-10-18,BENGALWTL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
19,2018-07-22,BENGALWTL,Query Response,0,0,0,query response
20,2018-04-30,BENGALWTL,Q3 Financials,0,0,0,q3 financials
21,2018-04-23,BENGALWTL,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
22,2018-04-09,BENGALWTL,Board decision of share transfer from one sponsor director to another,1,0,0,board decision of share transfer from one sponsor director to another
23,2018-01-28,BENGALWTL,Q2 Financials,0,0,0,q2 financials
24,2018-01-22,BENGALWTL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
25,2018-01-11,BENGALWTL,Credit Rating Result,1,0,0,credit rating result
26,2018-01-03,BENGALWTL,Dividend Disbursement,1,0,0,dividend disbursement
27,2017-11-16,BENGALWTL,Resumption after record date,0,0,0,resumption after record date
28,2017-11-15,BENGALWTL,Suspension for Record Date,0,0,0,suspension for record date
29,2017-11-14,BENGALWTL,Q1 Financials,0,0,0,q1 financials
30,2017-11-13,BENGALWTL,Spot News,1,0,0,spot news
31,2017-11-07,BENGALWTL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
32,2017-10-30,BENGALWTL,"Date, Time and Venue of 15th AGM",1,0,0,"date, time and venue of 15th agm"
33,2017-10-29,BENGALWTL,Price Limit Open,0,1,0,price limit open
34,2017-10-29,BENGALWTL,Dividend Declaration,0,1,0,dividend declaration
35,2017-10-18,BENGALWTL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
38,2017-04-27,BENGALWTL,Q3 Financials,1,0,0,q3 financials
