,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-02-11,BERGERPBL,Query Response,0,0,1,query response
2,2019-01-29,BERGERPBL,Q3 Financials,0,1,1,q3 financials
3,2019-01-23,BERGERPBL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2018-10-30,BERGERPBL,Q2 Financials,0,0,0,q2 financials
5,2018-10-24,BERGERPBL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
7,2018-10-15,BERGERPBL,Obtained Provisional Allotment letter for Industrial Land,1,0,0,obtained provisional allotment letter for industrial land
8,2018-08-20,BERGERPBL,Dividend Disbursement,1,0,0,dividend disbursement
9,2018-08-07,BERGERPBL,Dividend Disbursement,0,0,0,dividend disbursement
10,2018-07-18,BERGERPBL,Q1 Financials,0,1,0,q1 financials
11,2018-07-11,BERGERPBL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
12,2018-06-11,BERGERPBL,Resumption after record date,0,0,0,resumption after record date
13,2018-06-10,BERGERPBL,Suspension for Record Date,0,0,0,suspension for record date
14,2018-06-06,BERGERPBL,Spot News for EGM & AGM,1,1,0,spot news for egm  agm
15,2018-05-22,BERGERPBL,Price Limit Open,1,0,0,price limit open
18,2018-05-22,BERGERPBL,Dividend Declaration & Increasing of Authorized Capital,1,0,0,dividend declaration  increasing of authorized capital
19,2018-05-13,BERGERPBL,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
20,2018-01-30,BERGERPBL,Q3 Financials,0,1,0,q3 financials
21,2018-01-22,BERGERPBL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
22,2018-01-14,BERGERPBL,Decision to sign a Joint Venture Agreement,0,0,0,decision to sign a joint venture agreement
23,2017-10-31,BERGERPBL,Q2 Financials,1,1,0,q2 financials
24,2017-10-23,BERGERPBL,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
25,2017-08-20,BERGERPBL,Dividend Disbursement,0,0,0,dividend disbursement
26,2017-07-17,BERGERPBL,Q1Financials,0,1,0,q1financials
27,2017-07-11,BERGERPBL,Information for Margin Account Holder,1,0,1,information for margin account holder
28,2017-07-11,BERGERPBL,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
29,2017-06-14,BERGERPBL,Resumption after Record Date,0,1,0,resumption after record date
30,2017-06-13,BERGERPBL,Suspension for Record Date,1,0,1,suspension for record date
31,2017-06-11,BERGERPBL,Spot News,0,1,1,spot news
32,2017-05-25,BERGERPBL,Price Limit Open,0,0,0,price limit open
34,2017-05-25,BERGERPBL,Dividend Declaration,0,0,0,dividend declaration
35,2017-05-15,BERGERPBL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
36,2017-03-01,BERGERPBL,Interim Dividend Disbursement,0,1,0,interim dividend disbursement
37,2017-01-25,BERGERPBL,12 months Un-audited Financials,1,1,0,12 months un-audited financials
38,2017-01-25,BERGERPBL,Price Limit Open,1,1,0,price limit open
39,2017-01-25,BERGERPBL,Interim Cash Dividend Declaration,1,1,0,interim cash dividend declaration
40,2017-01-18,BERGERPBL,Board Meeting schedule under LR 16(1) & change of accounting year,1,1,0,board meeting schedule under lr 161  change of accounting year
41,2016-10-19,BERGERPBL,Q3 Financials,0,0,0,q3 financials
42,2016-10-13,BERGERPBL,Board Meeting,0,0,0,board meeting
43,2016-09-26,BERGERPBL,Change of Accounting Year,1,1,1,change of accounting year
44,2016-09-06,BERGERPBL,Changing Accounting year to April-March from January-December,1,0,0,changing accounting year to april-march from january-december
45,2016-07-28,BERGERPBL,Q2 Financials,1,0,0,q2 financials
46,2016-07-24,BERGERPBL,Board Meeting,0,1,1,board meeting
47,2016-04-19,BERGERPBL, Q1 Financials,1,0,0,q1 financials
48,2016-04-12,BERGERPBL,Updating of information,1,0,0,updating of information
49,2016-04-12,BERGERPBL,Board Meeting,1,0,0,board meeting
50,2016-04-04,BERGERPBL,Resumption after Record,0,1,1,resumption after record
51,2016-04-03,BERGERPBL,Suspension for Record,0,0,1,suspension for record
52,2016-03-30,BERGERPBL,Spot for AGM,1,1,0,spot for agm
53,2016-03-15,BERGERPBL,Price Limit Open,0,0,0,price limit open
54,2016-03-15,BERGERPBL,Dividend Declaration,0,0,0,dividend declaration
55,2016-03-07,BERGERPBL,Board Meeting,0,0,0,board meeting
56,2015-11-01,BERGERPBL,Q3,0,0,0,q3
57,2015-10-21,BERGERPBL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
58,2015-08-20,BERGERPBL,Resumption News after Record Date,0,0,0,resumption news after record date
59,2015-08-19,BERGERPBL, Suspension News for Record Date,0,0,0,suspension news for record date
60,2015-08-17,BERGERPBL,Spot News for Interim Dividend,0,0,0,spot news for interim dividend
61,2015-08-02,BERGERPBL,Q2 Financials,1,1,0,q2 financials
62,2015-08-02,BERGERPBL,Price Limit Open,1,1,0,price limit open
63,2015-08-02,BERGERPBL,Interim Cash Dividend Declaration,1,1,0,interim cash dividend declaration
64,2015-04-20,BERGERPBL,Quarterly Earnings,0,0,0,quarterly earnings
65,2015-03-30,BERGERPBL,Resumption after Record Date,0,1,0,resumption after record date
66,2015-03-29,BERGERPBL,Suspension News for Record date,0,0,1,suspension news for record date
67,2015-03-24,BERGERPBL,Spot News for AGM,0,1,0,spot news for agm
68,2015-03-18,BERGERPBL,Subscribing Ordinary shares of wholly owned subsidiary company,0,0,0,subscribing ordinary shares of wholly owned subsidiary company
69,2015-03-18,BERGERPBL,Price Limit Open,0,0,0,price limit open
70,2015-03-18,BERGERPBL,Dividend Declaration,0,0,0,dividend declaration
71,2015-03-12,BERGERPBL,Board Meeting schedule under LR 30,1,0,0,board meeting schedule under lr 30
72,2014-11-02,BERGERPBL,Q3 earnings,0,0,0,q3 earnings
73,2014-08-03,BERGERPBL,H/Y Earnings,0,0,0,hy earnings
74,2014-05-29,BERGERPBL,Sponsor/Director Share Transfer,1,0,0,sponsordirector share transfer
75,2014-05-20,BERGERPBL,Sponsor/Director Share Transfer,0,1,0,sponsordirector share transfer
76,2014-04-21,BERGERPBL,Q1 Earnings,0,0,1,q1 earnings
