,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,BEXIMCO,Q3 Financials,1,1,0,q3 financials
1,2019-04-21,BEXIMCO,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-01-31,BEXIMCO,Q2 Financials,0,0,0,q2 financials
3,2019-01-28,BEXIMCO,Credit Rating Result,0,0,0,credit rating result
4,2019-01-23,BEXIMCO,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
5,2019-01-21,BEXIMCO,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
6,2019-01-01,BEXIMCO,Stock Dividend Disbursement,1,0,1,stock dividend disbursement
7,2018-11-26,BEXIMCO,Resumption after record date,0,1,0,resumption after record date
8,2018-11-25,BEXIMCO,Suspension for Record date,0,0,1,suspension for record date
9,2018-11-20,BEXIMCO,Spot News,1,0,0,spot news
10,2018-11-14,BEXIMCO,Q1 Financials,1,0,0,q1 financials
11,2018-11-07,BEXIMCO,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
12,2018-10-28,BEXIMCO,Price Limit Open,0,1,0,price limit open
13,2018-10-28,BEXIMCO,Dividend Declaration,0,1,0,dividend declaration
14,2018-10-18,BEXIMCO,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
15,2018-04-30,BEXIMCO,Q3 Financials,1,0,0,q3 financials
16,2018-04-23,BEXIMCO,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
17,2018-04-08,BEXIMCO,Query Response,1,1,0,query response
18,2018-01-30,BEXIMCO,Q2 Financials,0,0,0,q2 financials
19,2018-01-28,BEXIMCO,Credit Rating Result,0,0,0,credit rating result
20,2018-01-23,BEXIMCO,Cash Dividend Disbursement,1,1,0,cash dividend disbursement
21,2018-01-22,BEXIMCO,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
22,2018-01-10,BEXIMCO,Stock Dividend Disbursement,0,0,0,stock dividend disbursement
23,2017-11-15,BEXIMCO,Resumption after record date,0,1,0,resumption after record date
24,2017-11-14,BEXIMCO,Suspension for Record Date,0,0,1,suspension for record date
25,2017-11-14,BEXIMCO,Q1 Financials,0,0,1,q1 financials
26,2017-11-12,BEXIMCO,Spot News,0,0,0,spot news
27,2017-11-07,BEXIMCO,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
28,2017-10-26,BEXIMCO,Price Limit Open,0,0,0,price limit open
30,2017-10-26,BEXIMCO,Dividend Declaration,0,0,0,dividend declaration
31,2017-10-22,BEXIMCO,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
32,2017-04-30,BEXIMCO,Q3 Financials,0,0,0,q3 financials
33,2017-04-23,BEXIMCO,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
34,2017-01-29,BEXIMCO,Q2 Financials,0,1,1,q2 financials
35,2017-01-22,BEXIMCO,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
36,2017-01-10,BEXIMCO,Query Response,1,0,1,query response
37,2016-11-27,BEXIMCO,Dividend Disbursement,0,1,0,dividend disbursement
38,2016-11-15,BEXIMCO,Q1 Financials,1,0,0,q1 financials
39,2016-11-09,BEXIMCO,Board Meeting,0,0,0,board meeting
40,2016-10-23,BEXIMCO,Credit Rating Result,0,0,0,credit rating result
41,2016-10-09,BEXIMCO,Price Limit Open,0,0,0,price limit open
42,2016-10-09,BEXIMCO,Dividend Declaration,0,0,0,dividend declaration
43,2016-09-29,BEXIMCO,Board Meeting,0,0,0,board meeting
44,2016-05-12,BEXIMCO,Resumption after Record date,0,0,0,resumption after record date
45,2016-05-11,BEXIMCO,Suspension for Record date,0,0,0,suspension for record date
46,2016-05-09,BEXIMCO,Spot News,0,0,0,spot news
47,2016-05-08,BEXIMCO,Postponement of AGM,0,0,0,postponement of agm
48,2016-04-21,BEXIMCO,Price Limit Open,0,0,0,price limit open
