,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,BGIC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-04-17,BGIC,Updating information,1,1,0,updating information
3,2019-04-17,BGIC,Price Limit Open,1,1,0,price limit open
4,2019-04-17,BGIC,Dividend Declaration,1,1,0,dividend declaration
5,2019-04-07,BGIC,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
6,2019-01-27,BGIC,Query Response (Repeat),0,0,1,query response repeat
7,2019-01-24,BGIC,Query Response,1,0,0,query response
8,2018-10-30,BGIC,Confirmation of Shares transmission of a late Sponsor to his successor,1,0,0,confirmation of shares transmission of a late sponsor to his successor
9,2018-10-29,BGIC,Share transmission of a late Sponsor to his successor,0,1,0,share transmission of a late sponsor to his successor
10,2018-10-28,BGIC,Q3 Financials,0,0,1,q3 financials
11,2018-10-22,BGIC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
12,2018-08-01,BGIC,Cash Dividend Disbursement,1,1,0,cash dividend disbursement
13,2018-07-29,BGIC,Q2 Financials,0,1,0,q2 financials
14,2018-07-24,BGIC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
15,2018-07-16,BGIC,Credit Rating Result,1,0,0,credit rating result
16,2018-05-21,BGIC,Resumption after record date,0,0,1,resumption after record date
17,2018-05-20,BGIC,Suspension for Record Date,1,0,0,suspension for record date
18,2018-05-16,BGIC,Spot News,1,0,0,spot news
19,2018-05-15,BGIC,Q1 Financials,0,1,0,q1 financials
20,2018-05-10,BGIC,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
21,2018-04-26,BGIC,Price Limit Open,1,0,0,price limit open
22,2018-04-26,BGIC,Dividend Declaration,1,0,0,dividend declaration
23,2018-04-18,BGIC,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
24,2017-10-25,BGIC,Q3 Financials,0,1,0,q3 financials
25,2017-10-19,BGIC,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
26,2017-07-26,BGIC,Q2 Financials,1,1,0,q2 financials
27,2017-07-24,BGIC,Credit Rating Result,0,1,1,credit rating result
28,2017-07-20,BGIC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
29,2017-07-16,BGIC,Dividend Disbursement,0,0,0,dividend disbursement
30,2017-05-18,BGIC,Resumption after Record Date,0,0,0,resumption after record date
31,2017-05-17,BGIC,Suspension for Record Date,0,0,0,suspension for record date
32,2017-05-16,BGIC,Q1 Financials,1,0,0,q1 financials
33,2017-05-15,BGIC,Spot News,1,1,0,spot news
34,2017-05-09,BGIC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
36,2017-04-25,BGIC,Updating information,0,0,1,updating information
37,2017-04-25,BGIC,Price Limit Open,0,0,1,price limit open
38,2017-04-25,BGIC,Dividend Declaration,0,0,1,dividend declaration
39,2017-04-17,BGIC,Board Meeting schedule under LR 19(1),1,0,1,board meeting schedule under lr 191
40,2016-10-30,BGIC,Q3 Financials,0,0,0,q3 financials
41,2016-10-24,BGIC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
42,2016-08-07,BGIC,Dividend Disbursement,0,1,1,dividend disbursement
43,2016-07-21,BGIC,Q2 Financials,1,0,0,q2 financials
44,2016-07-16,BGIC,Credit Rating Result,1,1,1,credit rating result
45,2016-05-24,BGIC,Resumption after Record date,0,1,0,resumption after record date
46,2016-05-22,BGIC,Suspension news,1,0,0,suspension news
47,2016-05-18,BGIC,Spot News for AGM,1,1,0,spot news for agm
48,2016-05-15,BGIC,Q1 Financials,1,0,1,q1 financials
49,2016-05-10,BGIC,Board Meeting,0,1,0,board meeting
50,2016-05-02,BGIC,Price Limit Open,1,1,0,price limit open
