,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,BIFC,Price Limit Open,1,0,0,price limit open
2,2019-04-28,BIFC,Dividend Declaration,1,0,0,dividend declaration
3,2019-04-17,BIFC,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
4,2019-01-08,BIFC,Query Response,0,1,0,query response
5,2018-10-29,BIFC,Q3 Financials,0,0,0,q3 financials
6,2018-10-22,BIFC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
7,2018-07-22,BIFC,New Venue of AGM,0,0,0,new venue of agm
8,2018-07-22,BIFC,Q2 Financials,0,0,0,q2 financials
9,2018-07-15,BIFC,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
12,2018-07-02,BIFC,Changes in audited financials and 1st quarterly unaudited financials,0,0,0,changes in audited financials and 1st quarterly unaudited financials
13,2018-06-10,BIFC,Resumption after record date,0,0,0,resumption after record date
14,2018-06-07,BIFC,Suspension for Record Date,0,0,0,suspension for record date
15,2018-05-27,BIFC,Spot News,0,0,0,spot news
18,2018-05-16,BIFC,Query Response on news on loan default status of Ex-Chairman,0,0,0,query response on news on loan default status of ex-chairman
19,2018-05-16,BIFC,Q1 Financials,0,0,0,q1 financials
20,2018-05-16,BIFC,"Date, time and venue of the AGM",0,0,0,"date, time and venue of the agm"
21,2018-05-10,BIFC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
22,2018-05-03,BIFC,Price Limit Open,0,0,0,price limit open
23,2018-05-03,BIFC,Dividend Declaration,0,0,0,dividend declaration
24,2018-04-23,BIFC,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
25,2017-10-30,BIFC,Q3 Financials,0,0,0,q3 financials
26,2017-10-25,BIFC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2017-09-14,BIFC,Venue of the AGM,1,0,0,venue of the agm
37,2017-07-25,BIFC,Basis for Qualified Opinion and Emphasis of Matter,0,1,0,basis for qualified opinion and emphasis of matter
38,2017-07-25,BIFC,Resumption after Record Date,0,1,0,resumption after record date
39,2017-07-24,BIFC,Suspension for Record Date,1,0,1,suspension for record date
40,2017-07-20,BIFC,Q2 Financials,0,0,0,q2 financials
41,2017-07-13,BIFC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
42,2017-07-11,BIFC,Spot News,1,0,0,spot news
43,2017-06-21,BIFC,Q1 Financials,1,0,0,q1 financials
44,2017-06-18,BIFC,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
45,2017-06-18,BIFC,Price Limit Open,1,0,1,price limit open
46,2017-06-18,BIFC,Dividend Declaration,1,0,1,dividend declaration
47,2017-06-08,BIFC,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
48,2017-01-22,BIFC,Credit Rating Result,1,1,0,credit rating result
49,2017-01-01,BIFC,Basis for Qualified Opinion,1,0,0,basis for qualified opinion
50,2016-12-28,BIFC,Query Response,1,0,0,query response
51,2016-11-07,BIFC,Resumption after record date,0,0,1,resumption after record date
52,2016-11-06,BIFC,Suspension for record date,0,0,0,suspension for record date
53,2016-10-31,BIFC,Q3 Financials,0,1,0,q3 financials
54,2016-10-31,BIFC,Q2 Financials,0,1,0,q2 financials
55,2016-10-31,BIFC,Q1 Financials,0,1,0,q1 financials
56,2016-10-24,BIFC,Spot for AGM,1,0,1,spot for agm
57,2016-10-23,BIFC,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
58,2016-10-13,BIFC,Price Limit Open,0,0,0,price limit open
59,2016-10-13,BIFC,Dividend Declaration,0,0,0,dividend declaration
60,2016-10-06,BIFC,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
61,2016-05-11,BIFC,Elected Chairman and Managing Director,0,0,0,elected chairman and managing director
62,2016-03-01,BIFC,Credit Rating Result,1,0,0,credit rating result
63,2015-11-01,BIFC,Q3,1,0,1,q3
64,2015-10-26,BIFC,Board Meeting,1,0,0,board meeting
65,2015-09-09,BIFC,Postponement of the 19th AGM,1,0,0,postponement of the 19th agm
66,2015-08-27,BIFC,Change of Date and Time of 19th AGM,0,0,0,change of date and time of 19th agm
67,2015-08-06,BIFC,Q2 Financials,0,0,0,q2 financials
68,2015-07-23,BIFC,Q1 Financials,0,0,0,q1 financials
69,2015-07-23,BIFC,Resumption News after Record Date,0,0,0,resumption news after record date
70,2015-07-22,BIFC,Suspension News for Record Date,0,0,0,suspension news for record date
71,2015-07-21,BIFC,Managing Director and CEO,0,0,0,managing director and ceo
72,2015-07-05,BIFC,Spot News for AGM,0,1,0,spot news for agm
73,2015-06-29,BIFC,Prohibition on providing loan facilities to purchase securities,1,0,0,prohibition on providing loan facilities to purchase securities
74,2015-06-29,BIFC,Category Change,1,0,0,category change
75,2015-06-29,BIFC, Price Limit Open,1,0,0,price limit open
76,2015-06-29,BIFC,Dividend Declaration,1,0,0,dividend declaration
77,2015-06-23,BIFC,Board Meeting,0,0,0,board meeting
78,2015-03-03,BIFC,Credit Rating,0,1,0,credit rating
79,2014-11-02,BIFC,Q3 earnings,0,0,0,q3 earnings
80,2014-10-19,BIFC,trade resume,0,1,1,trade resume
81,2014-10-16,BIFC,trade suspended,0,0,0,trade suspended
82,2014-10-14,BIFC,Spot Market,1,1,0,spot market
83,2014-09-28,BIFC,subscription and record date,0,0,0,subscription and record date
84,2014-09-23,BIFC,objective of Rights shares,0,0,0,objective of rights shares
85,2014-09-23,BIFC,Rights Offer Approved,0,0,0,rights offer approved
86,2014-07-24,BIFC,H/Y Earnings,0,0,0,hy earnings
87,2014-05-22,BIFC,credited the Bonus shares,0,0,0,credited the bonus shares
88,2014-05-15,BIFC,Q1 Earnings,0,0,0,q1 earnings
89,2014-04-15,BIFC,AGM Rescheduled,0,0,0,agm rescheduled
90,2014-04-03,BIFC,trade resume,0,0,0,trade resume
91,2014-04-02,BIFC,trade suspension,1,0,0,trade suspension
92,2014-03-30,BIFC,Spot Market Transaction,0,0,1,spot market transaction
93,2014-03-24,BIFC,no price limit,0,0,0,no price limit
94,2014-03-24,BIFC,recommended 5% stock dividend,0,0,0,recommended 5 stock dividend
95,2014-03-19,BIFC,meeting of the Board of Directors,0,1,0,meeting of the board of directors
96,2013-12-29,BIFC,Credit Rating,1,0,0,credit rating
97,2013-12-02,BIFC,right issue declined by BSEC,0,1,0,right issue declined by bsec
98,2013-10-31,BIFC,Q3 Earnings,1,0,0,q3 earnings
99,2013-07-31,BIFC,Q2 Earnings,0,0,0,q2 earnings
100,2013-07-28,BIFC,bonus shares,0,0,0,bonus shares
101,2013-07-04,BIFC,Category Change,0,0,0,category change
102,2013-06-03,BIFC,Trade Resume after Record Date,0,0,1,trade resume after record date
103,2013-06-02,BIFC,Trade Suspension on Record Date,1,0,0,trade suspension on record date
104,2013-05-28,BIFC,Spot Market Trading,0,0,0,spot market trading
105,2013-05-20,BIFC,Corporate Declaration,0,0,0,corporate declaration
106,2013-05-15,BIFC,Q1 Earnings,1,1,0,q1 earnings
107,2013-05-14,BIFC,Board Meeting,1,1,1,board meeting
108,2013-01-17,BIFC,,0,0,0,
109,2013-01-01,BIFC,Asset Revaluation,0,0,0,asset revaluation
110,2012-12-19,BIFC,EGM date changed,1,0,0,egm date changed
111,2012-11-22,BIFC,trade will remain suspended on Record Date,0,0,0,trade will remain suspended on record date
112,2012-11-13,BIFC,credit rating,0,0,1,credit rating
113,2012-10-31,BIFC,Q3 Earnings 2012,0,0,0,q3 earnings 2012
114,2012-05-28,BIFC,- Normal trading of the shares...,0,0,1,normal trading of the shares
115,2012-05-22,BIFC,- Trading of the shares...,0,1,0,trading of the shares
116,2012-05-17,BIFC,- The Board of Directors ...,1,0,0,the board of directors
117,2012-05-17,BIFC,- There will be no price limit...,1,0,0,there will be no price limit
118,2012-05-13,BIFC,- As per regulation...,0,0,0,as per regulation
119,2011-11-15,BIFC,- Normal trading...,0,1,1,normal trading
120,2011-11-14,BIFC,- Trading of the shares...,0,0,1,trading of the shares
121,2011-11-02,BIFC,- Trading of the shares...,0,1,0,trading of the shares
122,2011-11-01,BIFC,- The Company has informed...,1,0,1,the company has informed
