,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
1,2019-04-30,BRACBANK,Disclosure Program on unaudited quarterly financial statements,0,0,0,disclosure program on unaudited quarterly financial statements
2,2019-04-30,BRACBANK,Q1 Financials,0,0,0,q1 financials
3,2019-04-23,BRACBANK,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
4,2019-04-11,BRACBANK,Resumption after record date,0,0,0,resumption after record date
5,2019-04-10,BRACBANK,Suspension for Record Date,0,0,0,suspension for record date
6,2019-04-08,BRACBANK,Spot News,0,0,0,spot news
8,2019-03-24,BRACBANK,Conference on Audited Financial Statements,0,1,0,conference on audited financial statements
9,2019-03-24,BRACBANK,Price Limit Open,0,1,0,price limit open
10,2019-03-24,BRACBANK,Dividend Declaration,0,1,0,dividend declaration
11,2019-03-13,BRACBANK,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
12,2018-10-31,BRACBANK,Q3 Financials,0,0,0,q3 financials
14,2018-10-28,BRACBANK,Disclosure Program on unaudited quarterly financial statements,1,1,1,disclosure program on unaudited quarterly financial statements
15,2018-10-24,BRACBANK,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
17,2018-07-29,BRACBANK,Disclosure Program on unaudited quarterly financial statements,0,0,1,disclosure program on unaudited quarterly financial statements
18,2018-07-26,BRACBANK,Land Purchase Decision,0,0,0,land purchase decision
19,2018-07-26,BRACBANK,Q2 Financials,0,0,0,q2 financials
20,2018-07-22,BRACBANK,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
21,2018-07-18,BRACBANK,Increase of Authorized Capital after approval from Bangladesh Bank,1,0,0,increase of authorized capital after approval from bangladesh bank
22,2018-07-11,BRACBANK,Credit Rating Result,1,0,0,credit rating result
23,2018-07-02,BRACBANK,Credit Rating Result,0,0,1,credit rating result
24,2018-06-28,BRACBANK,Credit Rating Result,0,0,0,credit rating result
25,2018-05-13,BRACBANK,Dividend Disbursement,1,1,0,dividend disbursement
28,2018-04-30,BRACBANK,Board decision of a Share Purchase and Subscription Agreement,0,0,0,board decision of a share purchase and subscription agreement
29,2018-04-30,BRACBANK,Q1 Financials,0,0,0,q1 financials
30,2018-04-23,BRACBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
31,2018-04-11,BRACBANK,Resumption after record date,0,1,0,resumption after record date
32,2018-04-10,BRACBANK,Suspension for Record Date,0,0,1,suspension for record date
33,2018-04-08,BRACBANK,Spot News,0,1,0,spot news
34,2018-04-03,BRACBANK,Resumption after record date,0,1,1,resumption after record date
35,2018-04-02,BRACBANK,Suspension for Record Date,0,0,1,suspension for record date
36,2018-03-29,BRACBANK,Spot News for EGM,1,0,0,spot news for egm
37,2018-03-25,BRACBANK,Price Limit Open,0,0,0,price limit open
38,2018-03-25,BRACBANK,Dividend Declaration,0,0,0,dividend declaration
39,2018-03-14,BRACBANK,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
40,2018-03-14,BRACBANK,Increase of Authorized Capital and amendment of Clauses,0,1,0,increase of authorized capital and amendment of clauses
41,2017-10-31,BRACBANK,Buy confirmation of a Nominated Director,0,1,0,buy confirmation of a nominated director
42,2017-10-26,BRACBANK,Buy declaration of a Nominated Director,1,0,0,buy declaration of a nominated director
43,2017-10-26,BRACBANK,Q3 Financials,1,0,0,q3 financials
44,2017-10-19,BRACBANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
45,2017-10-10,BRACBANK,A strategic investor may acquire minority shareholding in bKash,1,1,1,a strategic investor may acquire minority shareholding in bkash
46,2017-08-28,BRACBANK,"Off-loading 1,034 shares of a subsidiary in favor of BRAC",1,0,1,"off-loading 1,034 shares of a subsidiary in favor of brac"
47,2017-07-31,BRACBANK,Q2 Financials,0,0,0,q2 financials
48,2017-07-24,BRACBANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
49,2017-06-07,BRACBANK,Credit Rating Result,0,0,0,credit rating result
50,2017-05-29,BRACBANK,Dividend Disbursement,1,1,1,dividend disbursement
51,2017-05-16,BRACBANK,Dividend Disbursement,1,0,1,dividend disbursement
52,2017-05-09,BRACBANK,Q1 Financials,0,0,0,q1 financials
53,2017-05-02,BRACBANK,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
54,2017-04-10,BRACBANK,Resumption after record date,0,0,0,resumption after record date
