,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,BSCCL,Q3 Financials,0,0,0,q3 financials
1,2019-04-17,BSCCL,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
2,2019-02-25,BSCCL,Query Response,0,0,1,query response
4,2019-01-31,BSCCL,Q2 Financials,1,0,0,q2 financials
5,2019-01-24,BSCCL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
6,2019-01-21,BSCCL,Query Response,0,1,1,query response
7,2018-12-11,BSCCL,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
8,2018-11-22,BSCCL,Qualified Opinion,0,0,0,qualified opinion
9,2018-11-14,BSCCL,Q1 Financials,0,0,0,q1 financials
10,2018-11-08,BSCCL,Prohibition on providing loan facilities to purchase securities,1,0,0,prohibition on providing loan facilities to purchase securities
11,2018-11-08,BSCCL,Category Change,1,0,0,category change
12,2018-11-06,BSCCL,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
13,2018-10-18,BSCCL,Resumption after Record Date,0,0,0,resumption after record date
14,2018-10-17,BSCCL,Suspension for Record Date,0,0,0,suspension for record date
15,2018-10-15,BSCCL,Spot News,1,0,0,spot news
16,2018-09-30,BSCCL,Price Limit Open,0,0,1,price limit open
17,2018-09-30,BSCCL,Dividend Declaration,0,0,1,dividend declaration
18,2018-09-18,BSCCL,Reschedule of Board Meeting under LR 19(1),0,0,0,reschedule of board meeting under lr 191
19,2018-09-17,BSCCL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
20,2018-09-04,BSCCL,Query Response,1,1,0,query response
21,2018-04-22,BSCCL,Q3 Financials,0,0,0,q3 financials
22,2018-04-10,BSCCL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
23,2018-01-29,BSCCL,Q2 Financials,0,0,0,q2 financials
24,2018-01-16,BSCCL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
25,2017-11-20,BSCCL,Dividend Disbursement,1,0,1,dividend disbursement
26,2017-11-12,BSCCL,Q1 Financials,0,0,1,q1 financials
27,2017-11-07,BSCCL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
28,2017-10-11,BSCCL,Basis for Qualified Opinion,0,0,0,basis for qualified opinion
29,2017-09-21,BSCCL,Date change of AGM,1,0,0,date change of agm
30,2017-09-20,BSCCL,Resumption after Record Date,0,1,0,resumption after record date
31,2017-09-19,BSCCL,Suspension for Record Date,0,0,1,suspension for record date
32,2017-09-17,BSCCL,Spot News,0,0,0,spot news
