,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,BSRMLTD,Q3 Financials,1,0,0,q3 financials
1,2019-04-25,BSRMLTD,Conference on unaudited quarterly financial statements,0,0,0,conference on unaudited quarterly financial statements
2,2019-04-18,BSRMLTD,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
3,2019-01-22,BSRMLTD,Q2 Financials,0,0,0,q2 financials
4,2019-01-16,BSRMLTD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
5,2019-01-03,BSRMLTD,Dividend Disbursement,1,0,0,dividend disbursement
7,2018-12-20,BSRMLTD,Decision to invest approximately Tk. 39.00 crore in BMS Steel Limited,0,0,0,decision to invest approximately tk. 39.00 crore in bms steel limited
8,2018-11-11,BSRMLTD,Q1 Financials,0,0,0,q1 financials
9,2018-11-05,BSRMLTD,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
10,2018-10-29,BSRMLTD,Credit Rating Result,0,1,0,credit rating result
11,2018-10-21,BSRMLTD,Resumption after Record Date,0,0,1,resumption after record date
12,2018-10-18,BSRMLTD,Suspension for Record Date,0,0,0,suspension for record date
13,2018-10-16,BSRMLTD,Spot News,0,0,0,spot news
14,2018-09-26,BSRMLTD,Dividend Declaration,0,0,0,dividend declaration
16,2018-09-26,BSRMLTD,Price Limit Open,0,0,0,price limit open
17,2018-09-18,BSRMLTD,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
18,2018-06-07,BSRMLTD,Incorporation of a Subsidiary Company,0,0,0,incorporation of a subsidiary company
19,2018-04-26,BSRMLTD,Q3 Financials,1,0,0,q3 financials
20,2018-04-19,BSRMLTD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
21,2018-01-30,BSRMLTD,Q2 Financials,0,0,0,q2 financials
22,2018-01-24,BSRMLTD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
23,2017-11-08,BSRMLTD,Q1 Financials,0,0,0,q1 financials
24,2017-11-02,BSRMLTD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
25,2017-10-29,BSRMLTD,Dividend Disbursement,0,0,1,dividend disbursement
26,2017-10-22,BSRMLTD,Credit Rating Result,1,0,0,credit rating result
27,2017-09-07,BSRMLTD,Resumption after Record Date,0,0,0,resumption after record date
28,2017-09-06,BSRMLTD,Suspension for Record Date,1,0,0,suspension for record date
29,2017-09-04,BSRMLTD,Spot News,0,1,1,spot news
30,2017-08-13,BSRMLTD,Price Limit Open,0,0,0,price limit open
31,2017-08-13,BSRMLTD,Dividend Declaration,0,0,0,dividend declaration
32,2017-08-13,BSRMLTD,Dividend Declaration,0,0,0,dividend declaration
33,2017-08-03,BSRMLTD,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
34,2017-06-06,BSRMLTD,Land Purchase,0,0,0,land purchase
35,2017-04-25,BSRMLTD,Q3 Financials,0,1,0,q3 financials
36,2017-04-16,BSRMLTD,Reschedule of Board Meeting under LR 16(1),0,0,1,reschedule of board meeting under lr 161
37,2017-04-13,BSRMLTD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
38,2017-03-01,BSRMLTD,Interim Dividend Disbursement,0,0,0,interim dividend disbursement
39,2017-01-29,BSRMLTD,Q2 Financials,1,1,1,q2 financials
40,2017-01-29,BSRMLTD,Price Limit Open,1,1,1,price limit open
41,2017-01-29,BSRMLTD,Interim Dividend Declaration,1,1,1,interim dividend declaration
42,2017-01-19,BSRMLTD,Board Meeting,1,0,0,board meeting
43,2016-12-22,BSRMLTD,Floor Purchase,0,0,0,floor purchase
44,2016-11-13,BSRMLTD,Q1 Financials,0,1,1,q1 financials
45,2016-10-09,BSRMLTD,6 Months Audited,0,0,0,6 months audited
46,2016-09-29,BSRMLTD,Board Meeting,0,0,0,board meeting
47,2016-09-20,BSRMLTD,Credit Rating Result,0,0,0,credit rating result
48,2016-06-16,BSRMLTD,Starting of Commercial Production of an Associated Company,0,0,0,starting of commercial production of an associated company
49,2016-05-11,BSRMLTD,Confirmation of sale by a Corporate Sponsor,0,0,0,confirmation of sale by a corporate sponsor
50,2016-05-09,BSRMLTD,Q1,0,0,0,q1
51,2016-05-03,BSRMLTD,Dividend Disbursement,1,1,0,dividend disbursement
52,2016-05-03,BSRMLTD,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
53,2016-04-25,BSRMLTD,Declaration of sale,0,0,0,declaration of sale
54,2016-03-03,BSRMLTD,Resumption after Record date,0,0,0,resumption after record date
55,2016-03-02,BSRMLTD,Enquiry Committee formation by BSEC,0,0,0,enquiry committee formation by bsec
56,2016-03-02,BSRMLTD,Suspension for Record Date,0,0,0,suspension for record date
57,2016-02-29,BSRMLTD,Spot for AGM,1,0,0,spot for agm
58,2016-02-29,BSRMLTD,Query Response,1,0,0,query response
59,2016-02-11,BSRMLTD,Price Limit Open,1,0,0,price limit open
60,2016-02-11,BSRMLTD,Dividend Declaration,1,0,0,dividend declaration
61,2016-02-03,BSRMLTD,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
62,2015-12-09,BSRMLTD,Starting of commercial production after completion of BMRE,0,0,0,starting of commercial production after completion of bmre
63,2015-10-18,BSRMLTD,Q3 Financials,0,0,0,q3 financials
64,2015-10-12,BSRMLTD,Board Meeting,1,0,0,board meeting
65,2015-09-20,BSRMLTD,Query Response,0,0,1,query response
66,2015-09-13,BSRMLTD,Land Purchase,1,0,1,land purchase
67,2015-08-03,BSRMLTD,Query Response,1,0,0,query response
68,2015-07-28,BSRMLTD,Query Response,1,0,1,query response
69,2015-07-22,BSRMLTD,Category Change,0,1,0,category change
70,2015-07-22,BSRMLTD,Dividend Disbursement,0,1,0,dividend disbursement
71,2015-07-14,BSRMLTD,Half Yearly Financials,1,0,0,half yearly financials
72,2015-07-07,BSRMLTD,Credit Rating Result,1,0,0,credit rating result
73,2015-05-28,BSRMLTD,Query Response,1,0,0,query response
74,2015-05-25,BSRMLTD,Q1 Financials,1,1,1,q1 financials
75,2015-05-17,BSRMLTD,Q1 Financials,1,0,1,q1 financials
76,2015-05-13,BSRMLTD,Resumption News after Record Date,0,1,0,resumption news after record date
77,2015-05-12,BSRMLTD,Suspension News for Record Date,0,0,1,suspension news for record date
78,2015-05-10,BSRMLTD,Spot News for AGM,1,0,0,spot news for agm
79,2015-05-04,BSRMLTD,Price Limit Open,0,1,1,price limit open
80,2015-05-04,BSRMLTD,Dividend Declaration,0,1,1,dividend declaration
81,2015-04-29,BSRMLTD,Board Meeting schedule under LR 30,0,0,0,board meeting schedule under lr 30
82,2015-04-27,BSRMLTD,issue Ordinary shares,1,0,0,issue ordinary shares
83,2015-04-27,BSRMLTD,Q3,1,0,0,q3
84,2015-04-27,BSRMLTD,Trade Debut,1,0,0,trade debut
