,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,BXPHARMA,Q3 Financials,0,1,0,q3 financials
1,2019-04-21,BXPHARMA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-01-30,BXPHARMA,Q2 Financials,0,0,0,q2 financials
3,2019-01-23,BXPHARMA,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
4,2019-01-21,BXPHARMA,Cash Dividend Disbursement,1,1,0,cash dividend disbursement
5,2018-11-26,BXPHARMA,Resumption after record date,0,1,0,resumption after record date
6,2018-11-25,BXPHARMA,Suspension for Record date,0,0,1,suspension for record date
7,2018-11-20,BXPHARMA,Spot News,1,0,1,spot news
8,2018-11-14,BXPHARMA,Q1 Financials,0,1,0,q1 financials
9,2018-11-07,BXPHARMA,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
10,2018-10-28,BXPHARMA,Price Limit Open,0,1,1,price limit open
12,2018-10-28,BXPHARMA,Dividend Declaration and holding an EGM to amend certain clauses,0,1,1,dividend declaration and holding an egm to amend certain clauses
13,2018-10-18,BXPHARMA,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
14,2018-08-08,BXPHARMA,Credit Rating Result,0,0,0,credit rating result
15,2018-04-30,BXPHARMA,Q3 Financials,0,0,0,q3 financials
16,2018-04-23,BXPHARMA,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
18,2018-04-03,BXPHARMA,Completes acquisition of a majority stake in Nuvista Pharma Limited,0,0,1,completes acquisition of a majority stake in nuvista pharma limited
19,2018-01-29,BXPHARMA,Q2 Financials,1,0,1,q2 financials
20,2018-01-22,BXPHARMA,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
21,2018-01-18,BXPHARMA,Dividend Disbursement,0,0,0,dividend disbursement
22,2017-11-15,BXPHARMA,Resumption after record date,0,1,0,resumption after record date
23,2017-11-14,BXPHARMA,Suspension for Record Date,0,0,1,suspension for record date
24,2017-11-13,BXPHARMA,Q1 Financials,0,0,0,q1 financials
25,2017-11-12,BXPHARMA,Spot News,0,0,0,spot news
26,2017-11-07,BXPHARMA,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
27,2017-10-26,BXPHARMA,Price Limit Open,0,0,0,price limit open
29,2017-10-26,BXPHARMA,Dividend Declaration,0,0,0,dividend declaration
30,2017-10-19,BXPHARMA,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
31,2017-10-08,BXPHARMA,Signed a MOU to acquire stake in Nuvista Pharma Ltd.,1,0,0,signed a mou to acquire stake in nuvista pharma ltd.
32,2017-10-08,BXPHARMA,Signed a MOU to acquire stake in Nuvista Pharma Ltd.,1,0,0,signed a mou to acquire stake in nuvista pharma ltd.
33,2017-10-08,BXPHARMA,Signed a MOU to acquire stake in Nuvista Pharma Ltd.,1,0,0,signed a mou to acquire stake in nuvista pharma ltd.
34,2017-06-11,BXPHARMA,Credit Rating Result,0,0,0,credit rating result
35,2017-04-27,BXPHARMA,Q3 Financials,0,0,0,q3 financials
36,2017-04-23,BXPHARMA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
37,2017-04-06,BXPHARMA,Query Response,0,0,0,query response
38,2017-01-26,BXPHARMA,Q2 Financials,1,0,0,q2 financials
39,2017-01-22,BXPHARMA, Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
40,2016-12-15,BXPHARMA,Dividend Disbursement,0,0,0,dividend disbursement
41,2016-12-11,BXPHARMA,Dividend Disbursement,0,0,0,dividend disbursement
42,2016-11-15,BXPHARMA,Q1 Financials,0,0,1,q1 financials
43,2016-11-09,BXPHARMA,Board Meeting,1,1,0,board meeting
44,2016-11-01,BXPHARMA,Resumption after record date,1,1,1,resumption after record date
45,2016-10-31,BXPHARMA,Suspension,1,1,1,suspension
46,2016-10-27,BXPHARMA,Spot for AGM,0,0,0,spot for agm
47,2016-10-09,BXPHARMA,Price Limit Open,0,0,0,price limit open
48,2016-10-09,BXPHARMA,Dividend Declaration,0,0,0,dividend declaration
49,2016-09-29,BXPHARMA,Board Meeting,1,0,0,board meeting
50,2016-06-30,BXPHARMA,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
51,2016-05-12,BXPHARMA,Resumption after Record date,0,0,0,resumption after record date
52,2016-05-11,BXPHARMA,Suspension for Record date,0,0,0,suspension for record date
53,2016-05-09,BXPHARMA,Spot News,0,1,0,spot news
54,2016-05-08,BXPHARMA,Postponement of AGM,1,0,1,postponement of agm
55,2016-04-21,BXPHARMA,Price Limit Open,0,0,0,price limit open
56,2016-04-21,BXPHARMA,Dividend Declaration,0,0,0,dividend declaration
57,2016-04-13,BXPHARMA,Board Meeting,0,0,0,board meeting
58,2016-01-03,BXPHARMA,Credit Rating Result,1,1,1,credit rating result
59,2015-10-27,BXPHARMA,Q3 Financials,0,1,0,q3 financials
60,2015-10-20,BXPHARMA,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
61,2015-07-26,BXPHARMA,Half Yearly Financials,1,0,1,half yearly financials
62,2015-07-12,BXPHARMA,Dividend Disbursement,1,0,1,dividend disbursement
63,2015-06-22,BXPHARMA,Dividend Disbursement,1,1,0,dividend disbursement
64,2015-05-21,BXPHARMA,Resumption News after Record Date,0,0,0,resumption news after record date
65,2015-05-20,BXPHARMA,Suspension News for Record Date,0,0,0,suspension news for record date
66,2015-05-18,BXPHARMA,Spot News for AGM,0,1,0,spot news for agm
67,2015-05-14,BXPHARMA,Q1 Financials,0,0,0,q1 financials
68,2015-04-29,BXPHARMA,Price Limit Open,1,0,0,price limit open
69,2015-04-29,BXPHARMA,Dividend Declaration,1,0,0,dividend declaration
70,2015-04-23,BXPHARMA,Board Meeeting,0,0,0,board meeeting
71,2015-01-28,BXPHARMA,Loan Agreement,0,0,0,loan agreement
72,2014-12-08,BXPHARMA,Credit Rating,0,0,0,credit rating
73,2014-10-30,BXPHARMA,Q3 Earnings,0,0,0,q3 earnings
74,2014-07-24,BXPHARMA,H/Y Earnings,0,0,0,hy earnings
75,2014-07-14,BXPHARMA,cash dividend,1,1,1,cash dividend
76,2014-06-26,BXPHARMA,credited the bonus shares,1,0,0,credited the bonus shares
77,2014-05-18,BXPHARMA,trade resume,0,0,1,trade resume
78,2014-05-15,BXPHARMA,will resume after record date,0,0,0,will resume after record date
79,2014-05-14,BXPHARMA,Q1 Earnings,0,0,0,q1 earnings
80,2014-05-12,BXPHARMA,Spot Market and Block/Odd lot transactions,0,0,0,spot market and blockodd lot transactions
81,2014-04-29,BXPHARMA,no price limit,0,0,0,no price limit
82,2014-04-29,BXPHARMA,10% Cash Dividend,0,0,0,10 cash dividend
83,2014-04-27,BXPHARMA,Board Meeting,0,0,0,board meeting
84,2013-10-31,BXPHARMA,Q3 Earnings,1,0,0,q3 earnings
85,2013-07-30,BXPHARMA,Q2 Earnings,0,0,0,q2 earnings
86,2013-05-20,BXPHARMA,Trading Resume after Record Date,0,0,0,trading resume after record date
87,2013-05-19,BXPHARMA,Trade Suspension on Record Date,0,0,0,trade suspension on record date
88,2013-05-15,BXPHARMA,Q1 Earnings,0,0,0,q1 earnings
89,2013-05-14,BXPHARMA,Spot Market Trading,1,0,0,spot market trading
90,2013-04-30,BXPHARMA,Corporate Declaration,0,0,0,corporate declaration
91,2013-04-25,BXPHARMA,Board meeting,1,0,0,board meeting
92,2012-10-31,BXPHARMA,Q3 Earnings 2012,0,0,0,q3 earnings 2012
93,2012-07-08,BXPHARMA,- The Company has informed ...,0,0,0,the company has informed
94,2012-05-21,BXPHARMA,- Normal trading of the shares...,0,0,0,normal trading of the shares
95,2012-05-15,BXPHARMA,- Trading of the shares ...,0,0,1,trading of the shares
96,2012-05-10,BXPHARMA,- Mr. A S F Rahman...,1,0,0,mr. a s f rahman
97,2012-04-23,BXPHARMA,- As per regulation...,0,0,0,as per regulation
98,2012-01-24,BXPHARMA,- Mr. Salman F Rahman...,0,1,0,mr. salman f rahman
99,2011-12-11,BXPHARMA,- Mr. Salman F Rahman...,1,0,1,mr. salman f rahman
100,2011-10-30,BXPHARMA,- As per un-audited...,0,0,1,as per un-audited
101,2011-07-31,BXPHARMA,- (H/Y): As per un-audited...,0,0,0,hy: as per un-audited
102,2011-07-13,BXPHARMA,- In response to a DSE query...,0,0,0,in response to a dse query
103,2011-07-07,BXPHARMA,- The Company has informed...,1,0,0,the company has informed
