,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,BXSYNTH,Q3 Financials,0,1,0,q3 financials
1,2019-04-21,BXSYNTH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-01-31,BXSYNTH,Q2 Financials,0,0,0,q2 financials
3,2019-01-23,BXSYNTH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-01-07,BXSYNTH,Query Response,0,0,1,query response
5,2018-11-26,BXSYNTH,Resumption after record date,0,1,0,resumption after record date
6,2018-11-25,BXSYNTH,Suspension for Record date,1,0,1,suspension for record date
7,2018-11-14,BXSYNTH,Q1 Financials,0,0,0,q1 financials
8,2018-11-11,BXSYNTH,Spot News,1,1,0,spot news
9,2018-11-07,BXSYNTH,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
10,2018-10-28,BXSYNTH,Price Limit Open,0,0,0,price limit open
11,2018-10-28,BXSYNTH,Dividend Declaration,0,0,0,dividend declaration
12,2018-10-18,BXSYNTH,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
13,2018-04-30,BXSYNTH,Q3 Financials,1,0,0,q3 financials
14,2018-04-23,BXSYNTH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
15,2018-02-13,BXSYNTH,Query Response (Repeat),1,1,0,query response repeat
16,2018-02-12,BXSYNTH,Query Response,0,1,1,query response
17,2018-01-30,BXSYNTH,Q2 Financials,0,0,1,q2 financials
18,2018-01-22,BXSYNTH,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
19,2018-01-21,BXSYNTH,Query Response,1,0,1,query response
20,2017-11-15,BXSYNTH,Resumption after record date,0,1,0,resumption after record date
21,2017-11-14,BXSYNTH,Suspension for Record Date,0,0,1,suspension for record date
22,2017-11-14,BXSYNTH,Q1 Financials,0,0,1,q1 financials
23,2017-11-07,BXSYNTH,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
24,2017-11-01,BXSYNTH,Spot News,1,1,0,spot news
25,2017-10-26,BXSYNTH,Price Limit Open,1,0,0,price limit open
27,2017-10-26,BXSYNTH,Dividend Declaration,1,0,0,dividend declaration
28,2017-10-22,BXSYNTH,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
29,2017-09-19,BXSYNTH,Credit Rating Result,1,0,1,credit rating result
30,2017-04-30,BXSYNTH,Q3 Financials,0,0,1,q3 financials
31,2017-04-23,BXSYNTH,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
32,2017-01-29,BXSYNTH,Q2 Financials,0,0,1,q2 financials
33,2017-01-22,BXSYNTH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
34,2017-01-09,BXSYNTH,Query Response,1,1,0,query response
35,2016-12-08,BXSYNTH,Q1 Financials,1,0,0,q1 financials
36,2016-11-15,BXSYNTH,Q1 Financials,0,1,0,q1 financials
37,2016-11-09,BXSYNTH,Board Meeting,1,0,0,board meeting
38,2016-10-09,BXSYNTH,Price Limit Open,1,0,0,price limit open
