,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
1,2019-04-24,CAPMBDBLMF,Q3 Financials,0,1,0,q3 financials
2,2019-04-21,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
3,2019-04-18,CAPMBDBLMF,Trustee Committee Meeting schedule under LR 16(1),0,0,0,trustee committee meeting schedule under lr 161
4,2019-04-15,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
5,2019-04-07,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
6,2019-03-31,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
7,2019-03-24,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
8,2019-03-18,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
9,2019-03-10,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
10,2019-03-03,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
11,2019-02-24,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
12,2019-02-17,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
13,2019-02-10,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
14,2019-02-03,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
15,2019-01-27,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
16,2019-01-24,CAPMBDBLMF,Q2 Financials,1,0,0,q2 financials
17,2019-01-20,CAPMBDBLMF,Weekly NAV,1,0,0,weekly nav
18,2019-01-17,CAPMBDBLMF,Trustee Committee Meeting schedule under LR 16(1),0,0,0,trustee committee meeting schedule under lr 161
19,2019-01-13,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
20,2019-01-06,CAPMBDBLMF,Weekly NAV,1,1,1,weekly nav
21,2019-01-01,CAPMBDBLMF,Weekly NAV,1,0,0,weekly nav
22,2019-01-01,CAPMBDBLMF,Weekly NAV,1,0,0,weekly nav
23,2018-12-23,CAPMBDBLMF,Weekly NAV,0,1,0,weekly nav
24,2018-12-17,CAPMBDBLMF,Weekly NAV,1,0,0,weekly nav
25,2018-12-09,CAPMBDBLMF,Weekly NAV,0,1,0,weekly nav
26,2018-12-02,CAPMBDBLMF,Weekly NAV,1,0,1,weekly nav
27,2018-11-25,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
28,2018-11-18,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
29,2018-11-11,CAPMBDBLMF,Weekly NAV,1,0,0,weekly nav
30,2018-11-04,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
31,2018-10-28,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
32,2018-10-21,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
33,2018-10-15,CAPMBDBLMF,Q1 Financials,0,0,0,q1 financials
34,2018-10-14,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
35,2018-10-10,CAPMBDBLMF,Trustee Meeting schedule under LR 16(1),0,0,0,trustee meeting schedule under lr 161
36,2018-10-07,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
37,2018-10-02,CAPMBDBLMF,Dividend Disbursement,0,0,0,dividend disbursement
38,2018-09-30,CAPMBDBLMF,Weekly NAV,1,0,0,weekly nav
39,2018-09-23,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
40,2018-09-23,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
41,2018-09-16,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
42,2018-09-09,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
43,2018-09-04,CAPMBDBLMF,Resumption after record date,0,0,0,resumption after record date
44,2018-09-03,CAPMBDBLMF,Suspension for Record Date,0,0,0,suspension for record date
45,2018-09-03,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
46,2018-08-29,CAPMBDBLMF,Spot News,0,0,0,spot news
47,2018-08-26,CAPMBDBLMF,Weekly NAV,1,0,0,weekly nav
48,2018-08-19,CAPMBDBLMF,Weekly NAV,0,1,0,weekly nav
49,2018-08-13,CAPMBDBLMF,Updating information,0,1,0,updating information
50,2018-08-12,CAPMBDBLMF,Weekly NAV,0,0,1,weekly nav
51,2018-08-09,CAPMBDBLMF,Price Limit Open,1,0,0,price limit open
52,2018-08-09,CAPMBDBLMF,Dividend Declaration,1,0,0,dividend declaration
53,2018-08-05,CAPMBDBLMF,Weekly NAV,1,0,0,weekly nav
54,2018-08-02,CAPMBDBLMF,Trustee Committee Meeting schedule under LR 19(1),0,0,0,trustee committee meeting schedule under lr 191
55,2018-07-29,CAPMBDBLMF,Weekly NAV,1,0,0,weekly nav
56,2018-07-22,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
57,2018-07-15,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
58,2018-07-08,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
59,2018-07-02,CAPMBDBLMF,Weekly NAV,0,0,1,weekly nav
60,2018-06-24,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
61,2018-06-18,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
62,2018-06-10,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
63,2018-06-03,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
64,2018-05-27,CAPMBDBLMF,Weekly NAV,0,0,1,weekly nav
65,2018-05-20,CAPMBDBLMF,Weekly NAV,0,1,0,weekly nav
66,2018-05-13,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
67,2018-05-06,CAPMBDBLMF,Weekly NAV,0,1,1,weekly nav
68,2018-04-30,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
69,2018-04-24,CAPMBDBLMF,Q3 Financials,0,0,0,q3 financials
70,2018-04-22,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
71,2018-04-18,CAPMBDBLMF,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
72,2018-04-15,CAPMBDBLMF,Weekly NAV,0,1,1,weekly nav
73,2018-04-08,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
74,2018-04-01,CAPMBDBLMF,Weekly NAV,0,1,0,weekly nav
75,2018-03-25,CAPMBDBLMF,Weekly NAV,1,0,0,weekly nav
76,2018-03-18,CAPMBDBLMF,Weekly NAV,1,1,0,weekly nav
77,2018-03-11,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
78,2018-03-04,CAPMBDBLMF,Weekly NAV (Revised NAV at Market Price & Cost Price),0,0,1,weekly nav revised nav at market price  cost price
79,2018-03-04,CAPMBDBLMF,Weekly NAV (Revised NAV at Market Price & Cost Price),0,0,1,weekly nav revised nav at market price  cost price
80,2018-03-04,CAPMBDBLMF,Weekly NAV,0,0,1,weekly nav
81,2018-02-25,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
82,2018-02-18,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
83,2018-02-11,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
84,2018-02-04,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
85,2018-01-28,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
86,2018-01-21,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
87,2018-01-18,CAPMBDBLMF,Q2 Financials,1,0,0,q2 financials
88,2018-01-14,CAPMBDBLMF,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
89,2018-01-14,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
90,2018-01-07,CAPMBDBLMF,Weekly NAV,0,1,1,weekly nav
91,2018-01-07,CAPMBDBLMF,Weekly NAV,0,1,1,weekly nav
92,2018-01-01,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
93,2017-12-24,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
94,2017-12-17,CAPMBDBLMF,Weekly NAV,0,1,0,weekly nav
95,2017-12-10,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
96,2017-12-03,CAPMBDBLMF,Weekly NAV,0,0,1,weekly nav
97,2017-11-26,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
98,2017-11-19,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
99,2017-11-12,CAPMBDBLMF,Weekly NAV,0,1,0,weekly nav
100,2017-11-05,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
101,2017-10-30,CAPMBDBLMF,Q1 Financials,0,0,0,q1 financials
102,2017-10-29,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
103,2017-10-24,CAPMBDBLMF,Trustee Meeting schedule under LR 16(1),0,0,0,trustee meeting schedule under lr 161
104,2017-10-22,CAPMBDBLMF,Weekly NAV,1,0,0,weekly nav
105,2017-10-15,CAPMBDBLMF,Weekly NAV,0,1,0,weekly nav
106,2017-10-08,CAPMBDBLMF,Weekly NAV,0,1,0,weekly nav
107,2017-10-05,CAPMBDBLMF,Dividend Disbursement,0,0,0,dividend disbursement
108,2017-10-02,CAPMBDBLMF,Weekly NAV,0,1,1,weekly nav
109,2017-09-24,CAPMBDBLMF,Weekly NAV,1,1,0,weekly nav
110,2017-09-17,CAPMBDBLMF,Weekly NAV,1,0,0,weekly nav
111,2017-09-10,CAPMBDBLMF,Resumption after Record Date,0,0,1,resumption after record date
113,2017-09-10,CAPMBDBLMF,Updating information,0,0,1,updating information
114,2017-09-10,CAPMBDBLMF,Weekly NAV,0,0,1,weekly nav
115,2017-09-07,CAPMBDBLMF,Suspension for Record Date,1,0,0,suspension for record date
116,2017-09-05,CAPMBDBLMF,Spot News,1,0,1,spot news
117,2017-09-04,CAPMBDBLMF,Weekly NAV,0,1,0,weekly nav
118,2017-08-27,CAPMBDBLMF,Weekly NAV,1,0,0,weekly nav
119,2017-08-20,CAPMBDBLMF,Weekly NAV,1,1,1,weekly nav
120,2017-08-13,CAPMBDBLMF,Weekly NAV,0,0,0,weekly nav
121,2017-08-13,CAPMBDBLMF,Price Limit Open,0,0,0,price limit open
122,2017-08-13,CAPMBDBLMF,Dividend Declaration,0,0,0,dividend declaration
123,2017-08-06,CAPMBDBLMF,Weekly NAV,1,0,1,weekly nav
124,2017-08-06,CAPMBDBLMF,Board Meeting schedule under LR 19(1),1,0,1,board meeting schedule under lr 191
125,2017-07-30,CAPMBDBLMF,Weekly NAV,1,1,1,weekly nav
126,2017-07-23,CAPMBDBLMF,Weekly NAV,1,1,1,weekly nav
127,2017-07-16,CAPMBDBLMF,Weekly NAV,1,1,1,weekly nav
