,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,CAPMIBBLMF,Weekly NAV,0,1,0,weekly nav
1,2019-04-24,CAPMIBBLMF,Q3 Financials,0,0,0,q3 financials
2,2019-04-21,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
3,2019-04-18,CAPMIBBLMF,Trustee Committee Meeting schedule under LR 16(1),1,0,0,trustee committee meeting schedule under lr 161
4,2019-04-15,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
5,2019-04-07,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
6,2019-03-31,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
7,2019-03-24,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
8,2019-03-18,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
9,2019-03-10,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
10,2019-03-03,CAPMIBBLMF,Weekly NAV,1,0,0,weekly nav
11,2019-02-24,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
12,2019-02-17,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
13,2019-02-10,CAPMIBBLMF,Weekly NAV,0,1,0,weekly nav
14,2019-02-03,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
15,2019-01-27,CAPMIBBLMF,Weekly NAV,0,0,1,weekly nav
16,2019-01-24,CAPMIBBLMF,Q2 Financials,1,0,0,q2 financials
17,2019-01-20,CAPMIBBLMF,Weekly NAV,1,0,0,weekly nav
18,2019-01-17,CAPMIBBLMF,Trustee Committee Meeting schedule under LR 16(1),0,0,0,trustee committee meeting schedule under lr 161
19,2019-01-13,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
20,2019-01-06,CAPMIBBLMF,Weekly NAV,1,0,0,weekly nav
21,2019-01-01,CAPMIBBLMF,Weekly NAV,0,0,1,weekly nav
22,2018-12-23,CAPMIBBLMF,Weekly NAV,0,1,0,weekly nav
23,2018-12-17,CAPMIBBLMF,Weekly NAV,1,0,0,weekly nav
24,2018-12-09,CAPMIBBLMF,Weekly NAV,1,1,0,weekly nav
25,2018-12-02,CAPMIBBLMF,Weekly NAV,1,1,1,weekly nav
26,2018-11-25,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
27,2018-11-18,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
28,2018-11-11,CAPMIBBLMF,Weekly NAV,0,0,1,weekly nav
29,2018-11-04,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
30,2018-10-28,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
31,2018-10-21,CAPMIBBLMF,Weekly NAV,0,1,0,weekly nav
32,2018-10-15,CAPMIBBLMF,Q1 Financials,1,0,0,q1 financials
33,2018-10-14,CAPMIBBLMF,Weekly NAV,0,1,0,weekly nav
34,2018-10-10,CAPMIBBLMF,Trustee Meeting schedule under LR 16(1),0,1,0,trustee meeting schedule under lr 161
35,2018-10-07,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
36,2018-09-30,CAPMIBBLMF,Weekly NAV,0,0,1,weekly nav
37,2018-09-23,CAPMIBBLMF,Weekly NAV,0,1,0,weekly nav
38,2018-09-16,CAPMIBBLMF,Weekly NAV,1,1,0,weekly nav
39,2018-09-09,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
40,2018-09-04,CAPMIBBLMF,Resumption after record date,0,1,0,resumption after record date
41,2018-09-03,CAPMIBBLMF,Suspension for Record Date,1,0,1,suspension for record date
42,2018-09-03,CAPMIBBLMF,Weekly NAV,1,0,1,weekly nav
43,2018-08-29,CAPMIBBLMF,Spot News,1,0,0,spot news
44,2018-08-26,CAPMIBBLMF,Weekly NAV,1,0,0,weekly nav
45,2018-08-19,CAPMIBBLMF,Weekly NAV,0,1,0,weekly nav
46,2018-08-12,CAPMIBBLMF,Weekly NAV,1,1,1,weekly nav
47,2018-08-09,CAPMIBBLMF,Price Limit Open,1,0,0,price limit open
48,2018-08-09,CAPMIBBLMF,Dividend Declaration,1,0,0,dividend declaration
49,2018-08-05,CAPMIBBLMF,Weekly NAV,0,0,0,weekly nav
50,2018-08-02,CAPMIBBLMF,Trustee Committee Meeting schedule under LR 19(1),0,0,0,trustee committee meeting schedule under lr 191
51,2018-07-29,CAPMIBBLMF,Weekly NAV,1,0,0,weekly nav
