,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,CENTRALPHL,Reschedule of Board Meeting under LR 16(1),1,0,0,reschedule of board meeting under lr 161
1,2019-04-23,CENTRALPHL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
2,2019-02-11,CENTRALPHL,Transmission completion of Deceased Director's shares to her nominee,1,1,0,transmission completion of deceased director's shares to her nominee
3,2019-02-06,CENTRALPHL,Dividend Disbursement,0,0,0,dividend disbursement
4,2019-01-30,CENTRALPHL,Q2 Financials,0,1,0,q2 financials
5,2019-01-27,CENTRALPHL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
6,2019-01-22,CENTRALPHL,Transmission of Deceased Director's shares to her nominee,0,0,0,transmission of deceased director's shares to her nominee
7,2019-01-07,CENTRALPHL,Fine Imposed on Directors of the Company,1,1,1,fine imposed on directors of the company
8,2019-01-01,CENTRALPHL,Prohibition on providing loan facilities to purchase securities,1,1,1,prohibition on providing loan facilities to purchase securities
9,2019-01-01,CENTRALPHL,Category Change,1,1,1,category change
11,2018-12-05,CENTRALPHL,Qualified Opinion,0,0,0,qualified opinion
12,2018-11-25,CENTRALPHL,Resumption after record date,0,1,0,resumption after record date
13,2018-11-22,CENTRALPHL,Suspension for Record date,0,0,0,suspension for record date
14,2018-11-19,CENTRALPHL,Spot News,1,0,0,spot news
15,2018-11-15,CENTRALPHL,Q1 Financials,1,0,0,q1 financials
16,2018-11-11,CENTRALPHL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
17,2018-10-28,CENTRALPHL,Price Limit Open,0,1,1,price limit open
19,2018-10-28,CENTRALPHL,Dividend Declaration,0,1,1,dividend declaration
20,2018-10-21,CENTRALPHL,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
21,2018-10-11,CENTRALPHL,Query Response,1,0,0,query response
22,2018-05-03,CENTRALPHL,Q3 Financials,0,0,0,q3 financials
23,2018-04-24,CENTRALPHL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
24,2018-01-31,CENTRALPHL,Q2 Financials,0,0,0,q2 financials
25,2018-01-25,CENTRALPHL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
26,2018-01-11,CENTRALPHL,Dividend Disbursement,0,0,0,dividend disbursement
28,2017-12-26,CENTRALPHL,Basis for Qualified Opinion,0,0,1,basis for qualified opinion
29,2017-11-30,CENTRALPHL,Resumption after record date,0,0,0,resumption after record date
30,2017-11-29,CENTRALPHL,Suspension for Record Date,0,0,0,suspension for record date
31,2017-11-27,CENTRALPHL,Spot News,1,0,0,spot news
32,2017-11-15,CENTRALPHL,Q1 Financials,1,1,0,q1 financials
33,2017-11-09,CENTRALPHL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
34,2017-11-06,CENTRALPHL,Cancellation of MOU with Alif Group,0,0,0,cancellation of mou with alif group
35,2017-11-06,CENTRALPHL,Cancellation of MOU with Alif Group,0,0,0,cancellation of mou with alif group
36,2017-10-29,CENTRALPHL,Price Limit Open,0,1,1,price limit open
37,2017-10-29,CENTRALPHL,Dividend Declaration,0,1,1,dividend declaration
38,2017-10-19,CENTRALPHL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
39,2017-05-02,CENTRALPHL,Q3 Financials,0,0,0,q3 financials
40,2017-04-25,CENTRALPHL,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
41,2017-02-28,CENTRALPHL,Regarding closure of Production,1,1,0,regarding closure of production
42,2017-02-26,CENTRALPHL,MOU Signing with Alif Group,0,0,1,mou signing with alif group
43,2017-02-22,CENTRALPHL,Signing MOU with Alif Group to sell all 5 existing Directors' share,0,1,0,signing mou with alif group to sell all 5 existing directors' share
44,2017-01-25,CENTRALPHL,Q2 Financials,0,0,0,q2 financials
45,2017-01-22,CENTRALPHL,Reschedule of Board Meeting schedule under LR 16(1),1,0,1,reschedule of board meeting schedule under lr 161
46,2017-01-19,CENTRALPHL,Board Meeting,1,0,0,board meeting
47,2016-12-26,CENTRALPHL,Stock Dividend Disbursement,1,0,1,stock dividend disbursement
48,2016-12-22,CENTRALPHL,Query Response (Repeat),1,0,0,query response repeat
49,2016-12-21,CENTRALPHL,Query Response,1,1,0,query response
50,2016-12-15,CENTRALPHL,Basis for Qualified Opinion,0,0,0,basis for qualified opinion
51,2016-11-17,CENTRALPHL,Resumption after record date,1,0,0,resumption after record date
52,2016-11-16,CENTRALPHL,Suspension for record date,1,1,0,suspension for record date
53,2016-11-15,CENTRALPHL,Q1 Financials,0,1,1,q1 financials
54,2016-11-14,CENTRALPHL,Spot for AGM,0,0,1,spot for agm
55,2016-11-09,CENTRALPHL,Board Meeting,0,0,0,board meeting
56,2016-10-30,CENTRALPHL,Price Limit Open,1,1,0,price limit open
57,2016-10-30,CENTRALPHL,Dividend Declaration,1,1,0,dividend declaration
58,2016-10-19,CENTRALPHL,Board Meeting,0,0,0,board meeting
59,2016-06-06,CENTRALPHL,Address Change of Corporate Head Office & Registered Office,0,0,1,address change of corporate head office  registered office
60,2016-05-02,CENTRALPHL,Q3 Financials,0,1,0,q3 financials
61,2016-04-25,CENTRALPHL,Board Meeting,0,0,0,board meeting
62,2016-03-29,CENTRALPHL,Q2 Financials (revised information),0,1,0,q2 financials revised information
63,2016-01-31,CENTRALPHL,Q2 Financials,0,0,1,q2 financials
64,2016-01-27,CENTRALPHL,Board Meeting,0,0,0,board meeting
65,2015-12-20,CENTRALPHL,Dividend Disbursement,0,1,1,dividend disbursement
66,2015-11-19,CENTRALPHL,Resumption News after Record date,0,0,0,resumption news after record date
67,2015-11-18,CENTRALPHL,Suspension News for Record Date,0,0,0,suspension news for record date
68,2015-11-16,CENTRALPHL,Spot News for AGM,0,0,0,spot news for agm
69,2015-11-16,CENTRALPHL,Spot News for AGM,0,0,0,spot news for agm
70,2015-11-15,CENTRALPHL,Q1,0,0,0,q1
71,2015-11-11,CENTRALPHL,Board Meeting,0,1,0,board meeting
72,2015-10-29,CENTRALPHL,Price Limit Open,0,0,0,price limit open
73,2015-10-29,CENTRALPHL,Dividend Declaration,0,0,0,dividend declaration
74,2015-10-19,CENTRALPHL,Board Meeting schedule under LR 19(1),1,0,1,board meeting schedule under lr 191
75,2015-06-28,CENTRALPHL,Credit Rating Result,1,0,0,credit rating result
76,2015-05-20,CENTRALPHL,Query Response,0,0,0,query response
77,2015-05-04,CENTRALPHL,Q3,0,1,1,q3
78,2015-01-27,CENTRALPHL,Half Yearly Financials,1,0,1,half yearly financials
79,2014-11-16,CENTRALPHL,Q1 Earning,0,0,0,q1 earning
80,2014-11-12,CENTRALPHL,right offer decline.,1,0,0,right offer decline.
81,2014-09-29,CENTRALPHL,trade resume,0,0,0,trade resume
82,2014-09-28,CENTRALPHL,trade suspension,0,0,0,trade suspension
83,2014-09-24,CENTRALPHL,trade suspension,1,0,0,trade suspension
84,2014-09-16,CENTRALPHL,has no price limit today,0,0,1,has no price limit today
85,2014-09-16,CENTRALPHL,Dividend,0,0,1,dividend
86,2014-09-09,CENTRALPHL,Board Meeting,0,1,0,board meeting
87,2014-05-04,CENTRALPHL,Q3 Earning,1,1,1,q3 earning
88,2014-04-07,CENTRALPHL,valuation of land,0,0,0,valuation of land
89,2014-01-30,CENTRALPHL,H/Y Earnings,1,0,0,hy earnings
90,2014-01-28,CENTRALPHL,sponsor/director share sell,1,0,1,sponsordirector share sell
91,2013-12-08,CENTRALPHL,sponsor/director share sell,1,1,1,sponsordirector share sell
92,2013-11-26,CENTRALPHL,Category Change,1,1,0,category change
93,2013-11-26,CENTRALPHL,Bonus share Has been Credited To The BO Account,1,1,0,bonus share has been credited to the bo account
94,2013-11-14,CENTRALPHL,Q1 Earnigs,0,0,0,q1 earnigs
95,2013-10-28,CENTRALPHL,Trade resume After Record Date,0,0,1,trade resume after record date
96,2013-10-27,CENTRALPHL,Trade Suspension on Record Date,1,0,0,trade suspension on record date
97,2013-10-22,CENTRALPHL,Trade Suspension On Record Date,0,0,0,trade suspension on record date
98,2013-10-10,CENTRALPHL,15% stock dividend,1,0,0,15 stock dividend
99,2013-10-10,CENTRALPHL,no price limit,1,0,0,no price limit
100,2013-10-07,CENTRALPHL,Board meeting,1,0,1,board meeting
101,2013-08-14,CENTRALPHL,Commencement of Trading,0,0,0,commencement of trading
102,2013-08-14,CENTRALPHL,Q3 Earnings,0,0,0,q3 earnings
103,2013-08-05,CENTRALPHL,Commences at DSE,0,0,0,commences at dse
