,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-18,CITYBANK,Additional Information (Reason for Deviation in NOCFPS),1,0,0,additional information reason for deviation in nocfps
1,2019-04-18,CITYBANK,Q1 Financials,1,0,0,q1 financials
2,2019-04-18,CITYBANK,Price Limit Open,1,0,0,price limit open
3,2019-04-18,CITYBANK,Dividend Declaration,1,0,0,dividend declaration
4,2019-04-10,CITYBANK,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
5,2019-04-10,CITYBANK,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
6,2019-01-17,CITYBANK,Appointment of new MD & CEO of the Bank,0,0,0,appointment of new md  ceo of the bank
7,2018-11-08,CITYBANK,Buy Confirmation of a Director,0,0,0,buy confirmation of a director
8,2018-10-22,CITYBANK,Buy Confirmation of a Director,0,0,0,buy confirmation of a director
9,2018-10-22,CITYBANK,Buy Confirmation of a Director,0,0,0,buy confirmation of a director
10,2018-10-22,CITYBANK,Emphasis of Matter,0,0,0,emphasis of matter
11,2018-10-22,CITYBANK,Buy Declaration of a Director,0,0,0,buy declaration of a director
12,2018-10-18,CITYBANK,Elected Chairman and Vice-Chairman,1,0,0,elected chairman and vice-chairman
13,2018-10-18,CITYBANK,Q3 Financials,1,0,0,q3 financials
14,2018-10-15,CITYBANK,Buy Declaration of a Director,0,0,0,buy declaration of a director
15,2018-10-15,CITYBANK,Buy Declaration of a Director,0,0,0,buy declaration of a director
16,2018-10-14,CITYBANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
17,2018-09-06,CITYBANK,To invest in share capital of the subsidiary,1,0,0,to invest in share capital of the subsidiary
18,2018-08-30,CITYBANK,Buy Confirmation of a Director,1,0,0,buy confirmation of a director
19,2018-08-07,CITYBANK,Buy Declaration of a Director,0,1,0,buy declaration of a director
20,2018-07-29,CITYBANK,Q2 Financials,1,1,0,q2 financials
21,2018-07-18,CITYBANK,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
22,2018-07-15,CITYBANK,Dividend Disbursement,0,0,0,dividend disbursement
23,2018-07-11,CITYBANK,Consent accorded from BSEC for issuance of Subordinated Bond,1,0,0,consent accorded from bsec for issuance of subordinated bond
24,2018-07-09,CITYBANK,Dividend Disbursement,0,0,1,dividend disbursement
25,2018-06-11,CITYBANK,Credit Rating Result,1,0,0,credit rating result
26,2018-06-11,CITYBANK,Venue of the AGM,1,0,0,venue of the agm
27,2018-05-23,CITYBANK,Resumption after record date,0,1,0,resumption after record date
28,2018-05-22,CITYBANK,Suspension for Record Date,1,0,1,suspension for record date
29,2018-05-20,CITYBANK,Spot News,1,0,1,spot news
30,2018-05-16,CITYBANK,Q1 Financials,1,0,0,q1 financials
31,2018-05-09,CITYBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
32,2018-05-03,CITYBANK,Investment Decision in the share capital of the subsidiary,0,0,0,investment decision in the share capital of the subsidiary
33,2018-05-03,CITYBANK,Price Limit Open,0,0,0,price limit open
34,2018-05-03,CITYBANK,Dividend Declaration,0,0,0,dividend declaration
35,2018-04-30,CITYBANK,Reduction of NAV due to change in the accounting policy,0,0,0,reduction of nav due to change in the accounting policy
36,2018-04-23,CITYBANK,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
37,2017-12-18,CITYBANK,Decision to sell land and floor space of the Bank to its Subsidiary,1,1,0,decision to sell land and floor space of the bank to its subsidiary
38,2017-12-18,CITYBANK,Decision to sell land and floor space of the Bank to its Subsidiary,1,1,0,decision to sell land and floor space of the bank to its subsidiary
39,2017-12-05,CITYBANK,Issuance of Subordinated Debt (Bond),1,0,0,issuance of subordinated debt bond
40,2017-10-31,CITYBANK,Buy confirmation of a Director,0,1,1,buy confirmation of a director
41,2017-10-31,CITYBANK,Buy confirmation of a Director,0,1,1,buy confirmation of a director
42,2017-10-30,CITYBANK,Early redemption of bank's 1st Tier-II Subordinated Debt,0,0,1,early redemption of bank's 1st tier-ii subordinated debt
43,2017-10-29,CITYBANK,Buy confirmation of a Director,1,0,0,buy confirmation of a director
44,2017-10-29,CITYBANK,Buy declaration of a Director,1,0,0,buy declaration of a director
45,2017-10-29,CITYBANK,Buy confirmation of a Director,1,0,0,buy confirmation of a director
46,2017-10-26,CITYBANK,Buy Declaration of a Director,1,0,0,buy declaration of a director
47,2017-10-26,CITYBANK,Q3 Financials,1,0,0,q3 financials
48,2017-10-22,CITYBANK,Buy Declaration of a Director,1,0,1,buy declaration of a director
49,2017-10-22,CITYBANK,Buy declaration of a Director (Representative from A-One Polymer Ltd.),1,0,1,buy declaration of a director representative from a-one polymer ltd.
50,2017-10-19,CITYBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
51,2017-10-19,CITYBANK,Buy confirmation of Director (Representative from A-One Polymer Ltd.),0,0,0,buy confirmation of director representative from a-one polymer ltd.
52,2017-10-11,CITYBANK,Buy declaration of a Director (Representative from A-One Polymer Ltd.),1,1,0,buy declaration of a director representative from a-one polymer ltd.
53,2017-10-05,CITYBANK,Buy confirmation of a Director,1,0,0,buy confirmation of a director
55,2017-10-04,CITYBANK,Fresh Ordinary shares allotted to IFC,1,1,0,fresh ordinary shares allotted to ifc
56,2017-09-21,CITYBANK,Buy declaration of a Director (Representative of A-One Polymer Ltd.),1,0,0,buy declaration of a director representative of a-one polymer ltd.
57,2017-09-19,CITYBANK,Buy Confirmation of a Director,0,0,1,buy confirmation of a director
58,2017-09-18,CITYBANK,Query Response,0,0,0,query response
59,2017-09-05,CITYBANK,Buy Declaration of a Director,1,0,1,buy declaration of a director
60,2017-08-31,CITYBANK,Buy confirmation of a Director,1,0,0,buy confirmation of a director
61,2017-08-31,CITYBANK,Buy confirmation of a Director (Representative of A-One Polymer Ltd.),1,0,0,buy confirmation of a director representative of a-one polymer ltd.
62,2017-08-28,CITYBANK,Buy Declaration of a Director,1,0,1,buy declaration of a director
63,2017-08-22,CITYBANK,Buy confirmation of a Director,0,1,1,buy confirmation of a director
64,2017-08-21,CITYBANK,Buy confirmation of a Corporate Director,1,0,1,buy confirmation of a corporate director
65,2017-08-16,CITYBANK,Buy confirmation of a Corporate Director,0,0,0,buy confirmation of a corporate director
66,2017-08-16,CITYBANK,Buy Declaration of a Corporate Director,0,0,0,buy declaration of a corporate director
67,2017-08-16,CITYBANK,Buy confirmation of a Director,0,0,0,buy confirmation of a director
68,2017-08-10,CITYBANK,Buy declaration of a Director,1,0,0,buy declaration of a director
69,2017-08-10,CITYBANK,Buy confirmation of a Director,1,0,0,buy confirmation of a director
70,2017-08-06,CITYBANK,Buy declaration of a Director (Representative of A-One Polymer Ltd.),1,1,0,buy declaration of a director representative of a-one polymer ltd.
71,2017-08-06,CITYBANK,Buy declaration of a Director,1,1,0,buy declaration of a director
72,2017-08-06,CITYBANK,Buy confirmation of a Director,1,1,0,buy confirmation of a director
73,2017-08-03,CITYBANK,Buy declaration of a Director,0,0,0,buy declaration of a director
74,2017-08-02,CITYBANK,Buy declaration of a Corporate Director,0,0,0,buy declaration of a corporate director
75,2017-07-30,CITYBANK,Buy declaration of a Director,1,1,1,buy declaration of a director
76,2017-07-30,CITYBANK,Q2 Financials,1,1,1,q2 financials
77,2017-07-20,CITYBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
78,2017-07-09,CITYBANK,Dividend Disbursement,0,1,0,dividend disbursement
79,2017-07-02,CITYBANK,Buy confirmation of a Sponsor,0,1,0,buy confirmation of a sponsor
80,2017-06-18,CITYBANK,Sale of Land,1,0,0,sale of land
