,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-03-10,CNATEX,Visit result on the Factory and Head Office of the Company,0,0,0,visit result on the factory and head office of the company
1,2019-03-07,CNATEX,Visit result on the Factory and Head Office of the Company,0,0,0,visit result on the factory and head office of the company
2,2019-03-06,CNATEX,Visit result on the Factory and Head Office of the Company,1,0,0,visit result on the factory and head office of the company
3,2019-03-05,CNATEX,Visit result on the Factory and Head Office of the Company,0,1,0,visit result on the factory and head office of the company
4,2019-03-04,CNATEX,Visit result on the Factory and Head Office of the Company,0,0,1,visit result on the factory and head office of the company
5,2017-11-02,CNATEX,Prohibition on providing loan facilities to purchase securities,1,0,0,prohibition on providing loan facilities to purchase securities
6,2017-11-02,CNATEX,Category Change,1,0,0,category change
7,2017-08-23,CNATEX,Address Change of Corporate Office,0,1,0,address change of corporate office
8,2017-08-17,CNATEX,Query Response,0,0,0,query response
9,2017-07-05,CNATEX,Query Response,0,1,0,query response
10,2017-06-07,CNATEX,Temporary suspension of commercial operation,0,0,0,temporary suspension of commercial operation
11,2017-04-30,CNATEX,Q3 Financials,0,0,0,q3 financials
12,2017-04-24,CNATEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
13,2017-02-01,CNATEX,Confirmation of sale,1,0,0,confirmation of sale
14,2017-01-31,CNATEX,Q2 Financials,1,1,0,q2 financials
15,2017-01-26,CNATEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
16,2017-01-18,CNATEX,Dividend Disbursement,0,0,0,dividend disbursement
17,2017-01-16,CNATEX,Basis for Qualified Opinion,1,0,0,basis for qualified opinion
18,2016-12-29,CNATEX,Declaration of sale by a Director,1,0,0,declaration of sale by a director
19,2016-12-18,CNATEX,Q1 Financials,0,1,0,q1 financials
20,2016-12-14,CNATEX,Board Meeting,1,0,0,board meeting
21,2016-11-22,CNATEX,Spot for AGM,1,1,1,spot for agm
22,2016-11-06,CNATEX,Price Limit Open,0,0,0,price limit open
23,2016-11-06,CNATEX,Dividend Declaration,0,0,0,dividend declaration
24,2016-10-30,CNATEX,Reschedule of Board Meeting,0,1,1,reschedule of board meeting
25,2016-10-19,CNATEX,Board Meeting,0,0,0,board meeting
26,2016-05-02,CNATEX,Q3 Financials,0,1,0,q3 financials
27,2016-04-25,CNATEX,Board Meeting,0,0,0,board meeting
28,2016-01-31,CNATEX,Q2 Financials,0,0,1,q2 financials
29,2016-01-24,CNATEX,Board Meeting,1,0,0,board meeting
30,2015-12-28,CNATEX,Dividend Disbursement,0,0,0,dividend disbursement
31,2015-11-18,CNATEX,Resumption News after Record date,0,0,0,resumption news after record date
32,2015-11-17,CNATEX,Suspension News for Record Date,0,0,0,suspension news for record date
33,2015-11-16,CNATEX,Q1,1,0,0,q1
34,2015-11-15,CNATEX,Spot News,0,1,0,spot news
35,2015-11-11,CNATEX,Board Meeting,0,0,0,board meeting
36,2015-10-28,CNATEX, Price Limit Open,0,0,0,price limit open
37,2015-10-28,CNATEX,Dividend Declaration,0,0,0,dividend declaration
38,2015-10-20,CNATEX,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
39,2015-06-04,CNATEX,Address Change of Corporate Office of the Company,0,0,0,address change of corporate office of the company
40,2015-04-27,CNATEX,Q3,0,0,1,q3
41,2015-04-09,CNATEX,Address Change,1,0,0,address change
42,2015-03-29,CNATEX,Credit Rating Result,0,0,1,credit rating result
43,2015-03-24,CNATEX,Category Change,0,0,0,category change
44,2015-03-24,CNATEX,Dividend Disbursement,0,0,0,dividend disbursement
45,2015-02-22,CNATEX,Half Yearly Financials,0,0,1,half yearly financials
46,2015-02-18,CNATEX,Resumption News after Record Date,0,0,0,resumption news after record date
47,2015-02-17,CNATEX,Suspension News for Record date,0,0,0,suspension news for record date
48,2015-02-15,CNATEX,Spot News for AGM,1,0,0,spot news for agm
49,2015-02-08,CNATEX,Change of Record Date,0,0,1,change of record date
50,2015-02-08,CNATEX,Price Limit Open,0,0,1,price limit open
51,2015-02-08,CNATEX,Dividend Declaration,0,0,1,dividend declaration
52,2015-02-01,CNATEX,Board Meeting schedule under LR 30,0,1,0,board meeting schedule under lr 30
53,2015-01-21,CNATEX,Q3 Earning,1,1,0,q3 earning
54,2015-01-21,CNATEX,(Repeat),1,1,0,repeat
