,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
1,2019-04-28,CONFIDCEM,Commercial Operation of power plant by Confidence Power Bogra Unit-2,0,0,0,commercial operation of power plant by confidence power bogra unit-2
2,2019-04-28,CONFIDCEM,Q3 Financials,0,0,0,q3 financials
3,2019-04-18,CONFIDCEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-04-11,CONFIDCEM,Credit Rating Result,1,0,0,credit rating result
5,2019-01-30,CONFIDCEM,Q2 Financials,1,1,0,q2 financials
6,2019-01-23,CONFIDCEM,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
7,2019-01-16,CONFIDCEM,Dividend Disbursement,0,0,0,dividend disbursement
8,2018-11-27,CONFIDCEM,Confirmation of Shares transmission of a late Sponsor,1,0,0,confirmation of shares transmission of a late sponsor
9,2018-11-22,CONFIDCEM,Resumption after record date,0,0,0,resumption after record date
10,2018-11-20,CONFIDCEM,Suspension for Record date,0,0,0,suspension for record date
11,2018-11-18,CONFIDCEM,Spot News,1,1,0,spot news
12,2018-11-15,CONFIDCEM,Q1 Financials,0,0,0,q1 financials
13,2018-11-07,CONFIDCEM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
15,2018-10-30,CONFIDCEM,Decision to demolish the Unit-1 and install the Slag Dryer plant,0,0,1,decision to demolish the unit-1 and install the slag dryer plant
16,2018-10-30,CONFIDCEM,Price Limit Open,0,0,1,price limit open
17,2018-10-30,CONFIDCEM,Dividend Declaration,0,0,1,dividend declaration
18,2018-10-21,CONFIDCEM,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
20,2018-09-25,CONFIDCEM,Confidence Cement Dhaka Ltd. (associatecompany) signed EP Contract,0,0,0,confidence cement dhaka ltd. associatecompany signed ep contract
21,2018-09-10,CONFIDCEM,Query Response,1,0,0,query response
22,2018-07-12,CONFIDCEM,Query Response,1,0,0,query response
24,2018-05-03,CONFIDCEM,Q3 Financials,0,0,0,q3 financials
25,2018-04-23,CONFIDCEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2018-04-01,CONFIDCEM,Court Order approving the Scheme of Arrangement for Demerger,1,1,1,court order approving the scheme of arrangement for demerger
28,2018-02-19,CONFIDCEM,Credit Rating Result,0,1,0,credit rating result
29,2018-01-31,CONFIDCEM,"Appointments of Chairman, Vice-Chairmen and MD of the Company",0,1,0,"appointments of chairman, vice-chairmen and md of the company"
32,2018-01-31,CONFIDCEM,Board decision for investing in Power Plant Projects & Cement Plant,0,1,0,board decision for investing in power plant projects  cement plant
33,2018-01-31,CONFIDCEM,Q2 Financials,0,1,0,q2 financials
34,2018-01-28,CONFIDCEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
35,2018-01-02,CONFIDCEM,Dividend Disbursement,1,1,1,dividend disbursement
36,2017-12-20,CONFIDCEM,Resumption after record date,0,0,0,resumption after record date
37,2017-12-19,CONFIDCEM,Suspension for Record Date,0,0,0,suspension for record date
38,2017-12-17,CONFIDCEM,Spot News,1,0,0,spot news
39,2017-12-03,CONFIDCEM,Buy Confirmation,0,0,1,buy confirmation
40,2017-12-03,CONFIDCEM,"Holding of EGM to delete, add and replace some Clauses in the AOA",0,0,1,"holding of egm to delete, add and replace some clauses in the aoa"
41,2017-11-28,CONFIDCEM,Commissioning Works of Unit-3,1,1,0,commissioning works of unit-3
42,2017-11-23,CONFIDCEM,Resumption after record date,0,0,0,resumption after record date
43,2017-11-22,CONFIDCEM,Suspension for Record Date,1,0,0,suspension for record date
44,2017-11-20,CONFIDCEM,Spot News,0,0,1,spot news
45,2017-11-19,CONFIDCEM,Buy declaration,1,0,0,buy declaration
46,2017-10-30,CONFIDCEM,Q1 Financials,0,0,0,q1 financials
47,2017-10-30,CONFIDCEM,Price Limit Open,0,0,0,price limit open
48,2017-10-30,CONFIDCEM,Dividend Declaration,0,0,0,dividend declaration
49,2017-10-23,CONFIDCEM,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
50,2017-10-23,CONFIDCEM,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
51,2017-06-06,CONFIDCEM,Demerger Proposal of the Battery Business of Confidence Electric Ltd.,0,1,1,demerger proposal of the battery business of confidence electric ltd.
52,2017-06-06,CONFIDCEM,Demerger Proposal of the Battery Business of Confidence Electric Ltd.,0,1,1,demerger proposal of the battery business of confidence electric ltd.
53,2017-06-06,CONFIDCEM,Demerger Proposal of the Battery Business of Confidence Electric Ltd.,0,1,1,demerger proposal of the battery business of confidence electric ltd.
54,2017-06-06,CONFIDCEM,Demerger Proposal of the Battery Business of Confidence Electric Ltd.,0,1,1,demerger proposal of the battery business of confidence electric ltd.
55,2017-06-05,CONFIDCEM,Investment for entitlement of 49% shares of Confidence Batteries Ltd.,1,0,1,investment for entitlement of 49 shares of confidence batteries ltd.
56,2017-05-18,CONFIDCEM,Issuance of Letter of Intent by BPDB,0,0,0,issuance of letter of intent by bpdb
57,2017-05-18,CONFIDCEM,Issuance of Letter of Intent by BPDB,0,0,0,issuance of letter of intent by bpdb
58,2017-05-02,CONFIDCEM,Entire shares sale of ECPVL & ECPVCL,0,0,0,entire shares sale of ecpvl  ecpvcl
59,2017-05-02,CONFIDCEM,Entire shares sale of ECPVL & ECPVCL,0,0,0,entire shares sale of ecpvl  ecpvcl
60,2017-05-02,CONFIDCEM,Q3 Financials,0,0,0,q3 financials
61,2017-04-25,CONFIDCEM,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
62,2017-01-31,CONFIDCEM,Q2 Financials,0,1,0,q2 financials
63,2017-01-24,CONFIDCEM,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
64,2016-12-28,CONFIDCEM,Credit Rating Result,0,0,0,credit rating result
65,2016-11-20,CONFIDCEM,Resumption after record date,1,0,0,resumption after record date
66,2016-11-17,CONFIDCEM,Suspension for record date,0,0,0,suspension for record date
67,2016-11-15,CONFIDCEM,Q1 Financials (additional information),0,0,0,q1 financials additional information
68,2016-11-15,CONFIDCEM,Spot for AGM,0,0,0,spot for agm
69,2016-11-15,CONFIDCEM,Q1 Financials,0,0,0,q1 financials
70,2016-11-08,CONFIDCEM,Board Meeting,1,0,1,board meeting
71,2016-11-01,CONFIDCEM,Dividend Declaration,1,1,0,dividend declaration
72,2016-10-25,CONFIDCEM,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
73,2016-05-18,CONFIDCEM,Suspension for Record date,0,0,0,suspension for record date
74,2016-05-18,CONFIDCEM,"Postponement of AGM, unchanged Record date",0,0,0,"postponement of agm, unchanged record date"
75,2016-05-16,CONFIDCEM,Spot News,0,1,0,spot news
76,2016-05-03,CONFIDCEM,DSEMGT will buy shares of CONFIDCEM,1,0,1,dsemgt will buy shares of confidcem
77,2016-05-02,CONFIDCEM,Price Limit Open,1,1,0,price limit open
78,2016-05-02,CONFIDCEM,Dividend Declaration,1,1,0,dividend declaration
79,2016-04-28,CONFIDCEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
80,2016-04-25,CONFIDCEM,Board Meeting,0,0,0,board meeting
81,2015-11-26,CONFIDCEM,Credit Rating Result,1,0,0,credit rating result
82,2015-11-01,CONFIDCEM,Q3,0,1,1,q3
83,2015-10-27,CONFIDCEM,Board Meeting,0,1,1,board meeting
84,2015-07-30,CONFIDCEM,Q2 Financials,0,0,0,q2 financials
85,2015-06-23,CONFIDCEM,Address Change of Registered Office,0,0,1,address change of registered office
86,2015-05-17,CONFIDCEM,Resumption News after Record Date,0,1,1,resumption news after record date
87,2015-05-14,CONFIDCEM,Suspension News for Record Date,0,0,0,suspension news for record date
88,2015-05-12,CONFIDCEM,Spot News for AGM,0,1,0,spot news for agm
89,2015-05-04,CONFIDCEM,Q1,0,0,1,q1
90,2015-05-04,CONFIDCEM,Price Limit Open,0,0,1,price limit open
91,2015-05-04,CONFIDCEM,Dividend Declaration,0,0,1,dividend declaration
92,2015-04-26,CONFIDCEM,Board Meeting,0,0,0,board meeting
93,2014-10-30,CONFIDCEM,Q3 Earnings,1,0,0,q3 earnings
94,2014-10-21,CONFIDCEM,	Credit Rating,0,1,0,credit rating
95,2014-08-03,CONFIDCEM,H/Y Earnings,1,0,0,hy earnings
96,2014-05-14,CONFIDCEM,trade suspended,0,0,0,trade suspended
