,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,CONTININS,Q1 Financials,0,0,0,q1 financials
1,2019-04-25,CONTININS,Price Limit Open,0,0,0,price limit open
2,2019-04-25,CONTININS,Dividend Declaration,0,0,0,dividend declaration
3,2019-04-17,CONTININS,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
4,2019-04-17,CONTININS,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
5,2019-01-28,CONTININS,Query Response,0,1,1,query response
6,2019-01-23,CONTININS,Credit Rating Result,1,1,0,credit rating result
8,2018-10-24,CONTININS,Emphasis of Matter,0,0,0,emphasis of matter
9,2018-10-07,CONTININS,Q3 Financials,1,0,0,q3 financials
10,2018-10-01,CONTININS,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
11,2018-07-26,CONTININS,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
12,2018-07-15,CONTININS,Q2 Financials,0,1,0,q2 financials
13,2018-07-09,CONTININS,Dividend Disbursement,0,0,0,dividend disbursement
14,2018-07-08,CONTININS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
15,2018-05-20,CONTININS,Resumption after record date,0,0,1,resumption after record date
16,2018-05-17,CONTININS,Suspension for Record Date,0,0,0,suspension for record date
17,2018-05-15,CONTININS,Spot News,0,0,0,spot news
18,2018-04-09,CONTININS,Q1 Financials,1,0,0,q1 financials
19,2018-04-09,CONTININS,Price Limit Open,1,0,0,price limit open
20,2018-04-09,CONTININS,Dividend Declaration,1,0,0,dividend declaration
21,2018-04-02,CONTININS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
22,2018-04-02,CONTININS,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
23,2018-01-24,CONTININS,Credit Rating Result,0,0,0,credit rating result
24,2017-11-26,CONTININS,Land Registration,1,1,1,land registration
25,2017-10-24,CONTININS,Confirmation of share transfer by a Sponsor,0,0,0,confirmation of share transfer by a sponsor
28,2017-10-22,CONTININS,Declaration of transfer by a Sponsor,1,0,0,declaration of transfer by a sponsor
29,2017-10-08,CONTININS,Q3 Financials,0,0,0,q3 financials
30,2017-09-28,CONTININS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
31,2017-09-28,CONTININS,Confirmation of receipt by a Sponsor Director,0,0,0,confirmation of receipt by a sponsor director
