,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2018-05-06,DACCADYE,Q3 Financials,0,0,0,q3 financials
1,2018-04-25,DACCADYE,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2018-02-13,DACCADYE,Query Response,1,1,0,query response
4,2018-02-12,DACCADYE,Q2 Financials (Repeat),1,1,1,q2 financials repeat
6,2018-01-30,DACCADYE,Q2 Financials,0,0,0,q2 financials
7,2018-01-24,DACCADYE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
11,2018-01-23,DACCADYE,Qualified Opinion & Emphasis of Matter,0,0,0,qualified opinion  emphasis of matter
12,2017-12-07,DACCADYE,Resumption after record date,0,0,0,resumption after record date
13,2017-12-06,DACCADYE,Suspension for Record Date,0,0,0,suspension for record date
14,2017-11-27,DACCADYE,Q1 Financials,1,1,0,q1 financials
15,2017-11-23,DACCADYE,Spot News,0,0,0,spot news
16,2017-11-21,DACCADYE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
17,2017-11-19,DACCADYE,Change of Record Date,0,0,0,change of record date
18,2017-11-19,DACCADYE,Price Limit Open,0,0,0,price limit open
19,2017-11-19,DACCADYE,Dividend Declaration,0,0,0,dividend declaration
20,2017-11-14,DACCADYE,Reschedule of Board Meeting under LR 19(1),0,0,0,reschedule of board meeting under lr 191
21,2017-11-09,DACCADYE,Postponement of Board Meeting under LR 19(1),1,0,0,postponement of board meeting under lr 191
22,2017-10-26,DACCADYE,Reschedule of Board Meeting under LR 19(1),0,0,0,reschedule of board meeting under lr 191
23,2017-10-22,DACCADYE,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
24,2017-04-30,DACCADYE,Q3 Financials,0,0,1,q3 financials
25,2017-04-23,DACCADYE,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
26,2017-01-31,DACCADYE,Q2 Financials,1,1,0,q2 financials
27,2017-01-30,DACCADYE,Board Meeting,0,1,1,board meeting
28,2017-01-02,DACCADYE,Qualified Opinion,0,0,0,qualified opinion
29,2016-11-27,DACCADYE,Q1 Financials,0,0,0,q1 financials
30,2016-11-21,DACCADYE,Resumption after record date,1,1,1,resumption after record date
31,2016-11-20,DACCADYE,Suspension for record date,0,1,1,suspension for record date
32,2016-11-07,DACCADYE,Spot for AGM,0,0,0,spot for agm
33,2016-11-01,DACCADYE,Prohibition on providing loan facilities to purchase securities,0,0,1,prohibition on providing loan facilities to purchase securities
34,2016-11-01,DACCADYE,Category Change,0,0,1,category change
35,2016-11-01,DACCADYE,Dividend Declaration,0,0,1,dividend declaration
36,2016-10-23,DACCADYE,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
37,2016-05-02,DACCADYE,Q3 Financials,0,1,0,q3 financials
38,2016-04-24,DACCADYE,Board Meeting,1,0,0,board meeting
39,2016-02-15,DACCADYE, Non approval of Rights Issuance by BSEC,0,0,0,non approval of rights issuance by bsec
40,2016-02-01,DACCADYE,Q2 Financials,0,1,0,q2 financials
41,2016-01-27,DACCADYE,Board Meeting,1,0,0,board meeting
42,2016-01-21,DACCADYE,Query Response,1,0,0,query response
43,2016-01-20,DACCADYE,Dividend Disbursement,1,1,0,dividend disbursement
44,2016-01-13,DACCADYE,Query Response,1,0,0,query response
45,2015-12-06,DACCADYE,AGM and EGM date Change,0,0,0,agm and egm date change
46,2015-11-30,DACCADYE,Qualified Audit Report,0,0,0,qualified audit report
47,2015-11-29,DACCADYE,Resumption News after Record date for AGM & EGM,0,0,0,resumption news after record date for agm  egm
48,2015-11-26,DACCADYE,Suspension for Record Date for AGM & EGM,0,0,0,suspension for record date for agm  egm
49,2015-11-24,DACCADYE,Spot News for AGM & EGM,0,0,0,spot news for agm  egm
50,2015-11-15,DACCADYE,Q1,0,0,0,q1
51,2015-11-10,DACCADYE,Board Meeting,0,0,1,board meeting
52,2015-11-09,DACCADYE,Price Limit Open,0,0,0,price limit open
53,2015-11-09,DACCADYE,Dividend and Rights Declaration,0,0,0,dividend and rights declaration
54,2015-11-04,DACCADYE,Imposing Fine upon Directors of the Company,0,1,0,imposing fine upon directors of the company
55,2015-11-02,DACCADYE,Reschedule of Board Meeting,0,0,0,reschedule of board meeting
56,2015-06-23,DACCADYE,Query Response,1,0,1,query response
57,2015-06-15,DACCADYE,Query Response,1,1,0,query response
58,2015-05-06,DACCADYE,new Chairman,1,1,0,new chairman
59,2015-05-04,DACCADYE,Q3,0,0,1,q3
60,2015-02-09,DACCADYE,Half Yearly Financials,0,0,0,half yearly financials
61,2015-01-15,DACCADYE,credited the bonus shares,1,0,0,credited the bonus shares
62,2015-01-13,DACCADYE,DSE query,0,0,1,dse query
63,2014-12-02,DACCADYE,AGM rescheduled,1,0,0,agm rescheduled
64,2014-11-27,DACCADYE,Qualified Audit Report,0,0,0,qualified audit report
65,2014-11-25,DACCADYE,trade resume,0,0,0,trade resume
66,2014-11-24,DACCADYE,trade suspension,0,0,0,trade suspension
67,2014-11-20,DACCADYE,Spot Market and Block/Odd lot transactions,0,0,0,spot market and blockodd lot transactions
68,2014-11-16,DACCADYE,Q1,0,0,0,q1
69,2014-11-16,DACCADYE,no price limit,0,0,0,no price limit
70,2014-11-16,DACCADYE,10% stock dividend,0,0,0,10 stock dividend
71,2014-11-09,DACCADYE,Board Meeting,0,1,0,board meeting
72,2014-04-29,DACCADYE,Q3 Earning,0,0,0,q3 earning
73,2014-02-16,DACCADYE,H/Y earnings,1,0,0,hy earnings
74,2014-02-12,DACCADYE,Right issue Rejected by BSEC,0,0,0,right issue rejected by bsec
75,2014-01-21,DACCADYE,bonus shares credited,0,1,0,bonus shares credited
76,2013-12-22,DACCADYE,AGM,1,0,0,agm
77,2013-12-04,DACCADYE,AGM date changed,0,0,0,agm date changed
78,2013-11-28,DACCADYE,trade resume after record date,0,0,0,trade resume after record date
79,2013-11-27,DACCADYE,Auditors Opinion,0,0,0,auditors opinion
80,2013-11-27,DACCADYE,Trade Suspension on Record Date,0,0,0,trade suspension on record date
81,2013-11-24,DACCADYE,Spot Market Trading,0,1,0,spot market trading
82,2013-11-14,DACCADYE,Q1 Earnings,1,0,0,q1 earnings
83,2013-11-14,DACCADYE,No Price limit,1,0,0,no price limit
84,2013-11-14,DACCADYE,10% Stock Dividend,1,0,0,10 stock dividend
85,2013-11-07,DACCADYE,board meeting,1,0,0,board meeting
86,2013-11-03,DACCADYE,Credit Rating,0,1,1,credit rating
87,2013-05-02,DACCADYE,Q3 Earnings,0,0,0,q3 earnings
88,2013-04-03,DACCADYE,sponsor/director share transfer,0,0,0,sponsordirector share transfer
89,2013-04-02,DACCADYE,sponsor/director share transfer,0,0,0,sponsordirector share transfer
90,2013-01-30,DACCADYE,H/Y Accounts,1,1,0,hy accounts
91,2012-12-23,DACCADYE,bonus shares credited,0,0,0,bonus shares credited
92,2012-12-10,DACCADYE,Director share transfer completed,0,1,0,director share transfer completed
93,2012-11-28,DACCADYE,Director share transfer announcement,0,1,0,director share transfer announcement
94,2012-11-18,DACCADYE,Q1 Earnings 2012,0,0,0,q1 earnings 2012
95,2012-10-22,DACCADYE,Director share transfer completed,0,1,0,director share transfer completed
96,2012-10-21,DACCADYE,Director share transfer announcement,0,0,1,director share transfer announcement
97,2012-10-18,DACCADYE,Director share transfer announcement,0,0,0,director share transfer announcement
98,2012-05-02,DACCADYE,- (Q3): As per un-audited quarterly accounts ...,1,0,0,q3: as per un-audited quarterly accounts
99,2012-04-24,DACCADYE,- Ms. Meena Parveen Quader Chowdhury...,0,0,0,ms. meena parveen quader chowdhury
100,2012-04-23,DACCADYE,- Emerging Credit Rating Limited ...,0,0,0,emerging credit rating limited
101,2012-03-28,DACCADYE,- Normal trading of the shares...,0,1,0,normal trading of the shares
102,2012-03-27,DACCADYE,- Trading of the shares...,1,0,1,trading of the shares
103,2012-03-22,DACCADYE,- Mr. Saifuddin Quader Chowdhury...,0,0,0,mr. saifuddin quader chowdhury
104,2012-03-21,DACCADYE,- Trading of the shares of the Company...,0,0,0,trading of the shares of the company
105,2012-03-19,DACCADYE,- The Company has further informed...,1,0,0,the company has further informed
106,2012-03-15,DACCADYE,- The Board of Directors...,0,0,0,the board of directors
107,2012-03-15,DACCADYE,- There will be no price...,0,0,0,there will be no price
108,2012-03-15,DACCADYE,- as well as profitability...,0,0,0,as well as profitability
109,2012-03-15,DACCADYE,- continuation of news of DACCADYE...,0,0,0,continuation of news of daccadye
110,2012-03-15,DACCADYE,- There will be no price limit...,0,0,0,there will be no price limit
111,2012-03-14,DACCADYE,- Ms. Meena Parveen Quader Chowdhury...,0,0,0,ms. meena parveen quader chowdhury
112,2012-03-13,DACCADYE,- Ms. Meena Parveen Quader Chowdhury...,1,0,0,ms. meena parveen quader chowdhury
113,2012-03-04,DACCADYE,- Mr. Giasuddin Quader Chowdhury...,1,0,0,mr. giasuddin quader chowdhury
114,2012-01-31,DACCADYE,- As per un-audited...,0,0,0,as per un-audited
115,2012-01-04,DACCADYE,- The Company has informed...,1,1,0,the company has informed
116,2011-11-16,DACCADYE,- As per un-audited...,1,1,0,as per un-audited
117,2011-11-15,DACCADYE,- Normal trading...,0,1,1,normal trading
118,2011-11-14,DACCADYE,- Trading of the shares...,0,0,1,trading of the shares
119,2011-11-02,DACCADYE,- Trading of the shares...,0,1,0,trading of the shares
120,2011-10-23,DACCADYE,- There will be no price limit...,0,0,1,there will be no price limit
121,2011-10-23,DACCADYE,- The Board of Directors...,0,0,1,the board of directors
122,2011-10-17,DACCADYE,- As per regulation...,1,0,1,as per regulation
123,2011-07-28,DACCADYE,- In response to a DSE query...,1,0,0,in response to a dse query
124,2011-07-14,DACCADYE,- SEC has regretted its inability...,0,0,0,sec has regretted its inability
