,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,DAFODILCOM,Q3 Financials,0,1,0,q3 financials
1,2019-04-23,DAFODILCOM,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
2,2019-01-31,DAFODILCOM,Q2 Financials,0,0,0,q2 financials
3,2019-01-24,DAFODILCOM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
4,2019-01-15,DAFODILCOM,Dividend Disbursement,0,1,0,dividend disbursement
5,2018-12-23,DAFODILCOM,Query Response,0,1,0,query response
6,2018-11-22,DAFODILCOM,Resumption after record date,0,0,0,resumption after record date
7,2018-11-20,DAFODILCOM,Suspension for Record date,1,0,0,suspension for record date
8,2018-11-18,DAFODILCOM,Spot News,1,0,1,spot news
9,2018-11-15,DAFODILCOM,Q1 Financials,0,0,0,q1 financials
10,2018-11-11,DAFODILCOM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
11,2018-10-28,DAFODILCOM,Price Limit Open,0,1,1,price limit open
12,2018-10-28,DAFODILCOM,Dividend Declaration,0,1,1,dividend declaration
13,2018-10-16,DAFODILCOM,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
14,2018-08-02,DAFODILCOM,Credit Rating Result,1,0,0,credit rating result
15,2018-04-30,DAFODILCOM,Q3 Financials,0,0,0,q3 financials
16,2018-04-24,DAFODILCOM,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
17,2018-01-25,DAFODILCOM,Q2 Financials,0,0,0,q2 financials
18,2018-01-21,DAFODILCOM,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
19,2018-01-15,DAFODILCOM,Dividend Disbursement,0,1,0,dividend disbursement
20,2017-12-12,DAFODILCOM,Emphasis of Matter,0,0,0,emphasis of matter
21,2017-11-16,DAFODILCOM,Resumption after record date,0,0,0,resumption after record date
22,2017-11-15,DAFODILCOM,Suspension for Record Date,0,0,0,suspension for record date
23,2017-11-13,DAFODILCOM,Q1 Financials,0,0,0,q1 financials
24,2017-11-13,DAFODILCOM,Spot News,0,0,0,spot news
25,2017-11-07,DAFODILCOM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
26,2017-10-29,DAFODILCOM,Price Limit Open,0,1,0,price limit open
27,2017-10-29,DAFODILCOM,Dividend Declaration,0,1,0,dividend declaration
28,2017-10-16,DAFODILCOM,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
29,2017-05-28,DAFODILCOM,Credit Rating Result,0,0,0,credit rating result
30,2017-05-02,DAFODILCOM,Buy confirmation of a Sponsor Director,0,1,0,buy confirmation of a sponsor director
31,2017-04-30,DAFODILCOM,Q3 Financials,1,0,0,q3 financials
32,2017-04-23,DAFODILCOM,Buy Confirmation of a Sponsor Director,0,0,0,buy confirmation of a sponsor director
33,2017-04-23,DAFODILCOM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
34,2017-04-16,DAFODILCOM,Buy Declaration of a Sponsor Director,1,0,0,buy declaration of a sponsor director
35,2017-04-10,DAFODILCOM,Buy Declaration of a Sponsor Director,1,1,1,buy declaration of a sponsor director
36,2017-02-19,DAFODILCOM,Confirmation of Transmission of deceased Director's shares,0,0,0,confirmation of transmission of deceased director's shares
37,2017-02-07,DAFODILCOM,Transmission of Deceased Director's shares among his successors,0,1,0,transmission of deceased director's shares among his successors
38,2017-01-29,DAFODILCOM,Q2 Financials,0,1,0,q2 financials
39,2017-01-29,DAFODILCOM,Launching own mobile brand 'DCL',0,1,0,launching own mobile brand 'dcl'
40,2017-01-23,DAFODILCOM,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
41,2017-01-15,DAFODILCOM,Dividend Disbursement,1,0,0,dividend disbursement
42,2016-12-21,DAFODILCOM,Query Response,0,0,0,query response
43,2016-11-28,DAFODILCOM,Land Acquisition,0,0,1,land acquisition
44,2016-11-20,DAFODILCOM,Resumption after record date,1,1,0,resumption after record date
45,2016-11-17,DAFODILCOM,Suspension for record date,1,0,0,suspension for record date
46,2016-11-15,DAFODILCOM,Q1 Financials,0,0,1,q1 financials
47,2016-11-15,DAFODILCOM,Spot for AGM,0,0,1,spot for agm
48,2016-11-09,DAFODILCOM,Board Meeting,0,1,0,board meeting
49,2016-10-30,DAFODILCOM,Price Limit Open,0,1,0,price limit open
50,2016-10-30,DAFODILCOM,Dividend Declaration,0,1,0,dividend declaration
51,2016-10-19,DAFODILCOM,Board Meeting,0,0,0,board meeting
52,2016-05-18,DAFODILCOM,Launch of Int. Mobile brand 'lephone',1,1,0,launch of int. mobile brand 'lephone'
53,2016-05-18,DAFODILCOM,Launch of International Mobile brand 'lephone',1,1,0,launch of international mobile brand 'lephone'
54,2016-04-24,DAFODILCOM,Board Meeting,1,0,0,board meeting
55,2016-02-17,DAFODILCOM,Credit Rating Result,1,0,0,credit rating result
56,2016-01-31,DAFODILCOM,Q2 Financials,0,0,0,q2 financials
57,2016-01-26,DAFODILCOM,Board Meeting,0,0,0,board meeting
58,2016-01-26,DAFODILCOM,Category Change,0,0,0,category change
59,2016-01-26,DAFODILCOM,Prohibition on providing loan facilities,0,0,0,prohibition on providing loan facilities
60,2016-01-12,DAFODILCOM,Dividend Disbursement,0,1,1,dividend disbursement
61,2015-11-22,DAFODILCOM,Agreement Signed,0,0,0,agreement signed
62,2015-11-19,DAFODILCOM,Resumption News after Record date,0,0,0,resumption news after record date
63,2015-11-18,DAFODILCOM,Suspension News for Record Date,1,0,0,suspension news for record date
64,2015-11-11,DAFODILCOM,Q1 Financials,0,0,0,q1 financials
65,2015-11-05,DAFODILCOM,Spot News for AGM,1,0,0,spot news for agm
66,2015-11-04,DAFODILCOM,Board Meeting,0,1,0,board meeting
67,2015-11-01,DAFODILCOM,Price Limit Open,0,0,1,price limit open
68,2015-11-01,DAFODILCOM,Dividend & increase of Authorized Capital,0,0,1,dividend  increase of authorized capital
69,2015-10-20,DAFODILCOM,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
70,2015-05-04,DAFODILCOM,Q3,0,0,1,q3
71,2015-02-01,DAFODILCOM,Half Yearly Financials,1,0,0,half yearly financials
72,2014-11-20,DAFODILCOM,Trade Resume,0,0,0,trade resume
73,2014-11-19,DAFODILCOM,Trade suspended,0,0,0,trade suspended
74,2014-11-06,DAFODILCOM,trade suspension,0,0,0,trade suspension
75,2014-11-03,DAFODILCOM,Q1 earnings,1,0,1,q1 earnings
76,2014-11-02,DAFODILCOM,no price limit,0,1,0,no price limit
77,2014-11-02,DAFODILCOM,dividend declaration,0,1,0,dividend declaration
78,2014-10-20,DAFODILCOM,meeting of the Board of Directors,0,1,0,meeting of the board of directors
79,2014-04-30,DAFODILCOM,Q3 Earning,0,0,0,q3 earning
80,2014-04-17,DAFODILCOM,Credit Rating,0,0,0,credit rating
81,2014-01-30,DAFODILCOM,H/Y Earnings,0,0,0,hy earnings
82,2013-12-30,DAFODILCOM,non marginable,1,0,0,non marginable
83,2013-12-30,DAFODILCOM,Category Change,1,0,0,category change
84,2013-11-21,DAFODILCOM,Trade Resume After Record Date,0,0,0,trade resume after record date
85,2013-11-20,DAFODILCOM,trade Suspension on Record Date,1,0,0,trade suspension on record date
86,2013-11-17,DAFODILCOM,Trade Suspension on Record Date,0,0,0,trade suspension on record date
87,2013-11-03,DAFODILCOM,Q1,0,1,0,q1
88,2013-10-31,DAFODILCOM,No Price Limit,0,0,0,no price limit
89,2013-10-31,DAFODILCOM,No Dividend,0,0,0,no dividend
90,2013-10-22,DAFODILCOM,Board Meeting,1,0,0,board meeting
91,2013-05-02,DAFODILCOM,Q3 Earnings,0,0,0,q3 earnings
92,2013-01-31,DAFODILCOM,H/Y Earnings 2012-13,1,0,0,hy earnings 2012-13
93,2013-01-20,DAFODILCOM,dividend warrants,0,0,1,dividend warrants
94,2012-11-11,DAFODILCOM,spot market trading,0,0,1,spot market trading
95,2012-11-05,DAFODILCOM,Q1 Earnings 2012,0,0,0,q1 earnings 2012
96,2012-10-31,DAFODILCOM,corporate declaration,0,1,0,corporate declaration
97,2012-10-30,DAFODILCOM,Board Meeting,0,0,1,board meeting
98,2012-09-11,DAFODILCOM,responses to DSE query,1,0,1,responses to dse query
99,2012-04-30,DAFODILCOM,- As per un-audited quarterly accounts ...,0,0,0,as per un-audited quarterly accounts
100,2012-01-10,DAFODILCOM,- The Company has informed...,0,0,0,the company has informed
101,2011-11-20,DAFODILCOM,-Normal trading...,0,0,1,-normal trading
102,2011-11-17,DAFODILCOM,- Trading of the shares...,0,0,0,trading of the shares
103,2011-11-14,DAFODILCOM,-Trading of the shares...,0,0,0,-trading of the shares
104,2011-11-03,DAFODILCOM,-As per un-audited..,0,0,0,-as per un-audited..
105,2011-10-31,DAFODILCOM,- There will be no price...,0,0,0,there will be no price
106,2011-10-31,DAFODILCOM,- The Board of Directors...,0,0,0,the board of directors
107,2011-07-31,DAFODILCOM,- In response to a DSE...,0,0,0,in response to a dse
